S.No.,Division,Opening Balance,Received,% Share,Closed,Closing Balance,% Disposal,Avg. Disposal Time,Avg. Rating,Avg. Pendency Time,Forwarded,Avg. FRT
20,DELHI DIVISION (Northern Railway),9,440,4.60,440,9,98.00,0:41,Satisfactory,0:25,555,0:22
41,LUCKNOW DIVISION (North Eastern Railway),8,370,3.87,365,13,96.56,0:19,Satisfactory,0:13,226,0:10
17,BOMBAY DIVISION (Central Railway),1,296,3.10,293,4,98.65,0:23,Satisfactory,0:13,299,0:06
21,DANAPUR DIVISION (East Central Railway),2,295,3.09,291,6,97.98,0:28,Satisfactory,0:15,431,0:04
33,JHANSI DIVISION (North Central Railway),2,270,2.82,247,25,90.81,0:17,Satisfactory,0:10,335,0:13
29,IRC (IRCTC),10,263,2.75,268,5,98.17,0:18,UnSatisfactory,0:11,230,-
54,PRAYAGRAJ DIVISION (North Central Railway),5,246,2.57,250,1,99.60,0:21,Satisfactory,0:10,299,0:15
43,LUMDING DIVISION (Northeast Frontier Railway),11,221,2.31,223,9,96.12,0:45,Satisfactory,0:37,126,0:05
44,CHENNAI DIVISION (Southern Railway),12,214,2.24,219,7,96.90,0:40,Satisfactory,0:24,240,0:16
52,IRCTC NORTH ZONE (IRCTC),0,213,2.23,213,0,100.00,0:57,UnSatisfactory,0:20,75,-
40,KHURDA DIVISION (East Coast Railway),6,212,2.22,212,6,97.25,0:51,Satisfactory,0:19,127,0:12
42,LUCKNOW DIVISION (Northern Railway),20,210,2.20,215,15,93.48,0:40,Satisfactory,0:16,300,0:05
32,JABALPUR DIVISION (West Central Railway),13,203,2.12,211,5,97.69,0:28,Satisfactory,0:19,212,0:17
75,THIRUVANANTHAPURAM DIVISION (Southern Railway),6,202,2.11,203,5,97.60,0:36,Satisfactory,0:20,233,0:04
45,MORADABAD DIVISION (Northern Railway),14,193,2.02,181,26,87.44,0:48,Satisfactory,0:26,233,0:13
11,VARANASI DIVISION (North Eastern Railway),4,192,2.01,195,1,99.49,0:32,Satisfactory,0:12,239,0:08
66,SECUNDERABAD DIVISION (South Central Railway),1,187,1.96,185,3,98.40,0:22,Satisfactory,0:10,204,0:08
64,BANGALORE DIVISION (South Western Railway),5,183,1.91,180,8,95.74,0:28,Satisfactory,0:17,167,0:09
22,IRCTC EAST ZONE (IRCTC),1,182,1.90,183,0,100.00,1:17,Satisfactory,0:30,97,-
27,HOWRAH DIVISION (Eastern Railway),4,182,1.90,180,6,96.77,0:31,Satisfactory,0:15,177,0:04
9,BHOPAL DIVISION (West Central Railway),2,181,1.89,180,3,98.36,0:20,Satisfactory,0:12,287,0:05
51,NAGPUR DIVISION (Central Railway),2,181,1.89,183,0,100.00,0:14,Satisfactory,0:07,190,0:03
37,KHARAGPUR DIVISION (South Eastern Railway),7,172,1.80,174,5,97.21,0:42,Satisfactory,0:18,128,0:19
7,MUMBAI DIVISION (Western Railway),1,166,1.74,166,1,99.40,0:17,Satisfactory,0:09,138,0:06
55,PUNE DIVISION (Central Railway),3,161,1.68,164,0,100.00,0:24,Satisfactory,0:15,190,0:05
