S.No.,Organisation,Feedback Received,% Feedback,Excellent,Satisfactory,Unsatisfactory,% Unsatisfactory
1,DELHI DIVISION (DLI),136,4.88,48,37,51,37.50
2,KHURDA DIVISION (KUR),126,4.52,62,33,31,24.60
3,JABALPUR DIVISION (JBP),105,3.77,38,34,33,31.43
4,LUCKNOW DIVISION (LJN),103,3.70,56,21,26,25.24
5,DANAPUR DIVISION (DNR),87,3.12,15,11,61,70.11
6,BHOPAL DIVISION (BPL),84,3.02,24,25,35,41.67
7,PRAYAGRAJ DIVISION (PRYJ),76,2.73,27,22,27,35.53
8,MUMBAI DIVISION (BCT),71,2.55,42,12,17,23.94
9,VISAKHAPATNAM DIVISION (VSKP),68,2.44,43,12,13,19.12
10,BOMBAY DIVISION (CSTM),67,2.41,26,6,35,52.24
11,BHUSAVAL DIVISION (BSL),65,2.33,38,14,13,20.00
12,JHANSI DIVISION (JHS),65,2.33,30,14,21,32.31
13,THIRUVANANTHAPURAM DIVISION (TVC),59,2.12,22,25,12,20.34
14,BANGALORE DIVISION (SBC),56,2.01,21,15,20,35.71
15,SEALDAH DIVISION (SDAH),56,2.01,35,7,14,25.00
16,HOWRAH DIVISION (HWH),55,1.97,19,19,17,30.91
17,LUCKNOW DIVISION (LKO),52,1.87,24,13,15,28.85
18,CHENNAI DIVISION (MAS),51,1.83,13,22,16,31.37
19,GUNTAKAL DIVISION (GTL),51,1.83,29,12,10,19.61
20,NAGPUR DIVISION (NGP),50,1.80,17,12,21,42.00
21,IRCTC NORTH ZONE (NORTH_ZONE),49,1.76,6,11,32,65.31
22,VARANASI DIVISION (BSB),49,1.76,21,13,15,30.61
23,KHARAGPUR DIVISION (KGP),46,1.65,15,20,11,23.91
24,SAMASTIPUR DIVISION (SPJ),46,1.65,19,12,15,32.61
25,Pt. DEEN DAYAL UPADHYAYA DIVISION (DDU),45,1.62,21,13,11,24.44
26,PUNE DIVISION (PUNE),43,1.54,16,13,14,32.56
27,AGRA DIVISION (AGRA),42,1.51,25,10,7,16.67
28,AHMEDABAD DIVISION (ADI),41,1.47,19,8,14,34.15
29,SECUNDERABAD DIVISION (SC),41,1.47,20,5,16,39.02
30,JAIPUR DIVISION (JP),38,1.36,18,4,16,42.11
31,IRCTC (IRC),36,1.29,0,10,26,72.22
32,VIJAYAWADA DIVISION (BZA),36,1.29,23,6,7,19.44
33,IRCTC WEST ZONE (WEST_ZONE),32,1.15,4,10,18,56.25
34,BIKANER DIVISION (BKN),31,1.11,15,8,8,25.81
35,KOTA DIVISION (KOTA),31,1.11,21,6,4,12.90
36,CHAKRADHARPUR DIVISION (CKP),28,1.01,14,6,8,28.57
37,IRCTC EAST ZONE (EAST_ZONE),27,0.97,8,9,10,37.04
38,RATLAM DIVISION (RTM),27,0.97,8,10,9,33.33
39,LUMDING DIVISION (LMG),26,0.93,6,6,14,53.85
40,MORADABAD DIVISION (MB),26,0.93,3,7,16,61.54
41,IZATNAGAR DIVISION (IZN),25,0.90,11,5,9,36.00
42,FIROZPUR DIVISION (FZR),24,0.86,11,3,10,41.67
43,SALEM DIVISION (SA),24,0.86,15,3,6,25.00
44,JODHPUR DIVISION (JU),23,0.83,16,7,0,0.00
45,SAMBALPUR DIVISION (SBP),22,0.79,13,7,2,9.09
46,SONEPUR DIVISION (SEE),22,0.79,2,8,12,54.55
47,KATIHAR DIVISION (KIR),21,0.75,8,5,8,38.10
48,MALDA DIVISION (MLDT),21,0.75,10,4,7,33.33
49,VADODARA DIVISION (BRC),20,0.72,9,7,4,20.00
50,AMBALA DIVISION (UMB),19,0.68,10,4,5,26.32
51,BILASPUR DIVISION (BSP),19,0.68,13,2,4,21.05
52,RAIPUR DIVISION (R),19,0.68,14,2,3,15.79
53,TINSUKIA DIVISION (TSK),19,0.68,2,10,7,36.84
54,TRICHURAPALLI DIVISION (TPJ),18,0.65,10,3,5,27.78
55,PALGHAT DIVISION (PGT),17,0.61,9,3,5,29.41
56,RANCHI DIVISION (RNC),17,0.61,10,6,1,5.88
57,BHAVNAGAR DIVISION (BVP),16,0.57,8,5,3,18.75
58,AJMER DIVISION (AII),15,0.54,11,4,0,0.00
59,DHANBAD DIVISION (DHN),15,0.54,5,5,5,33.33
60,HUBLI DIVISION (UBL),15,0.54,6,5,4,26.67
61,IRCTC SOUTH CENTRAL ZONE (SOUTH_CENTRAL_ZONE),14,0.50,5,6,3,21.43
62,JAMMU DIVISION (JAT),14,0.50,5,5,4,28.57
63,RAJKOT DIVISION (RJT),14,0.50,8,1,5,35.71
64,SHOLAPUR DIVISION (SUR),14,0.50,8,4,2,14.29
65,ASANSOL DIVISION (ASN),13,0.47,5,1,7,53.85
66,HYDERABAD DIVISION (HYB),13,0.47,5,1,7,53.85
67,MADURAI DIVISION (MDU),12,0.43,5,4,3,25.00
68,MYSORE DIVISION (MYS),12,0.43,3,5,4,33.33
69,NANDED DIVISION (NED),11,0.39,1,2,8,72.73
70,IRCTC SOUTH ZONE (SOUTH_ZONE),10,0.36,4,4,2,20.00
71,NAGPUR DIVISION (NAG),8,0.29,6,1,1,12.50
72,RANGIYA DIVISION (RNY),8,0.29,3,2,3,37.50
73,KARWAR DIVISION (KAWR),7,0.25,1,3,3,42.86
74,GUNTUR DIVISION (GNT),6,0.22,1,3,2,33.33
75,ADRA DIVISION (ADRA),4,0.14,1,1,2,50.00
76,HEAD QUARTER (HQ),4,0.14,0,0,4,100.00
77,RAYAGADA DIVISION (RGDA),3,0.11,2,0,1,33.33
78,ALIPURDUAR DIVISION (APDJ),2,0.07,1,1,0,0.00
79,RATNAGIRI DIVISION (RN),2,0.07,1,0,1,50.00
