S.No.,Organisation,Feedback Received,% Feedback,Excellent,Satisfactory,Unsatisfactory,% Unsatisfactory
1,KHURDA DIVISION (KUR),126,4.61,58,35,33,26.19
2,PRAYAGRAJ DIVISION (PRYJ),108,3.95,65,20,23,21.30
3,DELHI DIVISION (DLI),100,3.66,50,26,24,24.00
4,BANGALORE DIVISION (SBC),98,3.59,23,20,55,56.12
5,JABALPUR DIVISION (JBP),93,3.41,49,21,23,24.73
6,MUMBAI DIVISION (BCT),87,3.19,45,14,28,32.18
7,THIRUVANANTHAPURAM DIVISION (TVC),66,2.42,26,16,24,36.36
8,VISAKHAPATNAM DIVISION (VSKP),65,2.38,39,13,13,20.00
9,LUCKNOW DIVISION (LJN),63,2.31,34,14,15,23.81
10,BHUSAVAL DIVISION (BSL),62,2.27,30,14,18,29.03
11,DANAPUR DIVISION (DNR),60,2.20,12,12,36,60.00
12,KHARAGPUR DIVISION (KGP),59,2.16,17,23,19,32.20
13,BOMBAY DIVISION (CSTM),58,2.12,15,17,26,44.83
14,IRCTC (IRC),57,2.09,4,24,29,50.88
15,BHOPAL DIVISION (BPL),56,2.05,28,17,11,19.64
16,Pt. DEEN DAYAL UPADHYAYA DIVISION (DDU),53,1.94,28,9,16,30.19
17,CHENNAI DIVISION (MAS),52,1.90,15,3,34,65.38
18,SAMASTIPUR DIVISION (SPJ),52,1.90,32,18,2,3.85
19,LUCKNOW DIVISION (LKO),51,1.87,25,10,16,31.37
20,AGRA DIVISION (AGRA),49,1.79,32,10,7,14.29
21,AHMEDABAD DIVISION (ADI),49,1.79,18,12,19,38.78
22,JHANSI DIVISION (JHS),48,1.76,27,9,12,25.00
23,VARANASI DIVISION (BSB),48,1.76,25,13,10,20.83
24,HOWRAH DIVISION (HWH),47,1.72,21,7,19,40.43
25,SEALDAH DIVISION (SDAH),46,1.68,25,7,14,30.43
26,IRCTC NORTH ZONE (NORTH_ZONE),44,1.61,10,11,23,52.27
27,PALGHAT DIVISION (PGT),42,1.54,20,10,12,28.57
28,SECUNDERABAD DIVISION (SC),35,1.28,12,11,12,34.29
29,JAIPUR DIVISION (JP),34,1.24,18,8,8,23.53
30,PUNE DIVISION (PUNE),34,1.24,13,10,11,32.35
31,VIJAYAWADA DIVISION (BZA),34,1.24,16,7,11,32.35
32,CHAKRADHARPUR DIVISION (CKP),32,1.17,14,8,10,31.25
33,MORADABAD DIVISION (MB),32,1.17,9,1,22,68.75
34,GUNTAKAL DIVISION (GTL),29,1.06,20,6,3,10.34
35,MALDA DIVISION (MLDT),29,1.06,9,4,16,55.17
36,RATLAM DIVISION (RTM),29,1.06,14,8,7,24.14
37,TINSUKIA DIVISION (TSK),29,1.06,13,8,8,27.59
38,BIKANER DIVISION (BKN),27,0.99,18,2,7,25.93
39,LUMDING DIVISION (LMG),27,0.99,6,10,11,40.74
40,MYSORE DIVISION (MYS),27,0.99,7,5,15,55.56
41,IRCTC WEST ZONE (WEST_ZONE),26,0.95,8,5,13,50.00
42,KATIHAR DIVISION (KIR),25,0.92,6,7,12,48.00
43,RANCHI DIVISION (RNC),25,0.92,17,3,5,20.00
44,SALEM DIVISION (SA),25,0.92,13,8,4,16.00
45,IRCTC EAST ZONE (EAST_ZONE),23,0.84,3,5,15,65.22
46,NAGPUR DIVISION (NGP),23,0.84,8,6,9,39.13
47,HUBLI DIVISION (UBL),22,0.81,13,5,4,18.18
48,SHOLAPUR DIVISION (SUR),22,0.81,12,5,5,22.73
49,AJMER DIVISION (AII),21,0.77,12,5,4,19.05
50,AMBALA DIVISION (UMB),21,0.77,6,8,7,33.33
51,JODHPUR DIVISION (JU),21,0.77,16,2,3,14.29
52,RAIPUR DIVISION (R),21,0.77,9,5,7,33.33
53,BILASPUR DIVISION (BSP),20,0.73,11,4,5,25.00
54,IZATNAGAR DIVISION (IZN),19,0.70,10,2,7,36.84
55,BHAVNAGAR DIVISION (BVP),18,0.66,6,1,11,61.11
56,FIROZPUR DIVISION (FZR),18,0.66,7,7,4,22.22
57,KOTA DIVISION (KOTA),17,0.62,6,10,1,5.88
58,RAJKOT DIVISION (RJT),16,0.59,3,2,11,68.75
59,VADODARA DIVISION (BRC),16,0.59,9,3,4,25.00
60,ASANSOL DIVISION (ASN),15,0.55,6,4,5,33.33
61,SONEPUR DIVISION (SEE),15,0.55,4,7,4,26.67
62,HEAD QUARTER (HQ),14,0.51,0,1,13,92.86
63,MADURAI DIVISION (MDU),13,0.48,10,1,2,15.38
64,TRICHURAPALLI DIVISION (TPJ),13,0.48,5,4,4,30.77
65,GUNTUR DIVISION (GNT),12,0.44,5,2,5,41.67
66,HYDERABAD DIVISION (HYB),12,0.44,2,1,9,75.00
67,SAMBALPUR DIVISION (SBP),12,0.44,6,4,2,16.67
68,IRCTC SOUTH CENTRAL ZONE (SOUTH_CENTRAL_ZONE),11,0.40,3,3,5,45.45
69,KARWAR DIVISION (KAWR),11,0.40,5,1,5,45.45
70,NANDED DIVISION (NED),10,0.37,6,2,2,20.00
71,DHANBAD DIVISION (DHN),9,0.33,3,2,4,44.44
72,JAMMU DIVISION (JAT),9,0.33,2,3,4,44.44
73,RANGIYA DIVISION (RNY),8,0.29,3,2,3,37.50
74,ALIPURDUAR DIVISION (APDJ),7,0.26,3,3,1,14.29
75,ADRA DIVISION (ADRA),6,0.22,1,0,5,83.33
76,NAGPUR DIVISION (NAG),6,0.22,2,1,3,50.00
77,IRCTC SOUTH ZONE (SOUTH_ZONE),5,0.18,0,3,2,40.00
78,RAYAGADA DIVISION (RGDA),5,0.18,2,1,2,40.00
79,RATNAGIRI DIVISION (RN),2,0.07,2,0,0,0.00
