S.No.,Organisation,Opening Balance,Received,% Share,Closed,Closing Balance,% Disposal,Avg. Disposal Time,Avg. Rating,Avg. Pendency Time,Forwarded,Avg. FRT
11,Northern Railway,21,904,9.92,888,37,96.00,0:41,Satisfactory,0:17,1263,0:13
2,East Central Railway,4,744,8.17,739,9,98.80,0:24,Satisfactory,0:15,727,0:06
5,Irctc-Catering,9,701,7.69,708,2,99.72,1:14,Satisfactory,0:16,443,-
1,Central Railway,9,658,7.22,658,9,98.65,0:20,Satisfactory,0:12,930,0:08
8,North Central Railway,12,630,6.91,636,6,99.07,0:16,Satisfactory,0:09,681,0:06
20,Western Railway,6,627,6.88,631,2,99.68,0:18,Satisfactory,0:07,565,0:03
10,Northeast Frontier Railway,26,577,6.33,585,18,97.01,0:56,Satisfactory,0:30,495,0:08
9,North Eastern Railway,7,499,5.48,503,3,99.41,0:19,Satisfactory,0:10,451,0:05
15,South Eastern Railway,13,467,5.13,444,36,92.50,0:43,Satisfactory,0:21,579,0:15
17,Southern Railway,12,437,4.80,434,15,96.66,0:29,Satisfactory,0:20,697,0:07
16,South Coast Railway,6,410,4.50,402,14,96.63,0:21,Satisfactory,0:14,389,0:03
4,Eastern Railway,13,402,4.41,398,17,95.90,0:28,Satisfactory,0:17,384,0:06
19,West Central Railway,12,398,4.37,403,7,98.29,0:21,Satisfactory,0:12,530,0:15
3,East Coast Railway,5,341,3.74,335,11,96.82,0:33,Excellent,0:21,252,0:09
18,South Western Railway,5,334,3.67,327,12,96.46,0:26,Satisfactory,0:19,268,0:15
12,North Western Railway,10,324,3.56,323,11,96.71,0:17,Satisfactory,0:11,568,0:05
6,Irctc-Online,2,256,2.81,258,0,100.00,0:26,UnSatisfactory,0:20,37,-
14,South Central Railway,5,227,2.49,227,5,97.84,0:25,Satisfactory,0:10,248,0:13
13,South East Central Railway,1,112,1.23,112,1,99.12,0:18,Excellent,0:18,116,0:05
7,Konkan Railway,0,63,0.69,59,4,93.65,0:38,Satisfactory,0:19,72,0:18
