S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,SHC- YPR SPECIAL [TRAIN ON DEMAND],East Central Railway,SAMASTIPUR DIVISION,05551,54,0.64,54,100.00,0,Satisfactory
2,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15910,40,0.48,39,97.50,1,Satisfactory
3,YNRK-MFP SPL [TRAIN ON DEMAND],Northern Railway,MORADABAD DIVISION,04314,39,0.46,39,100.00,0,UnSatisfactory
4,ANVT-RXL SATYAGRAH EXP [MAIL EXPRESS],East Central Railway,SAMASTIPUR DIVISION,15274,35,0.42,35,100.00,0,Satisfactory
5,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15909,35,0.42,34,97.14,1,Satisfactory
6,NDLS-LLP VAISHALI EXPRESS [MAIL EXPRESS],East Central Railway,SAMASTIPUR DIVISION,15566,34,0.40,34,100.00,0,Satisfactory
7,SMVB-GHY S/F EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12509,32,0.38,30,93.75,2,Satisfactory
8,MFP-ANVT SAPTKRANTI EXP [SUPERFAST],East Central Railway,SAMASTIPUR DIVISION,12557,31,0.37,30,96.77,1,Satisfactory
9,MALWA EXPRESS [SUPERFAST],Western Railway,RATLAM DIVISION,12919,31,0.37,29,93.55,2,Excellent
10,RXL-TPTY [MAIL EXPRESS],South Coast Railway,GUNTAKAL DIVISION,17434,31,0.37,31,100.00,0,Satisfactory
11,INTERCITY EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15031,30,0.36,30,100.00,0,Satisfactory
12,GKP-PNVL EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15065,30,0.36,30,100.00,0,Excellent
13,SHC-PPTA - SMVB EXPRESS [SUPERFAST],East Central Railway,SAMASTIPUR DIVISION,22351,28,0.33,28,100.00,0,Satisfactory
14,ANVT- SHC EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,SAMASTIPUR DIVISION,05576,27,0.32,27,100.00,0,Satisfactory
15,RAPTISAGAR EXPRESS [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12511,27,0.32,26,96.30,1,Satisfactory
16,ASR-NJP EXP [AMRIT BHARAT],Northern Railway,FIROZPUR DIVISION,14664,27,0.32,27,100.00,0,UnSatisfactory
17,SAURASHTRA MAIL [SUPERFAST],Western Railway,MUMBAI DIVISION,22945,27,0.32,27,100.00,0,Satisfactory
18,NZM DURANTO EXP [DURONTO EXPRESS],Northern Railway,DELHI DIVISION,12263,26,0.31,26,100.00,0,UnSatisfactory
19,SWARAJ EXPRESS [SUPERFAST],Northern Railway,JAMMU DIVISION,12471,26,0.31,26,100.00,0,Satisfactory
20,AMARNATH EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15653,26,0.31,26,100.00,0,UnSatisfactory
