S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22503,39,0.46,38,97.44,1,UnSatisfactory
2,DADN-PRYJ EXP. [MAIL EXPRESS],North Central Railway,PRAYAGRAJ DIVISION,14115,37,0.44,36,97.30,1,Satisfactory
3,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15910,36,0.43,36,100.00,0,Satisfactory
4,MFP-SMVB EXPRESS [MAIL EXPRESS],East Central Railway,SAMASTIPUR DIVISION,15228,35,0.41,33,94.29,2,Satisfactory
5,HWH NDLS POORVA EXPRESS [SUPERFAST],Eastern Railway,HOWRAH DIVISION,12303,34,0.40,34,100.00,0,UnSatisfactory
6,G-KOP MAHARASHTRA EXP [MAIL EXPRESS],Central Railway,PUNE DIVISION,11040,32,0.38,32,100.00,0,Satisfactory
7,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22504,32,0.38,32,100.00,0,Satisfactory
8,NZM-MAS GARIBRATH [GARIB RATH],Southern Railway,CHENNAI DIVISION,12612,26,0.31,26,100.00,0,Satisfactory
9,CDG-DBRG EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15904,26,0.31,26,100.00,0,UnSatisfactory
10,NGP-CSMT SEWAGRAM EXP. [SUPERFAST],Central Railway,NAGPUR DIVISION,12140,25,0.30,25,100.00,0,UnSatisfactory
11,GARIB RATH EX [GARIB RATH],Northern Railway,FIROZPUR DIVISION,12203,25,0.30,25,100.00,0,Satisfactory
12,ASR-VSKP SF HIRAKUD EXP [SUPERFAST],South Coast Railway,VISAKHAPATNAM DIVISION,20808,25,0.30,24,96.00,1,Satisfactory
13,DNR-SMVB SANGHAMITRA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12296,23,0.27,23,100.00,0,Satisfactory
14,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15909,23,0.27,23,100.00,0,Satisfactory
15,GKP- YPR SF [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,22533,23,0.27,23,100.00,0,Satisfactory
16,G-CSMT VIDARBHA EXP [SUPERFAST],Central Railway,BOMBAY DIVISION,12106,22,0.26,22,100.00,0,Satisfactory
17,JAT-PUNE JHELUM EXPRESS [MAIL EXPRESS],Central Railway,PUNE DIVISION,11078,21,0.25,21,100.00,0,Satisfactory
18,KYQ-PURI EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15640,21,0.25,21,100.00,0,UnSatisfactory
19,BRAHMAPUTRA MAIL [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15658,21,0.25,20,95.24,1,Satisfactory
20,JBN-ED AMRIT BHARAT EXP [AMRIT BHARAT],Southern Railway,SALEM DIVISION,16602,21,0.25,21,100.00,0,Satisfactory
21,PURI-HTE DAILY EXP [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18452,21,0.25,20,95.24,1,Satisfactory
22,YNRK-PURI EXPRESS [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18478,21,0.25,20,95.24,1,Excellent
23,KUSHINAGAR SF [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,22538,21,0.25,21,100.00,0,Excellent
24,DNR-HDP SPL [TRAIN ON DEMAND],Central Railway,PUNE DIVISION,01450,20,0.24,20,100.00,0,Satisfactory
25,YNRK-MFP SPL [TRAIN ON DEMAND],Northern Railway,MORADABAD DIVISION,04314,20,0.24,20,100.00,0,Satisfactory
26,HUMSAFAR EXP SPL [TRAIN ON DEMAND],Northern Railway,FIROZPUR DIVISION,04651,20,0.24,20,100.00,0,Satisfactory
27,PUNE HWH AZAD HIND EXP [SUPERFAST],Central Railway,PUNE DIVISION,12129,20,0.24,20,100.00,0,Satisfactory
28,GHY-SMVB S/F EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12510,20,0.24,18,90.00,2,Excellent
29,MALWA EXPRESS [SUPERFAST],Western Railway,RATLAM DIVISION,12920,20,0.24,20,100.00,0,Satisfactory
30,PUNE-SOU EXPRESS [MAIL EXPRESS],Central Railway,PUNE DIVISION,11401,19,0.23,19,100.00,0,Satisfactory
31,ERS-NZM MANGALA SF EXP [SUPERFAST],Southern Railway,THIRUVANANTHAPURAM DIVISION,12617,19,0.23,19,100.00,0,Excellent
32,NDLS-SBC KARNATAKA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12628,19,0.23,19,100.00,0,Excellent
33,JBN-ANVT SPL [TRAIN ON DEMAND],Northern Railway,DELHI DIVISION,04007,18,0.21,18,100.00,0,Excellent
34,SOU-PUNE EXP [MAIL EXPRESS],Central Railway,PUNE DIVISION,11402,18,0.21,18,100.00,0,Satisfactory
