S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,NZM BDTS YUVA [SUPERFAST],Western Railway,MUMBAI DIVISION,12248,81,6.00,77,95.06,4,UnSatisfactory
2,NZM-MAS DURONTO [DURONTO EXPRESS],Southern Railway,CHENNAI DIVISION,12270,7,0.52,7,100.00,0,Nil
3,ANVT-PURI PURSHOTTAM [SUPERFAST],East Coast Railway,KHURDA DIVISION,12802,7,0.52,7,100.00,0,Satisfactory
4,NJP-ANVT EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15725,7,0.52,7,100.00,0,Nil
5,BXR-ARA-TATA EXPRESS [MAIL EXPRESS],South Eastern Railway,CHAKRADHARPUR DIVISION,18184,7,0.52,7,100.00,0,Nil
6,NDLS-BJU SPECIAL [TRAIN ON DEMAND],East Central Railway,SONEPUR DIVISION,02564,6,0.44,6,100.00,0,Nil
7,KUR-KOAA SPL [TRAIN ON DEMAND],Eastern Railway,SEALDAH DIVISION,03102,6,0.44,6,100.00,0,Satisfactory
8,SMVB-GHY S/F EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12509,6,0.44,6,100.00,0,UnSatisfactory
9,GKP-YPR EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12591,6,0.44,6,100.00,0,Excellent
10,ASR-KIR EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15708,6,0.44,6,100.00,0,Excellent
11,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15909,6,0.44,6,100.00,0,Excellent
12,DR-PDY EXP [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11005,5,0.37,5,100.00,0,Nil
13,JBP-SMNH EXP [MAIL EXPRESS],West Central Railway,JABALPUR DIVISION,11466,5,0.37,5,100.00,0,Excellent
14,PUNE HWH AZAD HIND EXP [SUPERFAST],Central Railway,PUNE DIVISION,12129,5,0.37,5,100.00,0,Nil
15,MAQ-LTT MATSYAGANDA EXP [SUPERFAST],Southern Railway,THIRUVANANTHAPURAM DIVISION,12620,5,0.37,5,100.00,0,Nil
16,NZM-VSG GOA EXPRESS [SUPERFAST],South Western Railway,HUBLI DIVISION,12780,5,0.37,5,100.00,0,Nil
17,PURI-ANVT PURUSHOTTAM [SUPERFAST],East Coast Railway,KHURDA DIVISION,12801,5,0.37,5,100.00,0,Satisfactory
,,,,,,,,,,
