S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,UDN-PRYJ SUMMER SPL [TRAIN ON DEMAND],North Central Railway,PRAYAGRAJ DIVISION,04106,7,1.21,7,100.00,0,Satisfactory
2,SC-NHLN [TRAIN ON DEMAND],South Central Railway,SECUNDERABAD DIVISION,07046,7,1.21,7,100.00,0,Nil
3,ADI - DBG SPECIAL [TRAIN ON DEMAND],Western Railway,AHMEDABAD DIVISION,09465,6,1.03,6,100.00,0,Excellent
4,LTT-DBRG EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15945,6,1.03,6,100.00,0,Nil
5,PURI-AII S/F [SUPERFAST],East Coast Railway,KHURDA DIVISION,20823,6,1.03,6,100.00,0,Nil
6,SHIPRA EXPRESS [SUPERFAST],Western Railway,RATLAM DIVISION,22912,6,1.03,6,100.00,0,Excellent
7,HWH-CSMT MAIL [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,12810,5,0.86,5,100.00,0,Nil
8,AMARNATH EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15654,5,0.86,5,100.00,0,Nil
9,BGY-PURI EXPRESS [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18401,5,0.86,5,100.00,0,UnSatisfactory
10,KIR-YPR EXP SPL [TRAIN ON DEMAND],South Western Railway,BANGALORE DIVISION,06572,4,0.69,4,100.00,0,Nil
11,PNBE-DADN SPECIAL [TRAIN ON DEMAND],Western Railway,RATLAM DIVISION,09344,4,0.69,4,100.00,0,Nil
12,BJU- GWL MAIL [MAIL EXPRESS],North Central Railway,JHANSI DIVISION,11124,4,0.69,4,100.00,0,Excellent
13,SMVB-GHY S/F EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12509,4,0.69,4,100.00,0,Nil
14,LTT-GHY EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15647,4,0.69,4,100.00,0,UnSatisfactory
15,TBM-NTSK EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15929,4,0.69,4,100.00,0,Nil
16,LTT- NCJ EXP [MAIL EXPRESS],Southern Railway,THIRUVANANTHAPURAM DIVISION,16351,4,0.69,3,75.00,1,Satisfactory
17,CHZ SHM EAST COAST EXP [MAIL EXPRESS],South Eastern Railway,KHARAGPUR DIVISION,18046,4,0.69,4,100.00,0,Nil
18,LTT - RNC EXPRESS [MAIL EXPRESS],South Eastern Railway,RANCHI DIVISION,18610,4,0.69,4,100.00,0,Nil
19,UBL-NZM SF EXPRESS [SUPERFAST],South Western Railway,HUBLI DIVISION,20657,4,0.69,4,100.00,0,Excellent
20,PNBE-ERS SF EXP [SUPERFAST],Southern Railway,THIRUVANANTHAPURAM DIVISION,22644,4,0.69,4,100.00,0,Excellent
21,NDLS-BJU SPECIAL [TRAIN ON DEMAND],East Central Railway,SONEPUR DIVISION,02564,3,0.52,3,100.00,0,UnSatisfactory
22,HUMSAFAR EXP SPL [TRAIN ON DEMAND],Northern Railway,FIROZPUR DIVISION,04651,3,0.52,3,100.00,0,Nil
23,CHZ-SRC [TRAIN ON DEMAND],South Central Railway,SECUNDERABAD DIVISION,07221,3,0.52,3,100.00,0,Satisfactory
24,NZM-INDB SUPERFAST SPL [TRAIN ON DEMAND],Western Railway,RATLAM DIVISION,09310,3,0.52,3,100.00,0,Nil
25,ADI - MAJN SPECIAL [TRAIN ON DEMAND],Western Railway,AHMEDABAD DIVISION,09424,3,0.52,3,100.00,0,UnSatisfactory
26,HWH PUNE AZAD HIND EXP [SUPERFAST],Central Railway,PUNE DIVISION,12130,3,0.52,3,100.00,0,UnSatisfactory
27,HW - LTT SUPER FAST EXP [SUPERFAST],Central Railway,BOMBAY DIVISION,12172,3,0.52,3,100.00,0,Satisfactory
28,SMVB-DNR SANGHAMITRA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12295,3,0.52,3,100.00,0,UnSatisfactory
29,BIHAR SAMPARK KRANTI EXP [SUPERFAST],East Central Railway,SAMASTIPUR DIVISION,12565,3,0.52,3,100.00,0,Nil
30,MARU SAGAR EXP [SUPERFAST],North Western Railway,AJMER DIVISION,12978,3,0.52,3,100.00,0,Nil
31,RGD-LTT EXPRESS [MAIL EXPRESS],East Central Railway,DANAPUR DIVISION,13201,3,0.52,3,100.00,0,Excellent
32,GONDIA - BJU EXPRESS [MAIL EXPRESS],East Central Railway,SONEPUR DIVISION,15232,3,0.52,3,100.00,0,Excellent
33,KYQ-BGKT EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15624,3,0.52,3,100.00,0,UnSatisfactory
34,OKHA-GHY DWARKA EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15635,3,0.52,3,100.00,0,Nil
35,CHZ-SCL EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15645,3,0.52,3,100.00,0,Nil
36,BRAHMAPUTRA MAIL [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15657,3,0.52,3,100.00,0,UnSatisfactory
37,PURI-HTE DAILY EXP [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18452,3,0.52,3,100.00,0,UnSatisfactory
38,INDB - PNBE EXPRESS [MAIL EXPRESS],Western Railway,RATLAM DIVISION,19321,3,0.52,3,100.00,0,Nil
39,SHC - ADI EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19484,3,0.52,3,100.00,0,Nil
40,CDG-MDU EXP [SUPERFAST],Northern Railway,AMBALA DIVISION,20494,3,0.52,3,100.00,0,Excellent
