S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,HUMSAFAR EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12504,9,2.56,9,100.00,0,UnSatisfactory
2,PNP-DLI SPL [TRAIN ON DEMAND],Northern Railway,DELHI DIVISION,04466,6,1.70,6,100.00,0,Satisfactory
3,PUNE-DBG EXP [MAIL EXPRESS],Central Railway,PUNE DIVISION,11033,6,1.70,6,100.00,0,UnSatisfactory
4,TPTY-VSKP TRI-WKY DB DKR [SUPERFAST],South Coast Railway,GUNTAKAL DIVISION,22708,6,1.70,6,100.00,0,Nil
5,SOU-PUNE EXP [MAIL EXPRESS],Central Railway,PUNE DIVISION,11402,5,1.42,5,100.00,0,Satisfactory
6,AGTL-NNGE EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15649,5,1.42,5,100.00,0,Nil
7,ASR-KIR EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15708,4,1.14,4,100.00,0,Nil
8,KAMRUP EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15960,4,1.14,4,100.00,0,Excellent
9,RAJDHANI EXPRESS [RAJDHANI],Northeast Frontier Railway,TINSUKIA DIVISION,20503,4,1.14,4,100.00,0,Nil
10,SLN--LTT SPL [TRAIN ON DEMAND],Northern Railway,LUCKNOW DIVISION,04212,3,0.85,3,100.00,0,Excellent
11,BDTS-DEE GARIBRATH [GARIB RATH],Northern Railway,DELHI DIVISION,12216,3,0.85,3,100.00,0,Satisfactory
12,PUSHPAK SF EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12533,3,0.85,3,100.00,0,Excellent
13,GANGASUTLEJ EXP [MAIL EXPRESS],East Central Railway,DHANBAD DIVISION,13307,3,0.85,3,100.00,0,Nil
14,KYQ-GTNR EXPRESS [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15077,3,0.85,3,100.00,0,Satisfactory
15,JYG-BGP EXPRESS [MAIL EXPRESS],East Central Railway,SAMASTIPUR DIVISION,15554,3,0.85,3,100.00,0,Satisfactory
16,TPTY-PURI EXP [MAIL EXPRESS],South Coast Railway,GUNTAKAL DIVISION,17480,3,0.85,3,100.00,0,Excellent
17,RAJDHANI EXPRESS [RAJDHANI],Northeast Frontier Railway,TINSUKIA DIVISION,20504,3,0.85,3,100.00,0,Excellent
18,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22504,3,0.85,3,100.00,0,Excellent
19,DNR-HDP SPL [TRAIN ON DEMAND],Central Railway,PUNE DIVISION,01450,2,0.57,2,100.00,0,Nil
20,KANPUR-MADURAI SPECIAL [TRAIN ON DEMAND],North Central Railway,PRAYAGRAJ DIVISION,01925,2,0.57,2,100.00,0,Excellent
21,BJU-NDLS SPECIAL [TRAIN ON DEMAND],East Central Railway,SONEPUR DIVISION,02563,2,0.57,2,100.00,0,Nil
22,HUMSAFAR EXP SPL [TRAIN ON DEMAND],Northern Railway,FIROZPUR DIVISION,04651,2,0.57,2,100.00,0,Nil
