S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,PNVL-GKP EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15066,9,0.80,9,100.00,0,Satisfactory
2,PNBE-ADI SPL CLONE TRAIN [TRAIN ON DEMAND],Western Railway,AHMEDABAD DIVISION,09448,7,0.63,7,100.00,0,Nil
3,ADI - DBG SPECIAL [TRAIN ON DEMAND],Western Railway,AHMEDABAD DIVISION,09465,7,0.63,7,100.00,0,UnSatisfactory
4,SMVB-GHY S/F EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12509,6,0.54,6,100.00,0,Excellent
5,RAPTISAGAR EXPRESS [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12511,6,0.54,6,100.00,0,Satisfactory
6,SCL-TVC EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15608,6,0.54,6,100.00,0,Nil
7,DBRG-CDG EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15903,6,0.54,6,100.00,0,Excellent
8,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15910,6,0.54,6,100.00,0,Satisfactory
9,SABARMATI EXP [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19166,6,0.54,6,100.00,0,Excellent
10,GKP - ADI EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19490,6,0.54,6,100.00,0,Excellent
11,UDN-PRYJ SUMMER SPL [TRAIN ON DEMAND],North Central Railway,PRAYAGRAJ DIVISION,04106,5,0.45,5,100.00,0,UnSatisfactory
12,AZIMABAD EXPRESS [SUPERFAST],Western Railway,AHMEDABAD DIVISION,12948,5,0.45,5,100.00,0,Satisfactory
13,ASR-KIR EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15708,5,0.45,5,100.00,0,Nil
14,TATA JAT EXP [MAIL EXPRESS],South Eastern Railway,CHAKRADHARPUR DIVISION,18101,5,0.45,5,100.00,0,Excellent
15,GKP-SBIB EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19410,5,0.45,5,100.00,0,Nil
16,SHC - ADI EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19484,5,0.45,5,100.00,0,Satisfactory
17,DNR-SMVB SANGHAMITRA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12296,4,0.36,4,100.00,0,UnSatisfactory
18,SWARAJ EXPRESS [SUPERFAST],Northern Railway,JAMMU DIVISION,12472,4,0.36,4,100.00,0,Nil
19,NANDAN KANAN S/F (ADRA) [SUPERFAST],East Coast Railway,KHURDA DIVISION,12816,4,0.36,4,100.00,0,Nil
20,ARA-DURG SOUTH BIHAR EXP [MAIL EXPRESS],East Central Railway,DANAPUR DIVISION,13288,4,0.36,4,100.00,0,UnSatisfactory
21,GKP-KOAA EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15050,4,0.36,4,100.00,0,Nil
22,DURG CPR SARNATH EXP [MAIL EXPRESS],North Eastern Railway,VARANASI DIVISION,15160,4,0.36,4,100.00,0,Excellent
23,OKHA-GHY DWARKA EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15635,4,0.36,4,100.00,0,Nil
24,BRAHMAPUTRA MAIL [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15658,4,0.36,4,100.00,0,Satisfactory
25,NJP-ANVT EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15725,4,0.36,4,100.00,0,Nil
26,FARAKKA EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15743,4,0.36,4,100.00,0,Excellent
27,LTT SHM EXP [MAIL EXPRESS],South Eastern Railway,KHARAGPUR DIVISION,18029,4,0.36,4,100.00,0,UnSatisfactory
28,YNK-SRC AC EXPRESS [MAIL EXPRESS],South Eastern Railway,KHARAGPUR DIVISION,18064,4,0.36,4,100.00,0,Nil
29,ADI - SHC EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19483,4,0.36,4,100.00,0,Nil
30,PRYJ-LGH SUF EXPRESS [SUPERFAST],North Central Railway,PRAYAGRAJ DIVISION,20403,4,0.36,4,100.00,0,Satisfactory
31,RAJDHANI EXPRESS [RAJDHANI],Northeast Frontier Railway,LUMDING DIVISION,20507,4,0.36,4,100.00,0,Excellent
32,AGTL-CHZ [TRAIN ON DEMAND],South Central Railway,SECUNDERABAD DIVISION,07029,3,0.27,3,100.00,0,Excellent
33,SC-NHLN [TRAIN ON DEMAND],South Central Railway,SECUNDERABAD DIVISION,07046,3,0.27,2,66.67,1,Nil
34,MBI - UDN SPECIAL [TRAIN ON DEMAND],Western Railway,MUMBAI DIVISION,09152,3,0.27,3,100.00,0,Nil
35,DIVA SWV EXPRESS [MAIL EXPRESS],Konkan Railway,KARWAR DIVISION,10105,3,0.27,3,100.00,0,Nil
36,ASR CSMT EXPRESS [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11058,3,0.27,3,100.00,0,Nil
37,GWL-SMVB MEXP [MAIL EXPRESS],North Central Railway,JHANSI DIVISION,11086,3,0.27,3,100.00,0,Satisfactory
38,BBN-HWH JAN SHATABDI EXP [JAN SHATABDI],South Eastern Railway,KHARAGPUR DIVISION,12022,3,0.27,3,100.00,0,UnSatisfactory
39,SHC GARIB RATH [GARIB RATH],Northern Railway,FIROZPUR DIVISION,12204,3,0.27,3,100.00,0,UnSatisfactory
40,HWH-PURI SHATABDI EXP [SHATABDI],East Coast Railway,KHURDA DIVISION,12277,3,0.27,3,100.00,0,Satisfactory
