S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,MAJN-ADI SPECIAL [TRAIN ON DEMAND],Western Railway,AHMEDABAD DIVISION,09423,14,1.11,14,100.00,0,UnSatisfactory
2,PNBE-BBU INTERCITY EXP [MAIL EXPRESS],East Central Railway,SAMASTIPUR DIVISION,13249,12,0.95,12,100.00,0,UnSatisfactory
3,HUMSAFAR EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12504,9,0.71,9,100.00,0,Satisfactory
4,RANIKHET EXP [MAIL EXPRESS],North Eastern Railway,IZATNAGAR DIVISION,15013,8,0.63,8,100.00,0,Satisfactory
5,BJU-NDLS SPECIAL [TRAIN ON DEMAND],East Central Railway,SONEPUR DIVISION,02563,7,0.55,7,100.00,0,Excellent
6,HWH CSMT GITANJALI EXP [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,12860,7,0.55,7,100.00,0,Nil
7,MAURYA EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15027,7,0.55,7,100.00,0,Excellent
8,GKP-KOAA EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15048,7,0.55,7,100.00,0,Satisfactory
9,PATNA-PURI EXPRESS [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18406,7,0.55,7,100.00,0,Excellent
10,NZM SC RAJDHANI EXPRESS [RAJDHANI],Northern Railway,DELHI DIVISION,12438,6,0.47,6,100.00,0,Excellent
11,PURI-ANVT PURUSHOTTAM [SUPERFAST],East Coast Railway,KHURDA DIVISION,12801,6,0.47,6,100.00,0,Excellent
12,RGD-LTT EXPRESS [MAIL EXPRESS],East Central Railway,DANAPUR DIVISION,13201,6,0.47,6,100.00,0,Nil
13,SHALIMAR MALINI EXP [MAIL EXPRESS],Northern Railway,JAMMU DIVISION,14662,6,0.47,6,100.00,0,Nil
14,SHM BVJ SUF EXP [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,22830,6,0.47,6,100.00,0,Satisfactory
15,PUNE-ERS POORNA EXPRESS [MAIL EXPRESS],Central Railway,PUNE DIVISION,11097,5,0.39,5,100.00,0,UnSatisfactory
16,KURJ-KKDE EXPRES [MAIL EXPRESS],North Central Railway,JHANSI DIVISION,11841,5,0.39,5,100.00,0,Excellent
17,SMVB-DNR SANGHAMITRA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12295,5,0.39,5,100.00,0,Excellent
18,HWH-SMVB SUF EXPRESS [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,12863,5,0.39,5,100.00,0,Excellent
19,NDLS-RNC GARIBRATH EXP [GARIB RATH],South Eastern Railway,RANCHI DIVISION,12878,5,0.39,5,100.00,0,Nil
20,CHZ-SCL EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15645,5,0.39,5,100.00,0,UnSatisfactory
21,ASR INDB EXPRESS [MAIL EXPRESS],Western Railway,RATLAM DIVISION,19326,5,0.39,5,100.00,0,Nil
22,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22503,5,0.39,5,100.00,0,Nil
23,LKU-RJT SUMMER SPL [TRAIN ON DEMAND],North Eastern Railway,IZATNAGAR DIVISION,05045,4,0.32,4,100.00,0,Excellent
24,ASR CSMT EXPRESS [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11058,4,0.32,4,100.00,0,Nil
25,PUNE-JAT EXP [MAIL EXPRESS],Central Railway,PUNE DIVISION,11077,4,0.32,4,100.00,0,Satisfactory
26,CSMT-SBC UDYAN EXPRESS [MAIL EXPRESS],Central Railway,SHOLAPUR DIVISION,11301,4,0.32,4,100.00,0,Excellent
27,PUNE-DNR AMRIT BHARAT [AMRIT BHARAT],Central Railway,PUNE DIVISION,11431,4,0.32,4,100.00,0,Excellent
28,YPR-DEE DURONTO EXP [DURONTO EXPRESS],South Western Railway,BANGALORE DIVISION,12213,4,0.32,4,100.00,0,Excellent
29,BDTS-DEE GARIBRATH [GARIB RATH],Northern Railway,DELHI DIVISION,12216,4,0.32,4,100.00,0,Excellent
30,PUSHPAK SF EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12533,4,0.32,4,100.00,0,Excellent
31,TVC-NDLS KERALA SF EXP [SUPERFAST],Southern Railway,THIRUVANANTHAPURAM DIVISION,12625,4,0.32,4,100.00,0,Excellent
32,ADI-MAS NAVJEEVAN EXP [SUPERFAST],Southern Railway,CHENNAI DIVISION,12655,4,0.32,4,100.00,0,Nil
33,ANVT-PURI PURSHOTTAM [SUPERFAST],East Coast Railway,KHURDA DIVISION,12802,4,0.32,4,100.00,0,Excellent
34,HWH-CSMT MAIL [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,12810,4,0.32,4,100.00,0,Satisfactory
35,NANDAN KANAN S/F (ADRA) [SUPERFAST],East Coast Railway,KHURDA DIVISION,12815,4,0.32,4,100.00,0,Excellent
36,ARA-RJPB-NJP CAPITAL EXP [MAIL EXPRESS],East Central Railway,DANAPUR DIVISION,13246,4,0.32,4,100.00,0,Excellent
37,GANGASUTLEJ EXPRESS [MAIL EXPRESS],East Central Railway,DHANBAD DIVISION,13308,4,0.32,4,100.00,0,Excellent
38,TRIVENI EXP [MAIL EXPRESS],North Eastern Railway,IZATNAGAR DIVISION,15076,4,0.32,4,100.00,0,Excellent
39,SIKKIM MAHANANDA EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,ALIPURDUAR DIVISION,15483,4,0.32,4,100.00,0,UnSatisfactory
40,AGTL-DGHR EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15626,4,0.32,4,100.00,0,Nil
