S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,HWH-CSMT DURONTO EXPRESS [DURONTO EXPRESS],South Eastern Railway,KHARAGPUR DIVISION,12262,6,0.96,6,100.00,0,Nil
2,RANIKHET EXP [MAIL EXPRESS],North Eastern Railway,IZATNAGAR DIVISION,15013,6,0.96,6,100.00,0,UnSatisfactory
3,SVDK-KYQ EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15656,6,0.96,5,83.33,1,Nil
4,BRAHMAPUTRA MAIL [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15657,6,0.96,6,100.00,0,UnSatisfactory
5,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22504,6,0.96,6,100.00,0,Nil
6,NDLS-RJPB TEJAS RAJ EXP [RAJDHANI],East Central Railway,DANAPUR DIVISION,12310,5,0.80,5,100.00,0,UnSatisfactory
7,HWH-BME BI WKLY EXP [SUPERFAST],Eastern Railway,HOWRAH DIVISION,12323,5,0.80,5,100.00,0,Nil
8,ANVT-PURI PURSHOTTAM [SUPERFAST],East Coast Railway,KHURDA DIVISION,12802,5,0.80,5,100.00,0,Nil
9,NDLS-BBS TEJAS RAJDHANI [RAJDHANI],East Coast Railway,KHURDA DIVISION,22824,5,0.80,5,100.00,0,Excellent
10,TVC-NZM RAJDHANI EXP [RAJDHANI],Northern Railway,DELHI DIVISION,12431,4,0.64,4,100.00,0,UnSatisfactory
11,GOA SMPRK K EXP [SUPERFAST],Northern Railway,AMBALA DIVISION,12449,4,0.64,4,100.00,0,Nil
12,MFP-ANVT SAPTKRANTI EXP [SUPERFAST],East Central Railway,SAMASTIPUR DIVISION,12557,4,0.64,4,100.00,0,Nil
13,HWH-SC FALAKNUMA [SUPERFAST],South Central Railway,SECUNDERABAD DIVISION,12703,4,0.64,4,100.00,0,Nil
14,ADI-HWH SUPERFAST EXPRESS [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,12833,4,0.64,4,100.00,0,Excellent
15,LTT-BBS BI-WEEKLYS.F. EXP [SUPERFAST],East Coast Railway,KHURDA DIVISION,12879,4,0.64,4,100.00,0,Nil
16,KASHI EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15017,4,0.64,4,100.00,0,UnSatisfactory
17,HDP-MFP EXPRESS [MAIL EXPRESS],East Central Railway,SAMASTIPUR DIVISION,15590,4,0.64,4,100.00,0,UnSatisfactory
18,NDLS-RJPB AMRIT BHARAT [AMRIT BHARAT],East Central Railway,DANAPUR DIVISION,22362,4,0.64,4,100.00,0,Nil
19,GTNR-SRE VANADE BHARAT [VANDE BHARAT],North Eastern Railway,LUCKNOW DIVISION,26504,4,0.64,4,100.00,0,UnSatisfactory
20,HUMSAFAR EXP SPL [TRAIN ON DEMAND],Northern Railway,FIROZPUR DIVISION,04651,3,0.48,3,100.00,0,UnSatisfactory
21,DURONTO EXPRESS [DURONTO EXPRESS],Northern Railway,DELHI DIVISION,12266,3,0.48,3,100.00,0,Satisfactory
22,CSMT-HWH KOLKATA MAIL [SUPERFAST],Eastern Railway,HOWRAH DIVISION,12322,3,0.48,3,100.00,0,Nil
23,NDLS-BSP [RAJDHANI],Northern Railway,DELHI DIVISION,12442,3,0.48,3,100.00,0,UnSatisfactory
24,GHY-SMVB S/F EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12510,3,0.48,3,100.00,0,UnSatisfactory
25,NDLS-MAS GRAND TRUNK EXP [SUPERFAST],Southern Railway,CHENNAI DIVISION,12616,3,0.48,3,100.00,0,UnSatisfactory
26,NDLS-MAS TAMILNADU SF EXP [SUPERFAST],Southern Railway,CHENNAI DIVISION,12622,3,0.48,3,100.00,0,Nil
27,SMVB-HWH SUPERFAST EXP [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,12864,3,0.48,3,100.00,0,Nil
28,ANVT-HTE JHARKHAND EXP [SUPERFAST],South Eastern Railway,RANCHI DIVISION,12874,3,0.48,3,100.00,0,Nil
29,AHMEDABAD RAJDHANI [RAJDHANI],Western Railway,AHMEDABAD DIVISION,12958,3,0.48,3,100.00,0,Nil
30,DHANBAD - ALLEPY EXPRESS [MAIL EXPRESS],East Central Railway,DHANBAD DIVISION,13351,3,0.48,3,100.00,0,Satisfactory
31,SHM VSG AMARAVATI EXP [MAIL EXPRESS],South Eastern Railway,KHARAGPUR DIVISION,18047,3,0.48,3,100.00,0,Excellent
32,RAJDHANI EXPRESS [RAJDHANI],Northeast Frontier Railway,TINSUKIA DIVISION,20504,3,0.48,2,66.67,1,Nil
33,SC-VSKP VANDE BHARAT EXP [VANDE BHARAT],South Coast Railway,VISAKHAPATNAM DIVISION,20834,3,0.48,3,100.00,0,Nil
34,SGRL-NZM URJADHANI SF EXP [SUPERFAST],West Central Railway,BHOPAL DIVISION,22167,3,0.48,3,100.00,0,UnSatisfactory
35,SHRI SHAKTI EXPRES [SUPERFAST],Northern Railway,JAMMU DIVISION,22461,3,0.48,3,100.00,0,UnSatisfactory
36,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22503,3,0.48,3,100.00,0,Nil
37,NZM-SBC RAJDHANI EXP [RAJDHANI],South Western Railway,BANGALORE DIVISION,22692,3,0.48,3,100.00,0,UnSatisfactory
38,BJU-NDLS SPECIAL [TRAIN ON DEMAND],East Central Railway,SONEPUR DIVISION,02563,2,0.32,2,100.00,0,Nil
39,ANVT-MFP SPL [TRAIN ON DEMAND],Northern Railway,DELHI DIVISION,04030,2,0.32,2,100.00,0,Excellent
40,SHC- ANVT EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,SAMASTIPUR DIVISION,05575,2,0.32,2,100.00,0,Nil
