S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,BJU-NDLS SPECIAL [TRAIN ON DEMAND],East Central Railway,SONEPUR DIVISION,02563,6,1.75,6,100.00,0,Excellent
2,PUSHPAK SF EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12534,5,1.46,5,100.00,0,Excellent
3,FARAKKA EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15734,4,1.17,4,100.00,0,Nil
4,SBC-DNR HMSF SF EXP SPL [TRAIN ON DEMAND],South Western Railway,BANGALORE DIVISION,06509,3,0.88,3,100.00,0,Excellent
5,SBC-CSMT EXP [MAIL EXPRESS],Central Railway,SHOLAPUR DIVISION,11302,3,0.88,3,100.00,0,Satisfactory
6,DHN-BPL EXPRESS [MAIL EXPRESS],West Central Railway,BHOPAL DIVISION,11632,3,0.88,3,100.00,0,Satisfactory
7,BPL-LJN-GARIBRATH SF [GARIB RATH],North Eastern Railway,LUCKNOW DIVISION,12594,3,0.88,3,100.00,0,Excellent
8,DGHR-AGTL EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15625,3,0.88,3,100.00,0,Nil
9,LTT-AGTL AC EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15659,3,0.88,3,100.00,0,Nil
10,CDG-DBRG EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15904,3,0.88,3,100.00,0,Nil
11,ASR BSP CHATTISGARH [MAIL EXPRESS],South East Central Railway,BILASPUR DIVISION,18238,3,0.88,3,100.00,0,Nil
12,PATALKOT SUF EXP [SUPERFAST],Northern Railway,FIROZPUR DIVISION,20423,3,0.88,3,100.00,0,Nil
13,YPR-BBS SUMMER SPECIAL [TRAIN ON DEMAND],East Coast Railway,KHURDA DIVISION,02812,2,0.58,2,100.00,0,Excellent
14,CSMT-ASR AMRITSAR EXP [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11057,2,0.58,2,100.00,0,Nil
15,CPR LTT EXPRESS [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11060,2,0.58,2,100.00,0,Nil
