S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15910,7,1.24,7,100.00,0,Excellent
2,CHENNAI JAIPUR SUP [SUPERFAST],North Western Railway,JAIPUR DIVISION,12967,5,0.88,5,100.00,0,UnSatisfactory
3,RAJDHANI EXPRESS [RAJDHANI],Northeast Frontier Railway,TINSUKIA DIVISION,20503,5,0.88,5,100.00,0,Excellent
4,SWARNA SHATABDI EXP [SHATABDI],Northern Railway,DELHI DIVISION,12030,4,0.71,4,100.00,0,UnSatisfactory
5,RAJDHANI EXPRESS [RAJDHANI],Northern Railway,DELHI DIVISION,12423,4,0.71,4,100.00,0,UnSatisfactory
6,NZM-TVC RAJDHANI EXP [RAJDHANI],Northern Railway,DELHI DIVISION,12432,4,0.71,4,100.00,0,UnSatisfactory
7,UTTAR SMPRKKRANTI EXP [SUPERFAST],Northern Railway,DELHI DIVISION,12445,4,0.71,4,100.00,0,UnSatisfactory
8,NZM-ERS MANGALA SF EXP [SUPERFAST],Southern Railway,THIRUVANANTHAPURAM DIVISION,12618,4,0.71,3,75.00,1,Nil
9,KLK HWH NETAJI EXP [MAIL EXPRESS],Eastern Railway,HOWRAH DIVISION,13052,4,0.71,4,100.00,0,Nil
10,ASR- DBG JANNAYAK EXP [MAIL EXPRESS],East Central Railway,SAMASTIPUR DIVISION,15212,4,0.71,4,100.00,0,Nil
11,ASR BSP CHATTISGARH [MAIL EXPRESS],South East Central Railway,BILASPUR DIVISION,18238,4,0.71,4,100.00,0,Nil
12,BBS-SBC PRASHANTI EXP [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18463,4,0.71,4,100.00,0,Nil
13,NDLS - RNC RAJDHANI EXP [RAJDHANI],South Eastern Railway,RANCHI DIVISION,20840,4,0.71,4,100.00,0,Nil
14,VANDE BHARAT SLEEPER [VANDE BHARAT SLEEPER],Northeast Frontier Railway,LUMDING DIVISION,27576,4,0.71,4,100.00,0,Satisfactory
15,LTT-CNB SUF. SPL [TRAIN ON DEMAND],North Central Railway,PRAYAGRAJ DIVISION,04152,3,0.53,3,100.00,0,UnSatisfactory
16,RKMP - NDLS SHATABDI EXP [SHATABDI],Northern Railway,DELHI DIVISION,12001,3,0.53,3,100.00,0,UnSatisfactory
17,STP-LTT EXPRESS [SUPERFAST],Central Railway,BOMBAY DIVISION,12108,3,0.53,3,100.00,0,Nil
18,LTT-PURI WEEKLY EXP. [SUPERFAST],Central Railway,BOMBAY DIVISION,12145,3,0.53,3,100.00,0,UnSatisfactory
19,YPR-DEE DURONTO EXP [DURONTO EXPRESS],South Western Railway,BANGALORE DIVISION,12213,3,0.53,3,100.00,0,UnSatisfactory
20,MMCT - HSR DURANTO [DURONTO EXPRESS],Western Railway,MUMBAI DIVISION,12239,3,0.53,3,100.00,0,Nil
21,CSMT-HWH DURONTO EXPRESS [DURONTO EXPRESS],South Eastern Railway,KHARAGPUR DIVISION,12261,3,0.53,3,100.00,0,Nil
22,ASN CSMT WEEKLY EXP [SUPERFAST],Eastern Railway,ASANSOL DIVISION,12361,3,0.53,3,100.00,0,UnSatisfactory
23,PUSHPAK SF EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12533,3,0.53,3,100.00,0,Nil
24,BIHAR SAMPARK KRANTI EXP [SUPERFAST],East Central Railway,SAMASTIPUR DIVISION,12565,3,0.53,3,100.00,0,Excellent
25,VSKP-NZM SAMTA EXP. [SUPERFAST],South Coast Railway,VISAKHAPATNAM DIVISION,12807,3,0.53,3,100.00,0,Nil
26,HWH-CSMT MAIL [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,12810,3,0.53,3,100.00,0,Excellent
27,HWH-MAS MAIL [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,12839,3,0.53,3,100.00,0,Nil
28,HWH-MAS COROMONDEL EXP [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,12841,3,0.53,3,100.00,0,Satisfactory
29,JAT HWH HIMGRI EXPRESS [MAIL EXPRESS],Eastern Railway,HOWRAH DIVISION,13042,3,0.53,3,100.00,0,Nil
30,KOAA-JAT EXP [MAIL EXPRESS],Eastern Railway,SEALDAH DIVISION,13151,3,0.53,3,100.00,0,Excellent
31,GKP-PNVL EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15065,3,0.53,3,100.00,0,Nil
32,BGKT-KCG [MAIL EXPRESS],South Central Railway,HYDERABAD DIVISION,17606,3,0.53,3,100.00,0,Satisfactory
33,YNRK-PURI EXPRESS [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18478,3,0.53,3,100.00,0,Satisfactory
34,MFP - PBR EXP [MAIL EXPRESS],Western Railway,BHAVNAGAR DIVISION,19270,3,0.53,3,100.00,0,UnSatisfactory
35,MDU-CDG EXP [SUPERFAST],Northern Railway,AMBALA DIVISION,20493,3,0.53,3,100.00,0,Nil
36,NDLS-VSKP SUF AP EXPRESS [SUPERFAST],South Coast Railway,VISAKHAPATNAM DIVISION,20806,3,0.53,3,100.00,0,Nil
37,ASR-VSKP SF HIRAKUD EXP [SUPERFAST],South Coast Railway,VISAKHAPATNAM DIVISION,20808,3,0.53,3,100.00,0,UnSatisfactory
38,BKN-HWH EXP [SUPERFAST],Eastern Railway,HOWRAH DIVISION,22308,3,0.53,3,100.00,0,Nil
39,GKP- YPR SF [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,22533,3,0.53,3,100.00,0,Nil
40,SMVB -DNR SF EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DANAPUR DIVISION,03252,2,0.35,2,100.00,0,Nil
