S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,YNRK-PURI EXPRESS [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18478,10,1.02,10,100.00,0,Satisfactory
2,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15910,9,0.92,9,100.00,0,Satisfactory
3,RAJDHANI EXPRESS [RAJDHANI],Northeast Frontier Railway,TINSUKIA DIVISION,20503,8,0.82,8,100.00,0,UnSatisfactory
4,DNR-PUNE AMRIT BHARAT [AMRIT BHARAT],Central Railway,PUNE DIVISION,11432,7,0.72,7,100.00,0,UnSatisfactory
5,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22503,7,0.72,7,100.00,0,Satisfactory
6,CDG-DBRG EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15904,6,0.61,6,100.00,0,Satisfactory
7,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15909,6,0.61,6,100.00,0,Satisfactory
8,PURI-DURG EXP. [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18425,6,0.61,2,33.33,4,UnSatisfactory
9,JAT - SBIB EXP [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19224,6,0.61,6,100.00,0,Satisfactory
10,ADI - PNBE EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19421,6,0.61,6,100.00,0,Satisfactory
11,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22504,6,0.61,6,100.00,0,Satisfactory
12,ADI - MAS HUMSAFAR [SUPERFAST],Western Railway,AHMEDABAD DIVISION,22920,6,0.61,6,100.00,0,Excellent
13,PRYJ-UDN SUMMER SPL [TRAIN ON DEMAND],North Central Railway,PRAYAGRAJ DIVISION,04105,5,0.51,5,100.00,0,UnSatisfactory
14,GARIB RATH EX [GARIB RATH],Northern Railway,FIROZPUR DIVISION,12203,5,0.51,5,100.00,0,Satisfactory
15,SMVB-DNR SANGHAMITRA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12295,5,0.51,3,60.00,2,Excellent
16,JBN-ANVT SUPERFASTEXP [SUPERFAST],Northern Railway,DELHI DIVISION,12487,5,0.51,5,100.00,0,Nil
17,GARIB RATH EXPRESS [GARIB RATH],Northeast Frontier Railway,LUMDING DIVISION,12501,5,0.51,5,100.00,0,Nil
18,NZM-TPTY [SUPERFAST],South Coast Railway,GUNTAKAL DIVISION,12708,5,0.51,5,100.00,0,Nil
19,BNRS DDN EXP [MAIL EXPRESS],North Eastern Railway,VARANASI DIVISION,15119,5,0.51,5,100.00,0,UnSatisfactory
20,AMRIT BHARAT EXPRESS [AMRIT BHARAT],Northeast Frontier Railway,TINSUKIA DIVISION,15950,5,0.51,5,100.00,0,Excellent
21,JAT-TATA EXP [MAIL EXPRESS],South Eastern Railway,CHAKRADHARPUR DIVISION,18102,5,0.51,5,100.00,0,Nil
22,PRNC HTE EXPRESS [MAIL EXPRESS],South Eastern Railway,RANCHI DIVISION,18625,5,0.51,5,100.00,0,Excellent
23,SBIB - SVDK EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19415,5,0.51,5,100.00,0,UnSatisfactory
24,GIMB-VSKP WEEKLY EXP [SUPERFAST],South Coast Railway,VISAKHAPATNAM DIVISION,20804,5,0.51,5,100.00,0,UnSatisfactory
25,NDLS-BBS VIA-SBPY [RAJDHANI],East Coast Railway,KHURDA DIVISION,20818,5,0.51,5,100.00,0,Excellent
26,SMVB - TATA SUF EXPRESS [SUPERFAST],South Eastern Railway,CHAKRADHARPUR DIVISION,12890,4,0.41,4,100.00,0,Nil
27,HW-JAT EXPRESS [MAIL EXPRESS],Northern Railway,JAMMU DIVISION,14605,4,0.41,4,100.00,0,Satisfactory
28,SHALIMAR MALINI EXP [MAIL EXPRESS],Northern Railway,JAMMU DIVISION,14662,4,0.41,4,100.00,0,Nil
29,CBE-SCL EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15627,4,0.41,4,100.00,0,Nil
30,GIMB-KYQ EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15667,4,0.41,4,100.00,0,Nil
31,KIR-ASR EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15707,4,0.41,4,100.00,0,Satisfactory
32,JBN-ED AMRIT BHARAT EXP [AMRIT BHARAT],Southern Railway,SALEM DIVISION,16602,4,0.41,4,100.00,0,Satisfactory
33,GKP-SBIB EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19410,4,0.41,4,100.00,0,Excellent
34,PATALKOT EXP [SUPERFAST],Northern Railway,FIROZPUR DIVISION,20424,4,0.41,4,100.00,0,Excellent
35,TVCN - PBR EXP [SUPERFAST],Western Railway,BHAVNAGAR DIVISION,20909,4,0.41,4,100.00,0,Nil
36,PPTA - CDG EXPRESS [SUPERFAST],East Central Railway,DANAPUR DIVISION,22355,4,0.41,4,100.00,0,Nil
37,AGTL-RKMP EXP SPL [TRAIN ON DEMAND],West Central Railway,BHOPAL DIVISION,01666,3,0.31,3,100.00,0,Excellent
38,SHK-ANVT EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,Pt. DEEN DAYAL UPADHYAYA DIVISION,02397,3,0.31,3,100.00,0,Satisfactory
39,SFG-DDR SUMMER SPL [TRAIN ON DEMAND],North Central Railway,PRAYAGRAJ DIVISION,04175,3,0.31,3,100.00,0,Satisfactory
40,BSL-DDR TOD SPL [TRAIN ON DEMAND],Western Railway,BHAVNAGAR DIVISION,09052,3,0.31,3,100.00,0,Nil
