S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,KAALINDI EXP [MAIL EXPRESS],North Central Railway,PRAYAGRAJ DIVISION,14117,7,1.50,7,100.00,0,UnSatisfactory
2,LTT-AGTL AC EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15659,7,1.50,7,100.00,0,Nil
3,TVC-MAS SF MAIL [SUPERFAST],Southern Railway,SALEM DIVISION,12624,6,1.28,6,100.00,0,Nil
4,NZM-VSG GOA EXPRESS [SUPERFAST],South Western Railway,HUBLI DIVISION,12780,5,1.07,3,60.00,2,Nil
5,JBN-ED AMRIT BHARAT EXP [AMRIT BHARAT],Southern Railway,SALEM DIVISION,16602,5,1.07,5,100.00,0,Nil
6,PRYJ-UDN SUMMER SPL [TRAIN ON DEMAND],North Central Railway,PRAYAGRAJ DIVISION,04105,4,0.86,4,100.00,0,Satisfactory
7,SMVB - TATA SUF EXPRESS [SUPERFAST],South Eastern Railway,CHAKRADHARPUR DIVISION,12890,4,0.86,4,100.00,0,Nil
8,MAURYA EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15027,4,0.86,4,100.00,0,UnSatisfactory
9,ANVT BBS WEEKLY SF [SUPERFAST],East Coast Railway,KHURDA DIVISION,22806,4,0.86,4,100.00,0,Excellent
10,LKU-RJT SUMMER SPL [TRAIN ON DEMAND],North Eastern Railway,IZATNAGAR DIVISION,05045,3,0.64,3,100.00,0,Nil
11,JAT-PNBE ARCHANA EXPRESS [SUPERFAST],East Central Railway,DANAPUR DIVISION,12356,3,0.64,3,100.00,0,Nil
12,SHANE PUNJAB EXPRESS [SUPERFAST],Northern Railway,DELHI DIVISION,12498,3,0.64,3,100.00,0,UnSatisfactory
13,GARIB RATH EXPRESS [GARIB RATH],Northeast Frontier Railway,LUMDING DIVISION,12501,3,0.64,3,100.00,0,Satisfactory
14,ADI-MAS NAVJEEVAN EXP [SUPERFAST],Southern Railway,CHENNAI DIVISION,12655,3,0.64,3,100.00,0,Excellent
15,HYB-NDLSTELANGANA EXPRESS [SUPERFAST],South Central Railway,SECUNDERABAD DIVISION,12723,3,0.64,3,100.00,0,Excellent
16,ADI-PURI S/F EXP. [SUPERFAST],East Coast Railway,KHURDA DIVISION,12844,3,0.64,3,100.00,0,UnSatisfactory
17,MEWAR EXPRESS [SUPERFAST],North Western Railway,AJMER DIVISION,12964,3,0.64,2,66.67,1,UnSatisfactory
18,HWH KGM BAGH EXP [MAIL EXPRESS],Eastern Railway,HOWRAH DIVISION,13019,3,0.64,3,100.00,0,Excellent
19,RANAKPUR EXP [MAIL EXPRESS],North Western Railway,BIKANER DIVISION,14707,3,0.64,3,100.00,0,Satisfactory
20,BME-GHY EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15631,3,0.64,3,100.00,0,Nil
21,KYQ-PURI EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15640,3,0.64,3,100.00,0,Nil
22,GIMB-KYQ EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15667,3,0.64,3,100.00,0,Nil
23,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15909,3,0.64,3,100.00,0,Nil
24,AMRIT BHARAT EXPRESS [AMRIT BHARAT],Northeast Frontier Railway,TINSUKIA DIVISION,15950,3,0.64,3,100.00,0,Nil
25,CLT-SBC EXPRESS [MAIL EXPRESS],South Western Railway,BANGALORE DIVISION,16512,3,0.64,3,100.00,0,Nil
26,PRNC HTE EXPRESS [MAIL EXPRESS],South Eastern Railway,RANCHI DIVISION,18625,3,0.64,3,100.00,0,Nil
27,SRC - ANVT SF EXP [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,22857,3,0.64,2,66.67,1,Nil
28,CNB-ASV WEEKLY SPL [TRAIN ON DEMAND],North Central Railway,PRAYAGRAJ DIVISION,01905,2,0.43,2,100.00,0,Nil
