S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,PATNA-PURI EXPRESS [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18406,19,1.75,19,100.00,0,Satisfactory
2,BBS-SBC PRASHANTI EXP [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18463,8,0.74,8,100.00,0,Excellent
3,GKP-DR SPL [TRAIN ON DEMAND],Central Railway,BOMBAY DIVISION,01028,7,0.64,7,100.00,0,UnSatisfactory
4,BGP - GIMB SPECIAL [TRAIN ON DEMAND],Western Railway,AHMEDABAD DIVISION,09452,7,0.64,7,100.00,0,UnSatisfactory
5,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22503,7,0.64,7,100.00,0,Satisfactory
6,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22504,7,0.64,7,100.00,0,Excellent
7,JAT-PUNE JHELUM EXPRESS [MAIL EXPRESS],Central Railway,PUNE DIVISION,11078,6,0.55,6,100.00,0,Excellent
8,GARIB RATH EX [GARIB RATH],Northern Railway,FIROZPUR DIVISION,12203,6,0.55,6,100.00,0,Excellent
9,MAS-NZM DURONTO [DURONTO EXPRESS],Southern Railway,CHENNAI DIVISION,12269,6,0.55,6,100.00,0,UnSatisfactory
10,YNRK-PURI EXPRESS [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18478,6,0.55,6,100.00,0,Excellent
11,CSMT-ASR AMRITSAR EXP [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11057,5,0.46,5,100.00,0,Satisfactory
12,HWH-RJPB EXPRESS [SUPERFAST],East Central Railway,DANAPUR DIVISION,12351,5,0.46,5,100.00,0,UnSatisfactory
13,PUSHPAK SF EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12534,5,0.46,5,100.00,0,Excellent
14,ADI-PURI S/F EXP. [SUPERFAST],East Coast Railway,KHURDA DIVISION,12844,5,0.46,5,100.00,0,Excellent
15,PPTA LJN EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15033,5,0.46,5,100.00,0,Excellent
16,CBE-SCL EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15627,5,0.46,5,100.00,0,Nil
17,GHY-NJP INTERCITY EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15676,5,0.46,5,100.00,0,Excellent
18,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15910,5,0.46,5,100.00,0,Excellent
19,PURI-OKHA WEEKLY EXP. [SUPERFAST],East Coast Railway,KHURDA DIVISION,20819,5,0.46,5,100.00,0,Satisfactory
20,MAS-CSMT MUMBAI EXPRESS [SUPERFAST],Central Railway,BOMBAY DIVISION,22160,5,0.46,5,100.00,0,Nil
21,DHN-KOP DIKSHABHUMI EXP [MAIL EXPRESS],Central Railway,PUNE DIVISION,11046,4,0.37,4,100.00,0,Excellent
22,M P S KRANTI EXP [SUPERFAST],West Central Railway,JABALPUR DIVISION,12122,4,0.37,4,100.00,0,UnSatisfactory
23,CSMT-NGP SEWAGRAM EXP [SUPERFAST],Central Railway,NAGPUR DIVISION,12139,4,0.37,4,100.00,0,Excellent
24,GHY-SMVB S/F EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12510,4,0.37,4,100.00,0,Nil
25,RAPTISAGAR EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12512,4,0.37,4,100.00,0,Excellent
26,PURI-ANVT NEELACHAL [SUPERFAST],East Coast Railway,KHURDA DIVISION,12875,4,0.37,4,100.00,0,Nil
27,SMVB - TATA SUF EXPRESS [SUPERFAST],South Eastern Railway,CHAKRADHARPUR DIVISION,12890,4,0.37,4,100.00,0,UnSatisfactory
28,GKP-LTT EXPRESS [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15018,4,0.37,4,100.00,0,Excellent
29,KYQ-SVDK EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15655,4,0.37,4,100.00,0,Nil
30,BRAHMAPUTRA MAIL [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15658,4,0.37,4,100.00,0,UnSatisfactory
31,FARAKKA EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15743,4,0.37,4,100.00,0,Satisfactory
32,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15909,4,0.37,4,100.00,0,Nil
33,DBRG-LTT EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15946,4,0.37,4,100.00,0,Nil
34,BXR-ARA-TATA EXPRESS [MAIL EXPRESS],South Eastern Railway,CHAKRADHARPUR DIVISION,18184,4,0.37,4,100.00,0,Nil
35,BGY-PURI EXPRESS [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18401,4,0.37,4,100.00,0,Excellent
36,GKP-SBIB EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19410,4,0.37,4,100.00,0,Nil
37,BGKT-MAS SF EXP [SUPERFAST],Southern Railway,CHENNAI DIVISION,20626,4,0.37,4,100.00,0,Excellent
38,KUSHINAGAR SF [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,22537,4,0.37,4,100.00,0,Excellent
39,TPJ-MS CHOZHAN SF EXP [SUPERFAST],Southern Railway,MADURAI DIVISION,22676,4,0.37,4,100.00,0,Excellent
40,PURI-SURAT S/F WEEKLY [SUPERFAST],East Coast Railway,KHURDA DIVISION,22827,4,0.37,4,100.00,0,Excellent
