S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,PURI-ANVT NEELACHAL [SUPERFAST],East Coast Railway,KHURDA DIVISION,12875,17,0.89,17,100.00,0,Satisfactory
2,HWH-SMVB SUF EXPRESS [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,12863,13,0.68,13,100.00,0,Satisfactory
3,JYG LTT EXP [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11062,12,0.63,12,100.00,0,UnSatisfactory
4,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15910,12,0.63,12,100.00,0,Satisfactory
5,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22503,12,0.63,12,100.00,0,Satisfactory
6,GHY-SMVB S/F EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12510,11,0.58,11,100.00,0,Satisfactory
7,DNR-SC EXP [SUPERFAST],South Central Railway,SECUNDERABAD DIVISION,12792,11,0.58,11,100.00,0,Satisfactory
8,JBP-NZM DAILY EXP. [SUPERFAST],West Central Railway,JABALPUR DIVISION,22181,11,0.58,11,100.00,0,Satisfactory
9,DDN HWH KUMBHA EXP [MAIL EXPRESS],Eastern Railway,HOWRAH DIVISION,13038,10,0.52,10,100.00,0,Satisfactory
10,YNRK-TVCN SF EXP [SUPERFAST],Southern Railway,THIRUVANANTHAPURAM DIVISION,22660,10,0.52,10,100.00,0,Excellent
11,JAT-PUNE JHELUM EXPRESS [MAIL EXPRESS],Central Railway,PUNE DIVISION,11078,9,0.47,9,100.00,0,Excellent
12,FZR-CSMT PUNJAB MAIL [SUPERFAST],Central Railway,BOMBAY DIVISION,12138,9,0.47,9,100.00,0,Excellent
13,AF - AII INTERCITY [SUPERFAST],North Central Railway,AGRA DIVISION,12195,9,0.47,9,100.00,0,UnSatisfactory
14,NDLS-SBC KARNATAKA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12628,9,0.47,9,100.00,0,Satisfactory
15,KYQ-SVDK EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15655,9,0.47,9,100.00,0,UnSatisfactory
16,BRAHMAPUTRA MAIL [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15658,9,0.47,9,100.00,0,Nil
17,JHS BDTS SUF EXP [SUPERFAST],North Central Railway,JHANSI DIVISION,22195,9,0.47,9,100.00,0,Satisfactory
18,SAMPOORNA KRANTI EXPRESS [SUPERFAST],East Central Railway,DANAPUR DIVISION,12393,8,0.42,8,100.00,0,Satisfactory
19,MALWA EXPRESS [SUPERFAST],Western Railway,RATLAM DIVISION,12919,8,0.42,8,100.00,0,Excellent
20,YNRK HWH DOON EXP [MAIL EXPRESS],Eastern Railway,HOWRAH DIVISION,13010,8,0.42,8,100.00,0,Satisfactory
21,JAT HWH HIMGRI EXPRESS [MAIL EXPRESS],Eastern Railway,HOWRAH DIVISION,13042,8,0.42,8,100.00,0,Nil
22,MFP-SMVB EXPRESS [MAIL EXPRESS],East Central Railway,SAMASTIPUR DIVISION,15228,8,0.42,8,100.00,0,UnSatisfactory
