S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,PRYJ-UDN SUMMER SPL [TRAIN ON DEMAND],North Central Railway,PRAYAGRAJ DIVISION,04105,12,2.31,12,100.00,0,Satisfactory
2,PATNA-PURI EXPRESS [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18406,10,1.93,10,100.00,0,Excellent
3,PVR-TPTY [MAIL EXPRESS],South Coast Railway,GUNTAKAL DIVISION,17438,8,1.54,8,100.00,0,UnSatisfactory
4,KYQ-PURI EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15640,7,1.35,7,100.00,0,UnSatisfactory
5,PURI-ANVT NEELACHAL [SUPERFAST],East Coast Railway,KHURDA DIVISION,12875,5,0.96,5,100.00,0,Nil
6,NHLN-HAPA SPECIAL [TRAIN ON DEMAND],Western Railway,RAJKOT DIVISION,09526,4,0.77,4,100.00,0,Excellent
7,SOU-PUNE EXP [MAIL EXPRESS],Central Railway,PUNE DIVISION,11402,4,0.77,4,100.00,0,Excellent
8,SMVB-DNR SANGHAMITRA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12295,4,0.77,4,100.00,0,Nil
9,ANVT-PURI PURSHOTTAM [SUPERFAST],East Coast Railway,KHURDA DIVISION,12802,4,0.77,3,75.00,1,UnSatisfactory
10,PNBE- KOTA EXPRESS [MAIL EXPRESS],East Central Railway,DANAPUR DIVISION,13237,4,0.77,4,100.00,0,Excellent
11,KRISHAK EXPRESS [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15007,4,0.77,4,100.00,0,Satisfactory
12,JBN-ED AMRIT BHARAT EXP [AMRIT BHARAT],Southern Railway,SALEM DIVISION,16602,4,0.77,4,100.00,0,Satisfactory
13,VSKP-NDLS AP SF EXP [SUPERFAST],South Coast Railway,VISAKHAPATNAM DIVISION,20805,4,0.77,4,100.00,0,UnSatisfactory
14,ASR-VSKP SF HIRAKUD EXP [SUPERFAST],South Coast Railway,VISAKHAPATNAM DIVISION,20808,4,0.77,4,100.00,0,Excellent
15,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22503,4,0.77,3,75.00,1,UnSatisfactory
16,NZM-NED [TRAIN ON DEMAND],South Central Railway,NANDED DIVISION,07622,3,0.58,3,100.00,0,Nil
17,REWA-DADN EXP [MAIL EXPRESS],West Central Railway,JABALPUR DIVISION,11703,3,0.58,3,100.00,0,Excellent
18,LTT-PURI WEEKLY EXP. [SUPERFAST],Central Railway,BOMBAY DIVISION,12145,3,0.58,3,100.00,0,Nil
19,TVCN-LTT GARIBRATH [GARIB RATH],Southern Railway,THIRUVANANTHAPURAM DIVISION,12202,3,0.58,3,100.00,0,Nil
20,DNR-SMVB SANGHAMITRA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12296,3,0.58,3,100.00,0,UnSatisfactory
21,GARIB RATH EXPRESS [GARIB RATH],Northeast Frontier Railway,LUMDING DIVISION,12501,3,0.58,3,100.00,0,Satisfactory
22,ADI-MAS NAVJEEVAN EXP [SUPERFAST],Southern Railway,CHENNAI DIVISION,12655,3,0.58,3,100.00,0,Nil
23,CSMT-HWH MAIL [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,12809,3,0.58,3,100.00,0,Nil
24,DHANBAD - ALLEPY EXPRESS [MAIL EXPRESS],East Central Railway,DHANBAD DIVISION,13351,3,0.58,3,100.00,0,Nil
25,PRNC-ASR JANSEWA EXP [MAIL EXPRESS],Northern Railway,FIROZPUR DIVISION,14617,3,0.58,3,100.00,0,Nil
26,BPL JU EXP [MAIL EXPRESS],North Western Railway,JODHPUR DIVISION,14814,3,0.58,3,100.00,0,Nil
27,GKP-PNVL EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15065,3,0.58,3,100.00,0,Nil
28,KYQ-SVDK EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15655,3,0.58,3,100.00,0,Nil
29,GIMB-KYQ EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15667,3,0.58,3,100.00,0,Excellent
30,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15909,3,0.58,3,100.00,0,Nil
31,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15910,3,0.58,3,100.00,0,Satisfactory
32,DBRG-LTT EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15946,3,0.58,3,100.00,0,Nil
33,SHM LTT EXP [MAIL EXPRESS],South Eastern Railway,KHARAGPUR DIVISION,18030,3,0.58,3,100.00,0,Nil
34,BAM-UDN AMRIT BHARAT EXP [AMRIT BHARAT],Western Railway,MUMBAI DIVISION,19022,3,0.58,3,100.00,0,UnSatisfactory
35,GCT - BDTS EXPRESS [SUPERFAST],Western Railway,MUMBAI DIVISION,20942,3,0.58,3,100.00,0,Excellent
36,DD-GWL SPL SUF EXP [SUPERFAST],North Central Railway,JHANSI DIVISION,22193,3,0.58,3,100.00,0,Nil
37,PUNE-DNR SPL [TRAIN ON DEMAND],Central Railway,PUNE DIVISION,01449,2,0.39,2,100.00,0,Nil
38,DNR- SMVB SF EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DANAPUR DIVISION,03251,2,0.39,2,100.00,0,Excellent
39,SFG-DDR SUMMER SPL [TRAIN ON DEMAND],North Central Railway,PRAYAGRAJ DIVISION,04175,2,0.39,2,100.00,0,Excellent
40,SMVB-MLDT SPL [TRAIN ON DEMAND],South Western Railway,BANGALORE DIVISION,06565,2,0.39,2,100.00,0,Nil
