S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,DNR-SC EXP [SUPERFAST],South Central Railway,SECUNDERABAD DIVISION,12792,37,1.67,36,97.30,1,UnSatisfactory
2,BGP ANVT VIKRAM SHILA EXP [SUPERFAST],Eastern Railway,MALDA DIVISION,12367,25,1.13,25,100.00,0,UnSatisfactory
3,BGP-YPR ANGA EXPRESS [SUPERFAST],South Western Railway,BANGALORE DIVISION,12254,22,0.99,21,95.45,1,UnSatisfactory
4,KOAA-JAT EXP [MAIL EXPRESS],Eastern Railway,SEALDAH DIVISION,13151,21,0.95,21,100.00,0,UnSatisfactory
5,GHY-LTT EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15648,21,0.95,21,100.00,0,UnSatisfactory
6,SHM-PURI SRI JAGANNATH EX [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18409,21,0.95,21,100.00,0,Excellent
7,PUKK-PURI RATH YATRA SPL [TRAIN ON DEMAND],East Coast Railway,SAMBALPUR DIVISION,08561,18,0.81,18,100.00,0,Excellent
8,JYG LTT EXP [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11062,17,0.77,16,94.12,1,Satisfactory
9,BJU-ERS RAPTI SAGAR EXP [SUPERFAST],East Central Railway,SONEPUR DIVISION,12521,17,0.77,16,94.12,1,Satisfactory
10,SHC - ADI EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19484,17,0.77,17,100.00,0,Satisfactory
11,JBP-NZM DAILY EXP. [SUPERFAST],West Central Railway,JABALPUR DIVISION,22181,17,0.77,17,100.00,0,Satisfactory
12,DNR-SMVB SANGHAMITRA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12296,16,0.72,16,100.00,0,Satisfactory
13,JSME-TBM SF EXPRESS [SUPERFAST],Eastern Railway,ASANSOL DIVISION,12376,14,0.63,13,92.86,1,UnSatisfactory
14,HWH JAT HIMGIRI EXPRESS [MAIL EXPRESS],Eastern Railway,HOWRAH DIVISION,13041,13,0.59,13,100.00,0,Excellent
15,NAGAON EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15629,13,0.59,13,100.00,0,Satisfactory
16,MFP-ANVT SAPTKRANTI EXP [SUPERFAST],East Central Railway,SAMASTIPUR DIVISION,12557,12,0.54,12,100.00,0,UnSatisfactory
17,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15910,12,0.54,12,100.00,0,Satisfactory
18,SWANTRATA SENANI EXPRESS [SUPERFAST],East Central Railway,SAMASTIPUR DIVISION,12561,11,0.50,11,100.00,0,UnSatisfactory
19,BAGMATI EXPRESS [SUPERFAST],East Central Railway,SAMASTIPUR DIVISION,12577,11,0.50,11,100.00,0,UnSatisfactory
20,MALWA EXPRESS [SUPERFAST],Western Railway,RATLAM DIVISION,12919,11,0.50,11,100.00,0,Nil
21,BRAHMAPUTRA MAIL [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15657,11,0.50,11,100.00,0,Excellent
22,CNB-JAT EXPRESS [MAIL EXPRESS],Northern Railway,JAMMU DIVISION,12469,10,0.45,10,100.00,0,Excellent
23,NZM-VSG GOA EXPRESS [SUPERFAST],South Western Railway,HUBLI DIVISION,12780,10,0.45,10,100.00,0,Excellent
24,MALWA EXPRESS [SUPERFAST],Western Railway,RATLAM DIVISION,12920,10,0.45,10,100.00,0,Satisfactory
25,RGD-LTT EXPRESS [MAIL EXPRESS],East Central Railway,DANAPUR DIVISION,13201,10,0.45,10,100.00,0,Excellent
26,GKP-YPR-EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15023,10,0.45,10,100.00,0,Satisfactory
27,AVADH EXPRESS [MAIL EXPRESS],Western Railway,MUMBAI DIVISION,19038,10,0.45,10,100.00,0,Excellent
28,BIHAR SAMPARK KRANTI EXP [SUPERFAST],East Central Railway,SAMASTIPUR DIVISION,12565,9,0.41,9,100.00,0,Excellent
29,DHANBAD - ALLEPY EXPRESS [MAIL EXPRESS],East Central Railway,DHANBAD DIVISION,13351,9,0.41,9,100.00,0,Nil
30,PNBE-KIR I/C EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15714,9,0.41,9,100.00,0,Satisfactory
31,KURJ-KKDE EXPRES [MAIL EXPRESS],North Central Railway,JHANSI DIVISION,11841,8,0.36,8,100.00,0,Nil
32,BSB-JAT EXP. [SUPERFAST],Northern Railway,LUCKNOW DIVISION,12237,8,0.36,8,100.00,0,UnSatisfactory
33,PRYJ-DADN EXP. [MAIL EXPRESS],North Central Railway,PRAYAGRAJ DIVISION,14116,8,0.36,8,100.00,0,UnSatisfactory
34,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15909,8,0.36,8,100.00,0,Satisfactory
35,PNBE-PURI BAIDYANATHDHAM [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18450,8,0.36,4,50.00,4,UnSatisfactory
36,BNRS-CSMT EXP [SUPERFAST],Central Railway,BOMBAY DIVISION,22178,8,0.36,8,100.00,0,Nil
37,PUNE-JAT EXP [MAIL EXPRESS],Central Railway,PUNE DIVISION,11077,7,0.32,7,100.00,0,Satisfactory
38,SOU-PUNE EXP [MAIL EXPRESS],Central Railway,PUNE DIVISION,11402,7,0.32,7,100.00,0,UnSatisfactory
39,SAMPOORNA KRANTI EXPRESS [SUPERFAST],East Central Railway,DANAPUR DIVISION,12393,7,0.32,7,100.00,0,Satisfactory
40,NORTHEAST EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12505,7,0.32,7,100.00,0,Satisfactory
