S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,NDLS HWH POORVA EXPRESS [SUPERFAST],Eastern Railway,HOWRAH DIVISION,12304,6,0.88,6,100.00,0,UnSatisfactory
2,GOLDEN TEMPLE [SUPERFAST],Western Railway,MUMBAI DIVISION,12903,6,0.88,6,100.00,0,Nil
3,PNVL-GKP EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15066,6,0.88,6,100.00,0,Satisfactory
4,GKP-YPR EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12591,5,0.73,5,100.00,0,Nil
5,PURI-ANVT PURUSHOTTAM [SUPERFAST],East Coast Railway,KHURDA DIVISION,12801,5,0.73,5,100.00,0,Satisfactory
6,KOAA-JAT EXP [MAIL EXPRESS],Eastern Railway,SEALDAH DIVISION,13151,5,0.73,5,100.00,0,Satisfactory
7,NZM - MMCT DURANTO [DURONTO EXPRESS],Western Railway,MUMBAI DIVISION,22210,5,0.73,5,100.00,0,Excellent
8,HDP-BNRS AMRIT BHARAT SF [AMRIT BHARAT],North Eastern Railway,VARANASI DIVISION,22590,5,0.73,5,100.00,0,Nil
9,PUNE-SOU EXPRESS [MAIL EXPRESS],Central Railway,PUNE DIVISION,11401,4,0.58,4,100.00,0,UnSatisfactory
10,CSMT-HWH KOLKATA MAIL [SUPERFAST],Eastern Railway,HOWRAH DIVISION,12322,4,0.58,4,100.00,0,Nil
11,PRYJ-LGH SUPERFAST EXP [SUPERFAST],North Central Railway,PRAYAGRAJ DIVISION,12403,4,0.58,4,100.00,0,UnSatisfactory
12,PUSHPAK SF EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12533,4,0.58,4,100.00,0,UnSatisfactory
13,ANVT-RXL SATYAGRAH EXP [MAIL EXPRESS],East Central Railway,SAMASTIPUR DIVISION,15274,4,0.58,4,100.00,0,UnSatisfactory
14,HTE - SMVB EXPRESS [MAIL EXPRESS],South Eastern Railway,RANCHI DIVISION,18637,4,0.58,4,100.00,0,Nil
15,ADI - GKP EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19489,4,0.58,4,100.00,0,Nil
16,SRC-PUNE HUMSAFAR EXP [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,20822,4,0.58,4,100.00,0,Nil
17,BKN-HWH EXP [SUPERFAST],Eastern Railway,HOWRAH DIVISION,22308,4,0.58,4,100.00,0,Nil
18,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22503,4,0.58,4,100.00,0,Nil
19,SMVB-GWL EXP [MAIL EXPRESS],North Central Railway,JHANSI DIVISION,11085,3,0.44,3,100.00,0,Satisfactory
20,LTT SHM JNANESWARI DELX [SUPERFAST],Central Railway,BOMBAY DIVISION,12101,3,0.44,3,100.00,0,UnSatisfactory
21,PUNE HWH AZAD HIND EXP [SUPERFAST],Central Railway,PUNE DIVISION,12129,3,0.44,3,100.00,0,Nil
22,HWH PUNE AZAD HIND EXP [SUPERFAST],Central Railway,PUNE DIVISION,12130,3,0.44,3,100.00,0,UnSatisfactory
23,PPTA-LTT SF EXPRESS [SUPERFAST],Central Railway,BOMBAY DIVISION,12142,3,0.44,3,100.00,0,Nil
24,YPR-DEE DURONTO EXP [DURONTO EXPRESS],South Western Railway,BANGALORE DIVISION,12213,3,0.44,3,100.00,0,UnSatisfactory
25,LTT-SC AC DURONTO EXP [DURONTO EXPRESS],South Central Railway,SECUNDERABAD DIVISION,12219,3,0.44,3,100.00,0,Nil
26,HWH-PUNE DURONTO EXPRESS [DURONTO EXPRESS],South Eastern Railway,KHARAGPUR DIVISION,12222,3,0.44,3,100.00,0,Satisfactory
27,HWH-SMVB DURONTO EXPRESS [DURONTO EXPRESS],South Eastern Railway,KHARAGPUR DIVISION,12245,3,0.44,3,100.00,0,Nil
28,HWH JU EXP [SUPERFAST],Eastern Railway,HOWRAH DIVISION,12307,3,0.44,3,100.00,0,Nil
29,NDLS-RGD SHRAMJEEVI EXP [SUPERFAST],East Central Railway,DANAPUR DIVISION,12392,3,0.44,3,100.00,0,Nil
30,NZM-ERS MANGALA SF EXP [SUPERFAST],Southern Railway,THIRUVANANTHAPURAM DIVISION,12618,3,0.44,3,100.00,0,Nil
31,MAS-NDLS TAMILNADU SF EXP [SUPERFAST],Southern Railway,CHENNAI DIVISION,12621,3,0.44,3,100.00,0,UnSatisfactory
32,NDLS-SBC KARNATAKA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12628,3,0.44,3,100.00,0,Nil
33,NZM-VSG GOA EXPRESS [SUPERFAST],South Western Railway,HUBLI DIVISION,12780,3,0.44,3,100.00,0,Excellent
34,HWH-MAS COROMONDEL EXP [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,12841,3,0.44,3,100.00,0,Nil
35,AASHRAM EXPRESS [SUPERFAST],Western Railway,AHMEDABAD DIVISION,12916,3,0.44,3,100.00,0,UnSatisfactory
36,NOQ SDAH TEESTA TORSA EXP [MAIL EXPRESS],Eastern Railway,SEALDAH DIVISION,13142,3,0.44,3,100.00,0,Excellent
37,AYC-DLI EXP [MAIL EXPRESS],Northern Railway,LUCKNOW DIVISION,14205,3,0.44,3,100.00,0,UnSatisfactory
38,NDLS -BNRS K V EXP [MAIL EXPRESS],North Eastern Railway,VARANASI DIVISION,15128,3,0.44,3,100.00,0,Satisfactory
39,CAPE PUNE EXP [MAIL EXPRESS],Southern Railway,THIRUVANANTHAPURAM DIVISION,16382,3,0.44,3,100.00,0,Nil
40,PURI-YNRK DAILY EXP [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18477,3,0.44,3,100.00,0,Nil
