S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,SNSI-PURI WEEKLY EXP [SUPERFAST],East Coast Railway,KHURDA DIVISION,20858,8,1.19,8,100.00,0,Satisfactory
2,PUNE HWH AZAD HIND EXP [SUPERFAST],Central Railway,PUNE DIVISION,12129,7,1.04,7,100.00,0,UnSatisfactory
3,GKP- YPR SF [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,22533,7,1.04,7,100.00,0,Nil
4,PNBE-NDLS EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DANAPUR DIVISION,03293,5,0.75,5,100.00,0,UnSatisfactory
5,PPTA-LTT SF EXPRESS [SUPERFAST],Central Railway,BOMBAY DIVISION,12142,5,0.75,5,100.00,0,Satisfactory
6,PUNE DURANTO EXP [DURONTO EXPRESS],Northern Railway,DELHI DIVISION,12264,5,0.75,5,100.00,0,UnSatisfactory
7,DURONTO EXPRESS [DURONTO EXPRESS],Northern Railway,DELHI DIVISION,12266,5,0.75,4,80.00,1,UnSatisfactory
8,SADBHAWANA EXP [MAIL EXPRESS],Northern Railway,DELHI DIVISION,14015,5,0.75,5,100.00,0,Nil
9,ANVT-RXL SATYAGRAH EXP [MAIL EXPRESS],East Central Railway,SAMASTIPUR DIVISION,15274,5,0.75,5,100.00,0,Nil
10,BRAHMAPUTRA MAIL [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15658,5,0.75,5,100.00,0,UnSatisfactory
11,NED-CSMT [VANDE BHARAT],South Central Railway,NANDED DIVISION,20705,5,0.75,5,100.00,0,Nil
12,LTT-PURI WEEKLY EXP. [SUPERFAST],Central Railway,BOMBAY DIVISION,12145,4,0.60,4,100.00,0,Nil
13,YPR-NZM SAMPARKRANTI EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12649,4,0.60,4,100.00,0,Nil
14,HWH-ASR MAIL [MAIL EXPRESS],Eastern Railway,HOWRAH DIVISION,13005,4,0.60,4,100.00,0,UnSatisfactory
15,LICHCHIVI EXPRESS [MAIL EXPRESS],Northern Railway,DELHI DIVISION,14006,4,0.60,4,100.00,0,UnSatisfactory
16,BRAHMAPUTRA MAIL [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15657,4,0.60,4,100.00,0,Nil
17,KURJ UDZ EXP [MAIL EXPRESS],North Western Railway,AJMER DIVISION,19665,4,0.60,4,100.00,0,Nil
18,YPR-BBS SUMMER SPECIAL [TRAIN ON DEMAND],East Coast Railway,KHURDA DIVISION,02812,3,0.45,3,100.00,0,UnSatisfactory
19,KOAA-YNRK SPL [TRAIN ON DEMAND],Northern Railway,MORADABAD DIVISION,04311,3,0.45,3,100.00,0,Nil
20,JAT-PUNE JHELUM EXPRESS [MAIL EXPRESS],Central Railway,PUNE DIVISION,11078,3,0.45,3,100.00,0,Nil
21,SC-PUNE SHATABDI [SHATABDI],Central Railway,PUNE DIVISION,12026,3,0.45,3,100.00,0,Nil
22,HWH PUNE AZAD HIND EXP [SUPERFAST],Central Railway,PUNE DIVISION,12130,3,0.45,2,66.67,1,Nil
23,LTT-MAS SF EXP [SUPERFAST],Central Railway,BOMBAY DIVISION,12163,3,0.45,3,100.00,0,UnSatisfactory
24,GARIB RATH EX [GARIB RATH],Northern Railway,FIROZPUR DIVISION,12203,3,0.45,3,100.00,0,Nil
25,YPR-DEE DURONTO EXP [DURONTO EXPRESS],South Western Railway,BANGALORE DIVISION,12213,3,0.45,3,100.00,0,Nil
26,DNR-SMVB SANGHAMITRA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12296,3,0.45,3,100.00,0,Nil
27,RGD-NDLS SHRAMJEEVI EXP [SUPERFAST],East Central Railway,DANAPUR DIVISION,12391,3,0.45,3,100.00,0,Satisfactory
28,GALTADHAM EXP [SUPERFAST],Northern Railway,JAMMU DIVISION,12414,3,0.45,3,100.00,0,UnSatisfactory
29,GOA SMPRK KRANTI EXP [SUPERFAST],Northern Railway,AMBALA DIVISION,12450,3,0.45,3,100.00,0,Satisfactory
30,NORTHEAST EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12506,3,0.45,3,100.00,0,Nil
31,ERS-NZM MANGALA SF EXP [SUPERFAST],Southern Railway,THIRUVANANTHAPURAM DIVISION,12617,3,0.45,3,100.00,0,Nil
32,NDLS-MAS TAMILNADU SF EXP [SUPERFAST],Southern Railway,CHENNAI DIVISION,12622,3,0.45,3,100.00,0,UnSatisfactory
33,NZM-YPR SAMPARKRANTI EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12650,3,0.45,3,100.00,0,Nil
34,HWH-TPJ SF EXP [SUPERFAST],Southern Railway,TRICHURAPALLI DIVISION,12663,3,0.45,3,100.00,0,Nil
35,HWH-ADI SUPERFAST EXPRESS [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,12834,3,0.45,3,100.00,0,Nil
36,ANVT-RDP EXP [MAIL EXPRESS],Northern Railway,DELHI DIVISION,14012,3,0.45,3,100.00,0,Excellent
37,CHHAPRA-MATHURA EXP [MAIL EXPRESS],North Eastern Railway,VARANASI DIVISION,15109,3,0.45,3,100.00,0,Satisfactory
