S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,NTSK-TBM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15930,6,0.68,6,100.00,0,Satisfactory
2,SVDK SBIB EXP [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19416,6,0.68,6,100.00,0,Nil
3,SMVB-NTSK S/F EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22501,6,0.68,6,100.00,0,Nil
4,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22504,6,0.68,6,100.00,0,Excellent
5,NZM-VSG GOA EXPRESS [SUPERFAST],South Western Railway,HUBLI DIVISION,12780,5,0.56,5,100.00,0,Excellent
6,PPTA LJN EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15033,5,0.56,5,100.00,0,Nil
7,ASR-KIR EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15708,5,0.56,5,100.00,0,Satisfactory
8,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15910,5,0.56,5,100.00,0,Nil
9,KAMRUP EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15959,5,0.56,5,100.00,0,Excellent
10,ADB-TPTY KRISHNA EXP [MAIL EXPRESS],South Coast Railway,GUNTAKAL DIVISION,17406,5,0.56,5,100.00,0,Excellent
11,SABARMATI EXP [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19166,5,0.56,5,100.00,0,Nil
12,PNBE-NDLS EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DANAPUR DIVISION,03293,4,0.45,3,75.00,1,Excellent
13,LKQ-ANVT SPL [TRAIN ON DEMAND],Northern Railway,DELHI DIVISION,04013,4,0.45,4,100.00,0,Excellent
14,SLN--LTT SPL [TRAIN ON DEMAND],Northern Railway,LUCKNOW DIVISION,04212,4,0.45,4,100.00,0,Excellent
15,PUNE-JAT EXP [MAIL EXPRESS],Central Railway,PUNE DIVISION,11077,4,0.45,4,100.00,0,UnSatisfactory
16,SWARAJ EXPRESS [SUPERFAST],Northern Railway,JAMMU DIVISION,12472,4,0.45,4,100.00,0,Excellent
17,GHY-SMVB S/F EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12510,4,0.45,4,100.00,0,Nil
18,HWH-ADI SUPERFAST EXPRESS [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,12834,4,0.45,4,100.00,0,UnSatisfactory
19,CDG AII G RATH [GARIB RATH],North Western Railway,AJMER DIVISION,12984,4,0.45,4,100.00,0,Nil
20,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15909,4,0.45,4,100.00,0,Nil
21,LTT-DBRG EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15945,4,0.45,4,100.00,0,Nil
22,KAMRUP EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15960,4,0.45,4,100.00,0,Satisfactory
23,TPTY-RXL [MAIL EXPRESS],South Coast Railway,GUNTAKAL DIVISION,17433,4,0.45,4,100.00,0,UnSatisfactory
24,BKSC-HWH EXPRESS [MAIL EXPRESS],South Eastern Railway,KHARAGPUR DIVISION,18014,4,0.45,4,100.00,0,Nil
25,VSKP-LTT EXP [MAIL EXPRESS],South Coast Railway,VISAKHAPATNAM DIVISION,18519,4,0.45,4,100.00,0,Nil
26,JAT - SBIB EXP [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19224,4,0.45,4,100.00,0,UnSatisfactory
27,MAS NJP SF EXP [SUPERFAST],Southern Railway,CHENNAI DIVISION,22611,4,0.45,4,100.00,0,Nil
28,TPTY-JAT HUMSAFAR [SUPERFAST],South Coast Railway,GUNTAKAL DIVISION,22705,4,0.45,4,100.00,0,Satisfactory
29,NDLS-BBS TEJAS RAJDHANI [RAJDHANI],East Coast Railway,KHURDA DIVISION,22824,4,0.45,4,100.00,0,Satisfactory
30,INDB-SFG SUMMER SPL [TRAIN ON DEMAND],North Central Railway,PRAYAGRAJ DIVISION,04170,3,0.34,3,100.00,0,Nil
31,BJU-ASR SPL [TRAIN ON DEMAND],Northern Railway,FIROZPUR DIVISION,04609,3,0.34,3,100.00,0,Nil
32,HUMSAFAR EXP SPL [TRAIN ON DEMAND],Northern Railway,FIROZPUR DIVISION,04651,3,0.34,3,100.00,0,Nil
33,MDJN-MYS SPECIAL [TRAIN ON DEMAND],South Western Railway,MYSORE DIVISION,06282,3,0.34,3,100.00,0,Nil
34,CBE-LTT EXP [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11014,3,0.34,3,100.00,0,Excellent
35,CSMT-SBC UDYAN EXPRESS [MAIL EXPRESS],Central Railway,SHOLAPUR DIVISION,11301,3,0.34,3,100.00,0,Nil
36,DHN-BPL EXPRESS [MAIL EXPRESS],West Central Railway,BHOPAL DIVISION,11632,3,0.34,3,100.00,0,Satisfactory
37,PATNA HOWRAH JANASHATABDI [JAN SHATABDI],East Central Railway,DANAPUR DIVISION,12024,3,0.34,3,100.00,0,Excellent
38,DNR-SMVB SANGHAMITRA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12296,3,0.34,3,100.00,0,Nil
39,GALTADHAM EXP [SUPERFAST],Northern Railway,JAMMU DIVISION,12413,3,0.34,3,100.00,0,Nil
40,KCVL EXPRESS [SUPERFAST],Northern Railway,FIROZPUR DIVISION,12483,3,0.34,3,100.00,0,Nil
