S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15909,7,1.61,7,100.00,0,Nil
2,PUNE-DNR SPL [TRAIN ON DEMAND],Central Railway,PUNE DIVISION,01449,6,1.38,6,100.00,0,Excellent
3,SGNR-KCG [TRAIN ON DEMAND],South Central Railway,HYDERABAD DIVISION,07054,6,1.38,6,100.00,0,Satisfactory
4,PUNE-JAT EXP [MAIL EXPRESS],Central Railway,PUNE DIVISION,11077,6,1.38,6,100.00,0,Satisfactory
5,PUNE-LJN EXPRESS [MAIL EXPRESS],Central Railway,PUNE DIVISION,11407,4,0.92,4,100.00,0,UnSatisfactory
6,BSBS - VRL SUF EXPRESS [SUPERFAST],Western Railway,BHAVNAGAR DIVISION,12946,4,0.92,4,100.00,0,Nil
7,TVC-LTT NETRAVATHI EXP [MAIL EXPRESS],Southern Railway,THIRUVANANTHAPURAM DIVISION,16346,4,0.92,3,75.00,1,Nil
8,BJU-NDLS SPECIAL [TRAIN ON DEMAND],East Central Railway,SONEPUR DIVISION,02563,3,0.69,3,100.00,0,Nil
9,BANDRA - BHUJ SPECIAL [TRAIN ON DEMAND],Western Railway,MUMBAI DIVISION,09011,3,0.69,3,100.00,0,UnSatisfactory
10,NGP-MAO EXPRESS [MAIL EXPRESS],Central Railway,NAGPUR DIVISION,11203,3,0.69,3,100.00,0,Excellent
11,SOU-PUNE EXP [MAIL EXPRESS],Central Railway,PUNE DIVISION,11402,3,0.69,3,100.00,0,Satisfactory
12,NGP-PUNE EXPRESS [SUPERFAST],Central Railway,NAGPUR DIVISION,12136,3,0.69,3,100.00,0,UnSatisfactory
13,NDLS-GODDA HUMSAFAR EXP [SUPERFAST],Eastern Railway,MALDA DIVISION,12350,3,0.69,3,100.00,0,Excellent
14,TVC-NDLS KERALA SF EXP [SUPERFAST],Southern Railway,THIRUVANANTHAPURAM DIVISION,12625,3,0.69,3,100.00,0,Excellent
15,NZM-HYB DAKSHIN EXP [SUPERFAST],South Central Railway,SECUNDERABAD DIVISION,12722,3,0.69,3,100.00,0,Nil
16,VSKP-SC GARIBRATH EXP [GARIB RATH],South Central Railway,SECUNDERABAD DIVISION,12739,3,0.69,3,100.00,0,Satisfactory
17,DNR-SC EXP [SUPERFAST],South Central Railway,SECUNDERABAD DIVISION,12792,3,0.69,3,100.00,0,Excellent
18,KOTA - PNBE EXPRESS [MAIL EXPRESS],East Central Railway,DANAPUR DIVISION,13240,3,0.69,3,100.00,0,Satisfactory
19,GANGASUTLEJ EXPRESS [MAIL EXPRESS],East Central Railway,DHANBAD DIVISION,13308,3,0.69,3,100.00,0,Nil
20,LICHCHIVI EXPRESS [MAIL EXPRESS],Northern Railway,DELHI DIVISION,14006,3,0.69,3,100.00,0,Nil
21,BRAHMAPUTRA MAIL [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15657,3,0.69,3,100.00,0,UnSatisfactory
22,KIR-ASR EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15707,3,0.69,3,100.00,0,Nil
23,BKN-YPR EXPRESS [MAIL EXPRESS],South Western Railway,BANGALORE DIVISION,16588,3,0.69,3,100.00,0,Nil
24,TVC-SC SABARI SF EXP [SUPERFAST],Southern Railway,THIRUVANANTHAPURAM DIVISION,20630,3,0.69,3,100.00,0,Excellent
25,KUSHINAGAR SF [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,22538,3,0.69,3,100.00,0,UnSatisfactory
26,PRYJ-DER SUMMER SPL [TRAIN ON DEMAND],North Central Railway,PRAYAGRAJ DIVISION,02417,2,0.46,2,100.00,0,Nil
27,DNR- SMVB SF EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DANAPUR DIVISION,03251,2,0.46,2,100.00,0,Nil
28,SHC- ANVT EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,SAMASTIPUR DIVISION,05575,2,0.46,2,100.00,0,Excellent
29,DHN-BPL EXPRESS [MAIL EXPRESS],West Central Railway,BHOPAL DIVISION,11632,2,0.46,2,100.00,0,Excellent
30,JAN SHATABDI EXPRESS [JAN SHATABDI],Northeast Frontier Railway,LUMDING DIVISION,12067,2,0.46,2,100.00,0,Nil
31,HWH-BBS JAN SHATABDI [JAN SHATABDI],East Coast Railway,KHURDA DIVISION,12073,2,0.46,2,100.00,0,Nil
32,LTT-STP EXPRESS [SUPERFAST],Central Railway,BOMBAY DIVISION,12107,2,0.46,0,0.00,2,Nil
33,BSBS-LTT SF EXP [SUPERFAST],Central Railway,BOMBAY DIVISION,12168,2,0.46,1,50.00,1,Nil
34,SMVB-DNR SANGHAMITRA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12295,2,0.46,2,100.00,0,UnSatisfactory
35,POORVA EXP (VIA GAYA) [SUPERFAST],Eastern Railway,HOWRAH DIVISION,12381,2,0.46,2,100.00,0,Excellent
36,GARIB RATH EXPRESS [GARIB RATH],Northeast Frontier Railway,LUMDING DIVISION,12502,2,0.46,1,50.00,1,Nil
37,BNRS-NDLS SHIVGANGA SUF [SUPERFAST],North Eastern Railway,VARANASI DIVISION,12559,2,0.46,2,100.00,0,Excellent
38,MAS-ADI NAVJEEVAN SF EXP [SUPERFAST],Southern Railway,CHENNAI DIVISION,12656,2,0.46,2,100.00,0,Nil
39,UBL-TVCN EXPRESS [SUPERFAST],South Western Railway,HUBLI DIVISION,12777,2,0.46,2,100.00,0,Satisfactory
40,HTE-SMVB SUF EXPRESS [SUPERFAST],South Eastern Railway,RANCHI DIVISION,12835,2,0.46,2,100.00,0,Nil
