S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,NGP-CSMT SEWAGRAM EXP. [SUPERFAST],Central Railway,NAGPUR DIVISION,12140,6,1.57,6,100.00,0,Satisfactory
2,JAT-PUNE JHELUM EXPRESS [MAIL EXPRESS],Central Railway,PUNE DIVISION,11078,5,1.31,5,100.00,0,Excellent
3,CDG - LKO EXP [MAIL EXPRESS],Northern Railway,LUCKNOW DIVISION,12232,5,1.31,5,100.00,0,Satisfactory
4,DNR-HDP SPL [TRAIN ON DEMAND],Central Railway,PUNE DIVISION,01450,4,1.05,4,100.00,0,Satisfactory
5,PUNE HWH AZAD HIND EXP [SUPERFAST],Central Railway,PUNE DIVISION,12129,4,1.05,4,100.00,0,UnSatisfactory
6,KGM GARIBRATH- [GARIB RATH],Northern Railway,JAMMU DIVISION,12208,4,1.05,4,100.00,0,Nil
7,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22503,4,1.05,4,100.00,0,UnSatisfactory
8,KOAA-DBRG TOD SPECIAL [TRAIN ON DEMAND],Northeast Frontier Railway,TINSUKIA DIVISION,05931,3,0.79,3,100.00,0,Nil
9,DHN-KOP DIKSHABHUMI EXP [MAIL EXPRESS],Central Railway,PUNE DIVISION,11046,3,0.79,3,100.00,0,UnSatisfactory
10,SOU-PUNE EXP [MAIL EXPRESS],Central Railway,PUNE DIVISION,11402,3,0.79,3,100.00,0,Nil
11,HWH PUNE AZAD HIND EXP [SUPERFAST],Central Railway,PUNE DIVISION,12130,3,0.79,3,100.00,0,UnSatisfactory
12,MALWA EXPRESS [SUPERFAST],Western Railway,RATLAM DIVISION,12920,3,0.79,3,100.00,0,Excellent
13,SHALIMAR MALANI EXP [MAIL EXPRESS],Northern Railway,JAMMU DIVISION,14661,3,0.79,3,100.00,0,Excellent
14,LJN-KGM EXPRESS [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15043,3,0.79,2,66.67,1,UnSatisfactory
15,LTT-AGTL AC EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15659,3,0.79,3,100.00,0,Nil
16,FARAKKA EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15743,3,0.79,3,100.00,0,Nil
17,YESHVANTPUR EXPRESS [MAIL EXPRESS],Western Railway,RATLAM DIVISION,19301,3,0.79,3,100.00,0,Nil
18,AGTL-RKMP EXP SPL [TRAIN ON DEMAND],West Central Railway,BHOPAL DIVISION,01666,2,0.52,2,100.00,0,Satisfactory
19,BJU-NDLS SPECIAL [TRAIN ON DEMAND],East Central Railway,SONEPUR DIVISION,02563,2,0.52,2,100.00,0,Nil
20,DBG-NDLS SPECIAL [TRAIN ON DEMAND],East Central Railway,SAMASTIPUR DIVISION,02569,2,0.52,2,100.00,0,Excellent
21,KOP-G MAHARASHTRA EXP [MAIL EXPRESS],Central Railway,PUNE DIVISION,11039,2,0.52,2,100.00,0,Nil
22,RTM GWALIOR EXP [MAIL EXPRESS],North Central Railway,JHANSI DIVISION,11125,2,0.52,2,100.00,0,Excellent
23,CSMT-NGP SEWAGRAM EXP [SUPERFAST],Central Railway,NAGPUR DIVISION,12139,2,0.52,2,100.00,0,Nil
24,YPR-KCVL GARIBRATH EXP [GARIB RATH],South Western Railway,BANGALORE DIVISION,12257,2,0.52,2,100.00,0,Nil
25,DNR-SMVB SANGHAMITRA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12296,2,0.52,2,100.00,0,Nil
26,HWH JU EXP [SUPERFAST],Eastern Railway,HOWRAH DIVISION,12307,2,0.52,2,100.00,0,Satisfactory
27,NDLS-RGD SHRAMJEEVI EXP [SUPERFAST],East Central Railway,DANAPUR DIVISION,12392,2,0.52,2,100.00,0,Excellent
28,ERS-NZM MANGALA SF EXP [SUPERFAST],Southern Railway,THIRUVANANTHAPURAM DIVISION,12617,2,0.52,2,100.00,0,Satisfactory
29,NED-ASR SACHKHAND EXP [SUPERFAST],South Central Railway,NANDED DIVISION,12715,2,0.52,2,100.00,0,Nil
30,VSKP-NZM SWARNA JAYANTI [SUPERFAST],South Coast Railway,VISAKHAPATNAM DIVISION,12803,2,0.52,2,100.00,0,UnSatisfactory
31,HWH DDN KUMBHA EXP [MAIL EXPRESS],Eastern Railway,HOWRAH DIVISION,13037,2,0.52,2,100.00,0,Excellent
32,DURG-ARA SOUTH BIHAR EXP [MAIL EXPRESS],East Central Railway,DANAPUR DIVISION,13287,2,0.52,2,100.00,0,Excellent
33,GANGASUTLEJ EXPRESS [MAIL EXPRESS],East Central Railway,DHANBAD DIVISION,13308,2,0.52,2,100.00,0,Satisfactory
34,ANVT-RDP EXP [MAIL EXPRESS],Northern Railway,DELHI DIVISION,14012,2,0.52,2,100.00,0,Nil
35,SHALIMAR MALINI EXP [MAIL EXPRESS],Northern Railway,JAMMU DIVISION,14662,2,0.52,2,100.00,0,Nil
36,SHAHEED EXP [MAIL EXPRESS],Northern Railway,FIROZPUR DIVISION,14674,2,0.52,2,100.00,0,Excellent
37,LJN-SRE EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15011,2,0.52,2,100.00,0,Nil
38,RANIKHET EXP [MAIL EXPRESS],North Eastern Railway,IZATNAGAR DIVISION,15013,2,0.52,2,100.00,0,UnSatisfactory
39,MAURYA EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15027,2,0.52,2,100.00,0,Satisfactory
40,MAURYA EXPRESS [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15028,2,0.52,2,100.00,0,Excellent
