S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,NDLS HWH POORVA EXP [SUPERFAST],Eastern Railway,HOWRAH DIVISION,12382,8,1.25,8,100.00,0,Nil
2,DEE-YPR DURONTO EXPRESS [DURONTO EXPRESS],South Western Railway,BANGALORE DIVISION,12214,7,1.09,7,100.00,0,UnSatisfactory
3,HYB-NDLSTELANGANA EXPRESS [SUPERFAST],South Central Railway,SECUNDERABAD DIVISION,12723,6,0.94,6,100.00,0,Nil
4,BRAHMAPUTRA MAIL [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15657,5,0.78,5,100.00,0,Satisfactory
5,GKP- YPR SF [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,22533,5,0.78,5,100.00,0,Nil
6,NZM-SBC RAJDHANI EXP [RAJDHANI],South Western Railway,BANGALORE DIVISION,22692,5,0.78,5,100.00,0,UnSatisfactory
7,JYG LTT EXP [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11062,4,0.62,4,100.00,0,Satisfactory
8,GOA SMPRK K EXP [SUPERFAST],Northern Railway,AMBALA DIVISION,12449,4,0.62,4,100.00,0,UnSatisfactory
9,NDLS-MAS TAMILNADU SF EXP [SUPERFAST],Southern Railway,CHENNAI DIVISION,12622,4,0.62,4,100.00,0,Nil
10,NDLS-HYB [SUPERFAST],South Central Railway,SECUNDERABAD DIVISION,12724,4,0.62,4,100.00,0,Satisfactory
11,ANVT-PURI PURSHOTTAM [SUPERFAST],East Coast Railway,KHURDA DIVISION,12802,4,0.62,4,100.00,0,Satisfactory
12,NDLS-RNC GARIBRATH EXP [GARIB RATH],South Eastern Railway,RANCHI DIVISION,12878,4,0.62,4,100.00,0,UnSatisfactory
13,GARBHA EXPRESS [SUPERFAST],Western Railway,AHMEDABAD DIVISION,12938,4,0.62,4,100.00,0,Nil
14,TEJAS RAJDHANI [RAJDHANI],Western Railway,MUMBAI DIVISION,12952,4,0.62,4,100.00,0,Excellent
15,LTT-RGD EXPRESS [MAIL EXPRESS],East Central Railway,DANAPUR DIVISION,13202,4,0.62,4,100.00,0,Satisfactory
16,LICHCHIVI EXPRESS [MAIL EXPRESS],Northern Railway,DELHI DIVISION,14005,4,0.62,4,100.00,0,UnSatisfactory
17,VSKP-ASR SF HIRAKUD EXP [SUPERFAST],South Coast Railway,VISAKHAPATNAM DIVISION,20807,4,0.62,4,100.00,0,Nil
18,NZM-CSMT RAJDHANI [RAJDHANI],Central Railway,BOMBAY DIVISION,22222,4,0.62,4,100.00,0,Nil
19,SHRI SHAKTI EXP [SUPERFAST],Northern Railway,JAMMU DIVISION,22462,4,0.62,4,100.00,0,UnSatisfactory
20,SURAT-PURI S/F WEEKLY [SUPERFAST],East Coast Railway,KHURDA DIVISION,22828,4,0.62,4,100.00,0,Nil
21,BUNDELKHAND EXP [MAIL EXPRESS],North Central Railway,JHANSI DIVISION,11108,3,0.47,3,100.00,0,Nil
22,PUNE-SOU EXPRESS [MAIL EXPRESS],Central Railway,PUNE DIVISION,11401,3,0.47,3,100.00,0,UnSatisfactory
23,LTT SHM JNANESWARI DELX [SUPERFAST],Central Railway,BOMBAY DIVISION,12101,3,0.47,3,100.00,0,UnSatisfactory
24,CSMT-FZR PUNJAB MAIL [SUPERFAST],Central Railway,BOMBAY DIVISION,12137,3,0.47,3,100.00,0,Satisfactory
25,BSBS-LTT SF EXP [SUPERFAST],Central Railway,BOMBAY DIVISION,12168,3,0.47,3,100.00,0,Nil
26,HW - LTT SUPER FAST EXP [SUPERFAST],Central Railway,BOMBAY DIVISION,12172,3,0.47,3,100.00,0,Nil
27,KERALA S KRANTI EXP [SUPERFAST],Northern Railway,AMBALA DIVISION,12217,3,0.47,3,100.00,0,Nil
28,NZM-MAS DURONTO [DURONTO EXPRESS],Southern Railway,CHENNAI DIVISION,12270,3,0.47,3,100.00,0,Satisfactory
29,RJPB-NDLS TEJAS RAJ EXP [RAJDHANI],East Central Railway,DANAPUR DIVISION,12309,3,0.47,3,100.00,0,Nil
30,PRYJ-LGH SUPERFAST EXP [SUPERFAST],North Central Railway,PRAYAGRAJ DIVISION,12403,3,0.47,3,100.00,0,UnSatisfactory
31,ANVT-JYG GARIBRTH EXP [GARIB RATH],Northern Railway,DELHI DIVISION,12436,3,0.47,3,100.00,0,Nil
32,SWARAJ EXPRESS [SUPERFAST],Northern Railway,JAMMU DIVISION,12472,3,0.47,3,100.00,0,Nil
33,NORTHEAST EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12506,3,0.47,3,100.00,0,Excellent
34,GHY-SMVB S/F EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12510,3,0.47,3,100.00,0,Nil
35,SWANTRATA SENANI EXPRESS [SUPERFAST],East Central Railway,SAMASTIPUR DIVISION,12562,3,0.47,3,100.00,0,UnSatisfactory
36,BIHAR SAMPARK KRANTI EXP [SUPERFAST],East Central Railway,SAMASTIPUR DIVISION,12566,3,0.47,3,100.00,0,Nil
37,NDLS-TVC KERALA SF EXP [SUPERFAST],Southern Railway,THIRUVANANTHAPURAM DIVISION,12626,3,0.47,3,100.00,0,Nil
38,NZM-YPR SAMPARKRANTI EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12650,3,0.47,3,100.00,0,Nil
39,GOLDN TEMPLE ML [SUPERFAST],Western Railway,MUMBAI DIVISION,12904,3,0.47,3,100.00,0,Excellent
40,GUJARAT SAMPARKRANTI [SUPERFAST],Western Railway,AHMEDABAD DIVISION,12918,3,0.47,3,100.00,0,Nil
