S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,SHC - ADI EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19484,40,1.74,40,100.00,0,Satisfactory
2,BRAHMAPUTRA MAIL [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15657,31,1.34,31,100.00,0,Satisfactory
3,GKP-YPR-EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15023,23,1.00,23,100.00,0,UnSatisfactory
4,MALWA EXPRESS [SUPERFAST],Western Railway,RATLAM DIVISION,12920,21,0.91,20,95.24,1,Satisfactory
5,PNBE-KIR I/C EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15714,18,0.78,18,100.00,0,UnSatisfactory
6,YNRK-PURI EXPRESS [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18478,17,0.74,17,100.00,0,Excellent
7,PRYJ-DADN EXP. [MAIL EXPRESS],North Central Railway,PRAYAGRAJ DIVISION,14116,16,0.69,16,100.00,0,Excellent
8,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15910,16,0.69,16,100.00,0,Satisfactory
9,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22504,14,0.61,14,100.00,0,Excellent
10,JBP-SVDK EXP [MAIL EXPRESS],West Central Railway,JABALPUR DIVISION,11449,13,0.56,12,92.31,1,Satisfactory
11,HWH NDLS POORVA EXPRESS [SUPERFAST],Eastern Railway,HOWRAH DIVISION,12303,13,0.56,13,100.00,0,Excellent
12,BJU-ERS RAPTI SAGAR EXP [SUPERFAST],East Central Railway,SONEPUR DIVISION,12521,13,0.56,13,100.00,0,UnSatisfactory
13,ANVT-PURI PURSHOTTAM [SUPERFAST],East Coast Railway,KHURDA DIVISION,12802,13,0.56,13,100.00,0,UnSatisfactory
14,JSME-VSG EXPRESS [MAIL EXPRESS],South Western Railway,HUBLI DIVISION,17322,13,0.56,13,100.00,0,Satisfactory
15,JBP-NZM MAHAKOSHAL EXP [SUPERFAST],West Central Railway,JABALPUR DIVISION,12189,12,0.52,10,83.33,2,Excellent
16,MFP-SMVB EXPRESS [MAIL EXPRESS],East Central Railway,SAMASTIPUR DIVISION,15228,12,0.52,12,100.00,0,Satisfactory
17,ASR-KIR EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15708,12,0.52,12,100.00,0,Excellent
18,MFP - PBR EXP [MAIL EXPRESS],Western Railway,BHAVNAGAR DIVISION,19270,11,0.48,11,100.00,0,Nil
19,JHS BDTS SUF EXP [SUPERFAST],North Central Railway,JHANSI DIVISION,22195,11,0.48,11,100.00,0,UnSatisfactory
20,BGP-LT(T) BI WKLY EXP [SUPERFAST],Eastern Railway,MALDA DIVISION,12335,10,0.43,10,100.00,0,Nil
21,BGP ANVT VIKRAM SHILA EXP [SUPERFAST],Eastern Railway,MALDA DIVISION,12367,10,0.43,10,100.00,0,Nil
22,RGD-NDLS SHRAMJEEVI EXP [SUPERFAST],East Central Railway,DANAPUR DIVISION,12391,10,0.43,10,100.00,0,Excellent
23,BIHAR SAMPARK KRANTI EXP [SUPERFAST],East Central Railway,SAMASTIPUR DIVISION,12565,10,0.43,10,100.00,0,Satisfactory
24,NDLS-HYB [SUPERFAST],South Central Railway,SECUNDERABAD DIVISION,12724,10,0.43,10,100.00,0,UnSatisfactory
25,GHY-OKHA DWARKA EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15636,10,0.43,10,100.00,0,Satisfactory
26,DBG-CHZ EXP [MAIL EXPRESS],South Central Railway,SECUNDERABAD DIVISION,17008,10,0.43,10,100.00,0,Nil
27,DNR-SMVB SANGHAMITRA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12296,9,0.39,9,100.00,0,Satisfactory
28,PUSHPAK SF EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12533,9,0.39,8,88.89,1,Satisfactory
29,PNBE HTE PATLIPUTRA EXP [MAIL EXPRESS],South Eastern Railway,RANCHI DIVISION,18621,9,0.39,9,100.00,0,Satisfactory
30,HTE PRNC EXPRESS [MAIL EXPRESS],South Eastern Railway,RANCHI DIVISION,18626,9,0.39,9,100.00,0,Satisfactory
31,G-KOP MAHARASHTRA EXP [MAIL EXPRESS],Central Railway,PUNE DIVISION,11040,8,0.35,8,100.00,0,Satisfactory
32,BUNDELKHAND EXP [MAIL EXPRESS],North Central Railway,JHANSI DIVISION,11107,8,0.35,8,100.00,0,UnSatisfactory
33,LTT SHM JNANESWARI DELX [SUPERFAST],Central Railway,BOMBAY DIVISION,12101,8,0.35,8,100.00,0,Excellent
34,ASR-KOAA BI WEEKLY EXPRES [SUPERFAST],Eastern Railway,SEALDAH DIVISION,12318,8,0.35,7,87.50,1,Satisfactory
35,BAGMATI EXPRESS [SUPERFAST],East Central Railway,SAMASTIPUR DIVISION,12577,8,0.35,8,100.00,0,Satisfactory
36,NDLS-TVC KERALA SF EXP [SUPERFAST],Southern Railway,THIRUVANANTHAPURAM DIVISION,12626,8,0.35,8,100.00,0,Excellent
37,MALWA EXPRESS [SUPERFAST],Western Railway,RATLAM DIVISION,12919,8,0.35,7,87.50,1,Nil
38,DADN-PRYJ EXP. [MAIL EXPRESS],North Central Railway,PRAYAGRAJ DIVISION,14115,8,0.35,8,100.00,0,Excellent
