S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15909,9,1.04,9,100.00,0,Satisfactory
2,HUMSAFAR EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12503,6,0.69,6,100.00,0,Satisfactory
3,NZM-VSKP SAMTA EXP. [SUPERFAST],South Coast Railway,VISAKHAPATNAM DIVISION,12808,6,0.69,6,100.00,0,UnSatisfactory
4,TVCN-SMVB HUMSAFAR EXP [MAIL EXPRESS],Southern Railway,THIRUVANANTHAPURAM DIVISION,16319,6,0.69,6,100.00,0,Nil
5,SMVB-NTSK S/F EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22501,6,0.69,6,100.00,0,UnSatisfactory
6,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22503,6,0.69,6,100.00,0,Satisfactory
7,CSMT-HWH KOLKATA MAIL [SUPERFAST],Eastern Railway,HOWRAH DIVISION,12322,5,0.58,5,100.00,0,Nil
8,FARAKKA EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15743,5,0.58,5,100.00,0,Excellent
9,PURI INDORE EXP [SUPERFAST],Western Railway,RATLAM DIVISION,20918,5,0.58,5,100.00,0,Satisfactory
10,JAM SVDK EXPRESS [SUPERFAST],Northern Railway,JAMMU DIVISION,12477,4,0.46,4,100.00,0,Excellent
11,DNR-SC EXP [SUPERFAST],South Central Railway,SECUNDERABAD DIVISION,12792,4,0.46,4,100.00,0,Excellent
12,PASCHIM EXPRESS [SUPERFAST],Western Railway,MUMBAI DIVISION,12926,4,0.46,4,100.00,0,Nil
13,DDN HWH UPASHANA EXPRESS [MAIL EXPRESS],Eastern Railway,HOWRAH DIVISION,13036,4,0.46,4,100.00,0,Nil
14,SARYUYAMUNA EXP [MAIL EXPRESS],Northern Railway,FIROZPUR DIVISION,14650,4,0.46,4,100.00,0,Nil
15,GKP-GTNR EXPRESS [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15081,4,0.46,4,100.00,0,Nil
16,LOHIT EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15652,4,0.46,4,100.00,0,Nil
17,BRAHMAPUTRA MAIL [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15657,4,0.46,4,100.00,0,Nil
18,SHC - ADI EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19484,4,0.46,4,100.00,0,Satisfactory
19,SLN - SBIB S.F EXP [SUPERFAST],Western Railway,AHMEDABAD DIVISION,20940,4,0.46,4,100.00,0,UnSatisfactory
20,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22504,4,0.46,4,100.00,0,Nil
21,DNR- SMVB SF EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DANAPUR DIVISION,03251,3,0.35,3,100.00,0,Nil
22,LKQ-ANVT SPL [TRAIN ON DEMAND],Northern Railway,DELHI DIVISION,04013,3,0.35,3,100.00,0,Satisfactory
23,HAPA - NHLN SPL [TRAIN ON DEMAND],Western Railway,RAJKOT DIVISION,09525,3,0.35,3,100.00,0,Excellent
24,PUNE-CSMT DECCANQUEEN EXP [SUPERFAST],Central Railway,BOMBAY DIVISION,12124,3,0.35,3,100.00,0,Nil
25,GARIB RATH EX [GARIB RATH],Northern Railway,FIROZPUR DIVISION,12203,3,0.35,3,100.00,0,Excellent
