S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,HUMSAFAR EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12504,20,5.33,11,55.00,9,Nil
2,ASR-NTSK EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15934,7,1.87,7,100.00,0,Nil
3,CHZ -PNBE EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DANAPUR DIVISION,03255,4,1.07,4,100.00,0,Nil
4,GONDIA - BJU EXPRESS [MAIL EXPRESS],East Central Railway,SONEPUR DIVISION,15232,4,1.07,4,100.00,0,Excellent
5,DBRG-CDG EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15903,4,1.07,4,100.00,0,Nil
6,PUNE-JAT EXP [MAIL EXPRESS],Central Railway,PUNE DIVISION,11077,3,0.80,3,100.00,0,Nil
7,JAT-PUNE JHELUM EXPRESS [MAIL EXPRESS],Central Railway,PUNE DIVISION,11078,3,0.80,3,100.00,0,Nil
8,CSMT-SBC UDYAN EXPRESS [MAIL EXPRESS],Central Railway,SHOLAPUR DIVISION,11301,3,0.80,3,100.00,0,Nil
9,PUSHPAK SF EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12533,3,0.80,3,100.00,0,Nil
10,MALWA EXPRESS [SUPERFAST],Western Railway,RATLAM DIVISION,12920,3,0.80,3,100.00,0,Excellent
11,FZR-NED EXP [MAIL EXPRESS],Northern Railway,FIROZPUR DIVISION,14622,3,0.80,3,100.00,0,Satisfactory
12,JAT-SBP EXPRESS [MAIL EXPRESS],East Coast Railway,SAMBALPUR DIVISION,18310,3,0.80,3,100.00,0,Nil
13,RAJDHANI EXPRESS [RAJDHANI],Northeast Frontier Railway,TINSUKIA DIVISION,20505,3,0.80,3,100.00,0,Nil
14,DBRG-KOAA TOD SPECIAL [TRAIN ON DEMAND],Northeast Frontier Railway,TINSUKIA DIVISION,05932,2,0.53,2,100.00,0,Nil
15,TVCN-SRC TOD SPL [TRAIN ON DEMAND],Southern Railway,THIRUVANANTHAPURAM DIVISION,06081,2,0.53,2,100.00,0,Excellent
16,DBG-PUNE EXPRESS [MAIL EXPRESS],Central Railway,PUNE DIVISION,11034,2,0.53,2,100.00,0,Nil
17,HWH PUNE AZAD HIND EXP [SUPERFAST],Central Railway,PUNE DIVISION,12130,2,0.53,2,100.00,0,Nil
18,NGP-PUNE EXPRESS [SUPERFAST],Central Railway,NAGPUR DIVISION,12136,2,0.53,2,100.00,0,Nil
19,FZR-CSMT PUNJAB MAIL [SUPERFAST],Central Railway,BOMBAY DIVISION,12138,2,0.53,2,100.00,0,Nil
20,DEE BDTS GARIBRATH [GARIB RATH],Northern Railway,DELHI DIVISION,12215,2,0.53,2,100.00,0,UnSatisfactory
21,NDLS-GAYA MAHABODHI EXP [SUPERFAST],East Central Railway,Pt. DEEN DAYAL UPADHYAYA DIVISION,12398,2,0.53,2,100.00,0,Nil
22,GALTADHAM EXP [SUPERFAST],Northern Railway,JAMMU DIVISION,12413,2,0.53,2,100.00,0,Nil
23,RAPTISAGAR EXPRESS [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12511,2,0.53,2,100.00,0,Nil
24,PUSHPAK SF EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12534,2,0.53,2,100.00,0,Satisfactory
25,NDLS-TVC KERALA SF EXP [SUPERFAST],Southern Railway,THIRUVANANTHAPURAM DIVISION,12626,2,0.53,2,100.00,0,Excellent
26,NDLS-SBC KARNATAKA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12628,2,0.53,2,100.00,0,Nil
27,DNR-SC EXP [SUPERFAST],South Central Railway,SECUNDERABAD DIVISION,12792,2,0.53,2,100.00,0,Nil
28,ASR-HWH MAIL [MAIL EXPRESS],Eastern Railway,HOWRAH DIVISION,13006,2,0.53,2,100.00,0,Excellent
29,DHANBAD - ALLEPY EXPRESS [MAIL EXPRESS],East Central Railway,DHANBAD DIVISION,13351,2,0.53,2,100.00,0,Nil
30,DADN-PRYJ EXP. [MAIL EXPRESS],North Central Railway,PRAYAGRAJ DIVISION,14115,2,0.53,2,100.00,0,Excellent
31,SHALIMAR MALINI EXP [MAIL EXPRESS],Northern Railway,JAMMU DIVISION,14662,2,0.53,2,100.00,0,Satisfactory
32,SHAHEED EXPRESS [MAIL EXPRESS],Northern Railway,FIROZPUR DIVISION,14673,2,0.53,2,100.00,0,Nil
