S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,GHY-BME EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15632,6,1.34,6,100.00,0,Satisfactory
2,AII-PURI S/F [SUPERFAST],East Coast Railway,KHURDA DIVISION,20824,6,1.34,6,100.00,0,Satisfactory
3,DADN-PRYJ EXP. [MAIL EXPRESS],North Central Railway,PRAYAGRAJ DIVISION,14115,5,1.12,5,100.00,0,Nil
4,LOHIT EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15652,5,1.12,5,100.00,0,Nil
5,ADI-NGP PRERANA EXPRESS [SUPERFAST],Central Railway,NAGPUR DIVISION,22138,5,1.12,5,100.00,0,Nil
6,DNR-SC EXP [SUPERFAST],South Central Railway,SECUNDERABAD DIVISION,12792,4,0.89,4,100.00,0,Nil
7,BGKT-KYQ EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15623,4,0.89,4,100.00,0,Nil
8,AMARNATH EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15653,4,0.89,4,100.00,0,Excellent
9,HARIDWAR-VERAVAL SPECIAL [TRAIN ON DEMAND],Western Railway,BHAVNAGAR DIVISION,09204,3,0.67,3,100.00,0,Satisfactory
10,LJN R GARIB RATH [GARIB RATH],North Eastern Railway,LUCKNOW DIVISION,12535,3,0.67,3,100.00,0,Nil
11,SWANTRATA SENANI EXPRESS [SUPERFAST],East Central Railway,SAMASTIPUR DIVISION,12562,3,0.67,3,100.00,0,Satisfactory
12,ERS-NZM MANGALA SF EXP [SUPERFAST],Southern Railway,THIRUVANANTHAPURAM DIVISION,12617,3,0.67,1,33.33,2,Nil
13,MAS-HWH SUPERFAST MAIL [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,12840,3,0.67,2,66.67,1,Nil
14,CSMT HWH GITANJALI EXP [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,12859,3,0.67,3,100.00,0,UnSatisfactory
15,BRAHMAPUTRA MAIL [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15658,3,0.67,3,100.00,0,Satisfactory
16,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15909,3,0.67,3,100.00,0,Nil
17,KAWR-SBC PANCHAGANGA EXP [MAIL EXPRESS],Konkan Railway,KARWAR DIVISION,16596,3,0.67,3,100.00,0,Nil
18,RXL-TPTY [MAIL EXPRESS],South Coast Railway,GUNTAKAL DIVISION,17434,3,0.67,3,100.00,0,Nil
19,CHZ SHM EAST COAST EXP [MAIL EXPRESS],South Eastern Railway,KHARAGPUR DIVISION,18046,3,0.67,3,100.00,0,UnSatisfactory
20,HSR CBE AC EXP [SUPERFAST],North Western Railway,BIKANER DIVISION,22475,3,0.67,3,100.00,0,Nil
21,CHZ- PNBE EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DANAPUR DIVISION,03254,2,0.45,1,50.00,1,Nil
22,LKQ-ANVT SPL [TRAIN ON DEMAND],Northern Railway,DELHI DIVISION,04013,2,0.45,2,100.00,0,Nil
23,SMVB-CNB SUMMER SPL [TRAIN ON DEMAND],North Central Railway,PRAYAGRAJ DIVISION,04134,2,0.45,2,100.00,0,Nil
24,SBP-ED SUMMER SPECIAL [TRAIN ON DEMAND],East Coast Railway,SAMBALPUR DIVISION,08311,2,0.45,2,100.00,0,Nil
25,CHAPRA - SURAT SPECIAL [TRAIN ON DEMAND],Western Railway,MUMBAI DIVISION,09066,2,0.45,2,100.00,0,Nil
26,CSMT-BBSN KONARK EXPRESS [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11019,2,0.45,2,100.00,0,Satisfactory
27,MAO-NGP EXP [MAIL EXPRESS],Central Railway,NAGPUR DIVISION,11204,2,0.45,2,100.00,0,Nil
28,LJN-PUNE EXPRESS [MAIL EXPRESS],Central Railway,PUNE DIVISION,11408,2,0.45,2,100.00,0,UnSatisfactory
29,M P S KRANTI EXP [SUPERFAST],West Central Railway,JABALPUR DIVISION,12122,2,0.45,1,50.00,1,Nil
30,SWARAJ EXPRESS [SUPERFAST],Northern Railway,JAMMU DIVISION,12471,2,0.45,2,100.00,0,Nil
31,SURYANAGARI EXP [SUPERFAST],North Western Railway,JODHPUR DIVISION,12479,2,0.45,2,100.00,0,UnSatisfactory
32,GARIB RATH EXPRESS [GARIB RATH],Northeast Frontier Railway,LUMDING DIVISION,12517,2,0.45,0,0.00,2,Nil
33,PUSHPAK SF EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12534,2,0.45,2,100.00,0,Nil
34,MCTM DURG SF EXP [SUPERFAST],South East Central Railway,RAIPUR DIVISION,12550,2,0.45,2,100.00,0,Nil
35,BIHAR SAMPARK KRANTI EXP [SUPERFAST],East Central Railway,SAMASTIPUR DIVISION,12566,2,0.45,2,100.00,0,Excellent
36,GKP-ANVT HUMSAFER EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12571,2,0.45,2,100.00,0,Nil
37,NDLS-MAS TAMILNADU SF EXP [SUPERFAST],Southern Railway,CHENNAI DIVISION,12622,2,0.45,2,100.00,0,Nil
38,CSMT-HWH MAIL [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,12809,2,0.45,2,100.00,0,Satisfactory
39,NANDAN KANAN S/F (ADRA) [SUPERFAST],East Coast Railway,KHURDA DIVISION,12815,2,0.45,2,100.00,0,Satisfactory
40,NDLS-RNC GARIBRATH EXP [GARIB RATH],South Eastern Railway,RANCHI DIVISION,12878,2,0.45,0,0.00,2,Nil
