S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,HARIDWAR-VERAVAL SPECIAL [TRAIN ON DEMAND],Western Railway,BHAVNAGAR DIVISION,09204,8,1.50,8,100.00,0,Satisfactory
2,MAURYA EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15027,8,1.50,8,100.00,0,UnSatisfactory
3,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22504,8,1.50,8,100.00,0,Nil
4,SMVB-CNB SUMMER SPL [TRAIN ON DEMAND],North Central Railway,PRAYAGRAJ DIVISION,04134,7,1.31,7,100.00,0,Satisfactory
5,FARAKKA EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15743,7,1.31,7,100.00,0,UnSatisfactory
6,SMVB-HTE SUF EXPRESS [SUPERFAST],South Eastern Railway,RANCHI DIVISION,12836,6,1.12,5,83.33,1,Nil
7,PNBE-NDLS EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DANAPUR DIVISION,03293,5,0.93,5,100.00,0,Excellent
8,BSBS-UDN SF EXP [SUPERFAST],Western Railway,MUMBAI DIVISION,20962,5,0.93,5,100.00,0,Satisfactory
9,MCTM-SFG EXP. [SUPERFAST],North Central Railway,PRAYAGRAJ DIVISION,22432,5,0.93,5,100.00,0,UnSatisfactory
10,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22503,5,0.93,5,100.00,0,Satisfactory
11,NDLS-DBG SPECIAL [TRAIN ON DEMAND],East Central Railway,SAMASTIPUR DIVISION,02570,4,0.75,4,100.00,0,Nil
12,CHZ- PNBE EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DANAPUR DIVISION,03254,4,0.75,4,100.00,0,Nil
13,M P S KRANTI EXP [SUPERFAST],West Central Railway,JABALPUR DIVISION,12122,4,0.75,4,100.00,0,UnSatisfactory
14,CSMT-HWH MAIL [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,12809,4,0.75,4,100.00,0,Excellent
15,ADI-HWH SUPERFAST EXPRESS [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,12833,4,0.75,4,100.00,0,Excellent
16,DHANBAD - ALLEPY EXPRESS [MAIL EXPRESS],East Central Railway,DHANBAD DIVISION,13351,4,0.75,4,100.00,0,Satisfactory
17,SVDK-GCT EXP [MAIL EXPRESS],Northern Railway,JAMMU DIVISION,14612,4,0.75,4,100.00,0,Nil
18,BKN HW EXP [MAIL EXPRESS],North Western Railway,BIKANER DIVISION,14717,4,0.75,4,100.00,0,Nil
19,BKN-GHY EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15633,4,0.75,4,100.00,0,Nil
20,DNR- SMVB SF EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DANAPUR DIVISION,03251,3,0.56,3,100.00,0,Excellent
21,ROU PURI RATH YATRA SPL [TRAIN ON DEMAND],South Eastern Railway,CHAKRADHARPUR DIVISION,08331,3,0.56,3,100.00,0,Nil
22,CSMT-BPQ EXP [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11001,3,0.56,3,100.00,0,Nil
23,NGP-MAO EXPRESS [MAIL EXPRESS],Central Railway,NAGPUR DIVISION,11203,3,0.56,3,100.00,0,Nil
24,SMVB-GHY S/F EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12509,3,0.56,3,100.00,0,Nil
25,DNR-SC EXP [SUPERFAST],South Central Railway,SECUNDERABAD DIVISION,12792,3,0.56,3,100.00,0,Nil
26,ANVT-PURI PURSHOTTAM [SUPERFAST],East Coast Railway,KHURDA DIVISION,12802,3,0.56,0,0.00,3,Nil
27,SVDK-KYQ EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15656,3,0.56,3,100.00,0,Nil
28,KAMRUP EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15959,3,0.56,3,100.00,0,Nil
29,MAS-SDVK ANDAMAN EXP [MAIL EXPRESS],Southern Railway,CHENNAI DIVISION,16031,3,0.56,3,100.00,0,Excellent
30,SBC-CCT SESHADRI EXP [MAIL EXPRESS],South Coast Railway,VIJAYAWADA DIVISION,17209,3,0.56,3,100.00,0,Nil
31,GNT-RGDA EXP [MAIL EXPRESS],South Coast Railway,GUNTUR DIVISION,17243,3,0.56,3,100.00,0,UnSatisfactory
32,RXL-TPTY [MAIL EXPRESS],South Coast Railway,GUNTAKAL DIVISION,17434,3,0.56,3,100.00,0,Nil
33,JAT-SBP EXPRESS [MAIL EXPRESS],East Coast Railway,SAMBALPUR DIVISION,18310,3,0.56,3,100.00,0,UnSatisfactory
34,ASR INDB EXPRESS [MAIL EXPRESS],Western Railway,RATLAM DIVISION,19326,3,0.56,3,100.00,0,Satisfactory
35,TPTY-JAT HUMSAFAR [SUPERFAST],South Coast Railway,GUNTAKAL DIVISION,22705,3,0.56,3,100.00,0,Nil
36,SMVB -DNR SF EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DANAPUR DIVISION,03252,2,0.37,2,100.00,0,Nil
37,BSB-DLI SPL [TRAIN ON DEMAND],Northern Railway,LUCKNOW DIVISION,04209,2,0.37,2,100.00,0,Excellent
38,DLI-BSB SPL [TRAIN ON DEMAND],Northern Railway,LUCKNOW DIVISION,04210,2,0.37,1,50.00,1,Nil
39,PNBE-FZR SPL [TRAIN ON DEMAND],Northern Railway,FIROZPUR DIVISION,04615,2,0.37,2,100.00,0,UnSatisfactory
40,JNRD-PURI RJ SPL EXP [TRAIN ON DEMAND],East Coast Railway,SAMBALPUR DIVISION,08336,2,0.37,2,100.00,0,UnSatisfactory
