S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,HUMSAFAR EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12503,22,7.05,12,54.55,10,Satisfactory
2,NNGE-AGTL EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15650,6,1.92,4,66.67,2,UnSatisfactory
3,GTNR-CPR-EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15054,4,1.28,4,100.00,0,Nil
4,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22504,4,1.28,4,100.00,0,Nil
5,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15910,3,0.96,3,100.00,0,Nil
6,KAMRUP EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15959,3,0.96,3,100.00,0,Excellent
7,ASR-TATA JALINWALABAG EXP [MAIL EXPRESS],South Eastern Railway,CHAKRADHARPUR DIVISION,18104,3,0.96,3,100.00,0,Nil
8,BGP-ANVT GARIB RATH [GARIB RATH],Northern Railway,DELHI DIVISION,22405,3,0.96,3,100.00,0,Excellent
9,BJU-NDLS SPECIAL [TRAIN ON DEMAND],East Central Railway,SONEPUR DIVISION,02563,2,0.64,2,100.00,0,Nil
10,DBG-NDLS SPECIAL [TRAIN ON DEMAND],East Central Railway,SAMASTIPUR DIVISION,02569,2,0.64,2,100.00,0,Excellent
11,ANVT-BBS SPL [TRAIN ON DEMAND],Northern Railway,DELHI DIVISION,04466,2,0.64,2,100.00,0,Nil
12,CHAPRA - SURAT SPECIAL [TRAIN ON DEMAND],Western Railway,MUMBAI DIVISION,09066,2,0.64,2,100.00,0,Nil
13,SMNH-JBP EXP [MAIL EXPRESS],West Central Railway,JABALPUR DIVISION,11463,2,0.64,2,100.00,0,Satisfactory
14,REWA-NITR EXPRESS [MAIL EXPRESS],West Central Railway,JABALPUR DIVISION,11756,2,0.64,2,100.00,0,Excellent
15,FZR-CSMT PUNJAB MAIL [SUPERFAST],Central Railway,BOMBAY DIVISION,12138,2,0.64,2,100.00,0,Nil
16,NZM-KOP EXPRESS [SUPERFAST],Central Railway,PUNE DIVISION,12148,2,0.64,2,100.00,0,Nil
17,ANVT-MDP HUMSAFAR [MAIL EXPRESS],Northern Railway,DELHI DIVISION,12236,2,0.64,2,100.00,0,Satisfactory
18,KRBA-YPR WAINGANGA SF EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12252,2,0.64,2,100.00,0,Excellent
19,HLZ-ANVT EXPRESS [SUPERFAST],Northern Railway,DELHI DIVISION,12443,2,0.64,2,100.00,0,Satisfactory
20,PUSHPAK SF EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12533,2,0.64,2,100.00,0,Excellent
21,PUSHPAK SF EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12534,2,0.64,2,100.00,0,Nil
22,VSG-NZM GOA EXPRESS [SUPERFAST],South Western Railway,HUBLI DIVISION,12779,2,0.64,2,100.00,0,Nil
23,HWH KGM BAGH EXP [MAIL EXPRESS],Eastern Railway,HOWRAH DIVISION,13019,2,0.64,2,100.00,0,Nil
24,ARA-RJPB-KYQ EXPRESS [MAIL EXPRESS],East Central Railway,DANAPUR DIVISION,13248,2,0.64,2,100.00,0,Nil
25,GANGASUTLEJ EXP [MAIL EXPRESS],East Central Railway,DHANBAD DIVISION,13307,2,0.64,2,100.00,0,Excellent
26,MAU-ANVT EXPRESS [MAIL EXPRESS],Northern Railway,DELHI DIVISION,14055,2,0.64,2,100.00,0,Satisfactory
27,GKP-ANVT-EXPRESS [MAIL EXPRESS],North Eastern Railway,VARANASI DIVISION,15057,2,0.64,2,100.00,0,Excellent
28,SMVB-MFP EXPRESS [MAIL EXPRESS],East Central Railway,SAMASTIPUR DIVISION,15227,2,0.64,2,100.00,0,Excellent
