S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,YNRK-PURI EXPRESS [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18478,10,1.63,10,100.00,0,UnSatisfactory
2,RNC - NDLS RAJDHANI EXP [RAJDHANI],South Eastern Railway,RANCHI DIVISION,20839,7,1.14,7,100.00,0,Nil
3,ANVT-MDP HUMSAFAR [MAIL EXPRESS],Northern Railway,DELHI DIVISION,12236,6,0.98,6,100.00,0,UnSatisfactory
4,GOLDN TEMPLE ML [SUPERFAST],Western Railway,MUMBAI DIVISION,12904,6,0.98,6,100.00,0,UnSatisfactory
5,PASCHIM EXPRESS [SUPERFAST],Western Railway,MUMBAI DIVISION,12925,6,0.98,6,100.00,0,UnSatisfactory
6,KLK HWH NETAJI EXP [MAIL EXPRESS],Eastern Railway,HOWRAH DIVISION,13052,6,0.98,6,100.00,0,UnSatisfactory
7,SAMPOORNA KRANTI EXPRESS [SUPERFAST],East Central Railway,DANAPUR DIVISION,12394,5,0.82,5,100.00,0,Nil
8,SHC - ADI EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19484,5,0.82,5,100.00,0,UnSatisfactory
9,RAJDHANI EXPRESS [RAJDHANI],Northeast Frontier Railway,TINSUKIA DIVISION,20503,5,0.82,5,100.00,0,Satisfactory
10,SMVB-CNB SUMMER SPL [TRAIN ON DEMAND],North Central Railway,PRAYAGRAJ DIVISION,04134,4,0.65,4,100.00,0,UnSatisfactory
11,LTT-JYG EXP [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11061,4,0.65,4,100.00,0,Nil
12,MAS-LTT CHENNAI EXP [SUPERFAST],Central Railway,BOMBAY DIVISION,12164,4,0.65,4,100.00,0,Nil
13,HWH-CSMT DURONTO EXPRESS [DURONTO EXPRESS],South Eastern Railway,KHARAGPUR DIVISION,12262,4,0.65,4,100.00,0,Nil
14,SC-NZM DORONTO EXP [DURONTO EXPRESS],South Central Railway,SECUNDERABAD DIVISION,12285,4,0.65,4,100.00,0,Satisfactory
15,TVC-NZM RAJDHANI EXP [RAJDHANI],Northern Railway,DELHI DIVISION,12431,4,0.65,4,100.00,0,Nil
16,SMVB-GHY S/F EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12509,4,0.65,4,100.00,0,Nil
17,RAPTISAGAR EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12512,4,0.65,4,100.00,0,Satisfactory
18,ANVT-MFP SAPTKRANTI EXP [SUPERFAST],East Central Railway,SAMASTIPUR DIVISION,12558,4,0.65,4,100.00,0,Nil
19,DDR AII EXP [SUPERFAST],North Western Railway,AJMER DIVISION,12989,4,0.65,4,100.00,0,UnSatisfactory
20,YNRK HWH DOON EXP [MAIL EXPRESS],Eastern Railway,HOWRAH DIVISION,13010,4,0.65,4,100.00,0,Nil
21,LGH-PRYJ EXPRESS [SUPERFAST],North Central Railway,PRAYAGRAJ DIVISION,20404,4,0.65,4,100.00,0,UnSatisfactory
22,JAT-PUNE JHELUM EXPRESS [MAIL EXPRESS],Central Railway,PUNE DIVISION,11078,3,0.49,2,66.67,1,Satisfactory
23,ERS-LTT DURONTO [DURONTO EXPRESS],Central Railway,BOMBAY DIVISION,12224,3,0.49,3,100.00,0,UnSatisfactory
24,JSME-TBM SF EXPRESS [SUPERFAST],Eastern Railway,ASANSOL DIVISION,12376,3,0.49,3,100.00,0,Nil
25,SARVODAYA EXP [SUPERFAST],Northern Railway,JAMMU DIVISION,12474,3,0.49,3,100.00,0,Nil
26,PUSHPAK SF EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12534,3,0.49,3,100.00,0,UnSatisfactory
27,BIHAR SAMPARK KRANTI EXP [SUPERFAST],East Central Railway,SAMASTIPUR DIVISION,12566,3,0.49,3,100.00,0,Excellent
28,DNR-SC EXP [SUPERFAST],South Central Railway,SECUNDERABAD DIVISION,12792,3,0.49,3,100.00,0,Nil
29,SMVB-HWH SUPERFAST EXP [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,12864,3,0.49,3,100.00,0,Nil
30,BNRS-NDLS K V EXP [MAIL EXPRESS],North Eastern Railway,VARANASI DIVISION,15127,3,0.49,3,100.00,0,Nil
31,LTT SHM EXP [MAIL EXPRESS],South Eastern Railway,KHARAGPUR DIVISION,18029,3,0.49,3,100.00,0,Nil
32,INDB - UHL EXPRESS [MAIL EXPRESS],Western Railway,RATLAM DIVISION,19307,3,0.49,3,100.00,0,Nil
33,MAQ-TVC VANDE BHARAT [VANDE BHARAT],Southern Railway,PALGHAT DIVISION,20631,3,0.49,3,100.00,0,UnSatisfactory
34,VSKP-NDLS AP SF EXP [SUPERFAST],South Coast Railway,VISAKHAPATNAM DIVISION,20805,3,0.49,3,100.00,0,Nil
35,NDLS-INDB SF EXP [SUPERFAST],Western Railway,RATLAM DIVISION,20958,3,0.49,3,100.00,0,Nil
36,BKN-HWH EXP [SUPERFAST],Eastern Railway,HOWRAH DIVISION,22308,3,0.49,3,100.00,0,Nil
37,NDLS-GHY EXPRESS [SUPERFAST],Northern Railway,DELHI DIVISION,22450,3,0.49,3,100.00,0,UnSatisfactory
38,NZM-SBC RAJDHANI EXP [RAJDHANI],South Western Railway,BANGALORE DIVISION,22692,3,0.49,3,100.00,0,Nil
39,SMVB -DNR SF EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DANAPUR DIVISION,03252,2,0.33,2,100.00,0,Nil
40,ANVT-LKQ SPL [TRAIN ON DEMAND],Northern Railway,DELHI DIVISION,04014,2,0.33,2,100.00,0,Nil
