S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,ALA HAZRAT EXP [MAIL EXPRESS],Northern Railway,MORADABAD DIVISION,14311,16,1.37,16,100.00,0,Excellent
2,YPR-BIDR EXPRESS [MAIL EXPRESS],South Western Railway,BANGALORE DIVISION,16571,15,1.28,15,100.00,0,UnSatisfactory
3,RANTHAMBOR EXP [SUPERFAST],North Western Railway,JODHPUR DIVISION,12465,9,0.77,9,100.00,0,UnSatisfactory
4,SHAHEED EXPRESS [MAIL EXPRESS],Northern Railway,FIROZPUR DIVISION,14673,8,0.68,8,100.00,0,Nil
5,SCL-CHZ EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15646,8,0.68,8,100.00,0,Nil
6,PURI-ADI WEEKLY EXPRESS [SUPERFAST],East Coast Railway,KHURDA DIVISION,20861,8,0.68,8,100.00,0,Satisfactory
7,KIR-ASR EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15707,7,0.60,7,100.00,0,Excellent
8,PURI-JYG WEEKLY EXP [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18419,7,0.60,7,100.00,0,Satisfactory
9,PURI-DURG EXP. [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18425,7,0.60,7,100.00,0,Excellent
10,UNCHAHAR EXP [MAIL EXPRESS],Northern Railway,LUCKNOW DIVISION,14218,6,0.51,6,100.00,0,Nil
11,MDP-ANVT SUF [SUPERFAST],Northern Railway,DELHI DIVISION,22465,6,0.51,5,83.33,1,Excellent
12,BJU-NDLS SPECIAL [TRAIN ON DEMAND],East Central Railway,SONEPUR DIVISION,02563,5,0.43,5,100.00,0,Satisfactory
13,GOLDN TEMPLE ML [SUPERFAST],Western Railway,MUMBAI DIVISION,12904,5,0.43,5,100.00,0,Excellent
14,PASCHIM EXPRESS [SUPERFAST],Western Railway,MUMBAI DIVISION,12926,5,0.43,5,100.00,0,Satisfactory
15,YPR-CAN EXPRESS [MAIL EXPRESS],South Western Railway,BANGALORE DIVISION,16527,5,0.43,5,100.00,0,UnSatisfactory
16,LTT SHM EXP [MAIL EXPRESS],South Eastern Railway,KHARAGPUR DIVISION,18029,5,0.43,5,100.00,0,UnSatisfactory
17,TATA-ASR JALINWALABAG EXP [MAIL EXPRESS],South Eastern Railway,CHAKRADHARPUR DIVISION,18103,5,0.43,5,100.00,0,Satisfactory
18,ADI - GKP EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19489,5,0.43,5,100.00,0,Excellent
19,ADI-NGP PRERANA EXPRESS [SUPERFAST],Central Railway,NAGPUR DIVISION,22138,5,0.43,5,100.00,0,Excellent
20,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22503,5,0.43,5,100.00,0,Satisfactory
21,DNR-HDP SPL [TRAIN ON DEMAND],Central Railway,PUNE DIVISION,01450,4,0.34,4,100.00,0,Nil
22,CSMT-ASR AMRITSAR EXP [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11057,4,0.34,4,100.00,0,UnSatisfactory
23,MFP GARIBRATH [GARIB RATH],Northern Railway,DELHI DIVISION,12212,4,0.34,4,100.00,0,Excellent
24,JAT-CNB EXPRESS [SUPERFAST],Northern Railway,JAMMU DIVISION,12470,4,0.34,4,100.00,0,Nil
25,HUMSAFAR EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12504,4,0.34,3,75.00,1,Nil
26,NORTHEAST EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12506,4,0.34,4,100.00,0,Nil
27,PUSHPAK SF EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12533,4,0.34,4,100.00,0,Excellent
28,GANGASUTLEJ EXP [MAIL EXPRESS],East Central Railway,DHANBAD DIVISION,13307,4,0.34,4,100.00,0,Nil
29,SARYUYAMUNA EXP [MAIL EXPRESS],Northern Railway,FIROZPUR DIVISION,14650,4,0.34,4,100.00,0,Nil
30,RNY-SCL EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15611,4,0.34,4,100.00,0,UnSatisfactory
31,ERS-TATA EXPRESS [MAIL EXPRESS],South Eastern Railway,CHAKRADHARPUR DIVISION,18190,4,0.34,4,100.00,0,Satisfactory
32,SBIB - YNRK EXP [MAIL EXPRESS],Western Railway,MUMBAI DIVISION,19031,4,0.34,4,100.00,0,Excellent
33,YNRK-SBIB YOGA EXPRESS [MAIL EXPRESS],Western Railway,MUMBAI DIVISION,19032,4,0.34,4,100.00,0,UnSatisfactory
34,NDLS-VSKP SUF AP EXPRESS [SUPERFAST],South Coast Railway,VISAKHAPATNAM DIVISION,20806,4,0.34,4,100.00,0,Excellent
35,KUSHINAGAR SF [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,22537,4,0.34,4,100.00,0,Nil
36,NDLS-ALJN EMU [EMU],Northern Railway,DELHI DIVISION,64114,4,0.34,4,100.00,0,Nil
37,DNR- SMVB SF EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DANAPUR DIVISION,03251,3,0.26,3,100.00,0,Nil
38,LKQ-ANVT SPL [TRAIN ON DEMAND],Northern Railway,DELHI DIVISION,04013,3,0.26,3,100.00,0,Nil
39,MFP-ANVT SPL [TRAIN ON DEMAND],Northern Railway,DELHI DIVISION,04029,3,0.26,3,100.00,0,Excellent
40,DLI-BSB SPL [TRAIN ON DEMAND],Northern Railway,LUCKNOW DIVISION,04210,3,0.26,3,100.00,0,Nil
