S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,SOU-PUNE EXP [MAIL EXPRESS],Central Railway,PUNE DIVISION,11402,20,0.96,20,100.00,0,Satisfactory
2,KURJ-KKDE EXPRES [MAIL EXPRESS],North Central Railway,JHANSI DIVISION,11841,20,0.96,20,100.00,0,Excellent
3,BGP-YPR ANGA EXPRESS [SUPERFAST],South Western Railway,BANGALORE DIVISION,12254,19,0.91,19,100.00,0,Satisfactory
4,SHC - ADI EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19484,18,0.86,18,100.00,0,Satisfactory
5,DNR-SMVB SANGHAMITRA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12296,16,0.77,16,100.00,0,Excellent
6,PURI SGNR SUF [SUPERFAST],North Western Railway,BIKANER DIVISION,20472,15,0.72,15,100.00,0,Satisfactory
7,NDLS-SBC KARNATAKA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12628,14,0.67,14,100.00,0,Satisfactory
8,GKP-PUNE-EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15029,13,0.62,11,84.62,2,Excellent
9,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15909,13,0.62,12,92.31,1,Excellent
10,GKP-LTT SUPERFAST EXP [SUPERFAST],Central Railway,BOMBAY DIVISION,20104,12,0.58,12,100.00,0,Satisfactory
11,LJN-PUNE EXPRESS [MAIL EXPRESS],Central Railway,PUNE DIVISION,11408,11,0.53,11,100.00,0,Excellent
12,PURI-ANVT PURUSHOTTAM [SUPERFAST],East Coast Railway,KHURDA DIVISION,12801,11,0.53,10,90.91,1,Excellent
13,SHM-PURI SRI JAGANNATH EX [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18409,11,0.53,11,100.00,0,UnSatisfactory
14,SBIB JSM SF EXP [SUPERFAST],North Western Railway,JODHPUR DIVISION,20492,11,0.53,11,100.00,0,UnSatisfactory
15,BGP-ANVT GARIB RATH [GARIB RATH],Northern Railway,DELHI DIVISION,22405,11,0.53,11,100.00,0,Satisfactory
16,KUSHINAGAR SF [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,22537,11,0.53,10,90.91,1,Nil
17,JAT-PUNE JHELUM EXPRESS [MAIL EXPRESS],Central Railway,PUNE DIVISION,11078,10,0.48,10,100.00,0,UnSatisfactory
18,FZR-CSMT PUNJAB MAIL [SUPERFAST],Central Railway,BOMBAY DIVISION,12138,10,0.48,10,100.00,0,Excellent
19,SBC-NDLS SF KARNATAKA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12627,10,0.48,10,100.00,0,Satisfactory
20,DNR-SC EXP [SUPERFAST],South Central Railway,SECUNDERABAD DIVISION,12792,10,0.48,10,100.00,0,Satisfactory
21,ASR-KIR EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15708,10,0.48,10,100.00,0,UnSatisfactory
22,LTT-DBRG EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15945,10,0.48,10,100.00,0,Satisfactory
23,GKP - ADI EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19490,10,0.48,10,100.00,0,UnSatisfactory
24,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22503,10,0.48,10,100.00,0,Satisfactory
25,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22504,10,0.48,10,100.00,0,Excellent
26,SHM PURI RATH YATRA SPL [TRAIN ON DEMAND],South Eastern Railway,KHARAGPUR DIVISION,08565,9,0.43,9,100.00,0,Nil
27,U S KRANTI EXPRESS [SUPERFAST],Northern Railway,DELHI DIVISION,12447,9,0.43,9,100.00,0,Nil
28,JAT-KOAA EXP [MAIL EXPRESS],Eastern Railway,SEALDAH DIVISION,13152,9,0.43,9,100.00,0,Satisfactory
29,BGK-MYS BASAVA EXPRESS [MAIL EXPRESS],South Western Railway,HUBLI DIVISION,17308,9,0.43,9,100.00,0,UnSatisfactory
30,PNBE-PURI BAIDYANATHDHAM [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18450,9,0.43,9,100.00,0,Nil
31,PNBE- CHZ EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DANAPUR DIVISION,03253,8,0.38,8,100.00,0,Excellent
32,PNBE-FZR SPL [TRAIN ON DEMAND],Northern Railway,FIROZPUR DIVISION,04615,8,0.38,8,100.00,0,Excellent
33,HUMSAFAR EXP SPL [TRAIN ON DEMAND],Northern Railway,FIROZPUR DIVISION,04652,8,0.38,8,100.00,0,UnSatisfactory
34,MALWA EXPRESS [SUPERFAST],Western Railway,RATLAM DIVISION,12919,8,0.38,8,100.00,0,Satisfactory
35,DADN-PRYJ EXP. [MAIL EXPRESS],North Central Railway,PRAYAGRAJ DIVISION,14115,8,0.38,8,100.00,0,Excellent
36,GKP-LTT EXPRESS [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15018,8,0.38,7,87.50,1,Satisfactory
37,GKP-PNVL EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15065,8,0.38,8,100.00,0,Nil
38,PURABIYA EXPRESS [MAIL EXPRESS],East Central Railway,SAMASTIPUR DIVISION,15279,8,0.38,7,87.50,1,UnSatisfactory
39,GHY-LEDO I/C EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15603,8,0.38,8,100.00,0,Satisfactory
40,LOHIT EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15652,8,0.38,8,100.00,0,Nil
