S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,PASCHIM EXPRESS [SUPERFAST],Western Railway,MUMBAI DIVISION,12926,8,1.19,8,100.00,0,UnSatisfactory
2,ASR-NED SACHKHAND EXP [SUPERFAST],South Central Railway,NANDED DIVISION,12716,7,1.04,7,100.00,0,Nil
3,NDLS HWH POORVA EXPRESS [SUPERFAST],Eastern Railway,HOWRAH DIVISION,12304,6,0.89,6,100.00,0,Nil
4,ADI - SHC EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19483,6,0.89,6,100.00,0,Nil
5,LTT-PPTA EXPRESS [SUPERFAST],Central Railway,BOMBAY DIVISION,12141,5,0.75,5,100.00,0,Nil
6,NZM-ERS DURONTO EXPRESS [DURONTO EXPRESS],Northern Railway,DELHI DIVISION,12284,5,0.75,5,100.00,0,UnSatisfactory
7,ANVT-PURI PURSHOTTAM [SUPERFAST],East Coast Railway,KHURDA DIVISION,12802,5,0.75,5,100.00,0,UnSatisfactory
8,JAT-KOAA EXP [MAIL EXPRESS],Eastern Railway,SEALDAH DIVISION,13152,5,0.75,5,100.00,0,UnSatisfactory
9,AYC-ANVT VNDB EXP [VANDE BHARAT],Northern Railway,DELHI DIVISION,22425,5,0.75,5,100.00,0,UnSatisfactory
10,LTT SHM JNANESWARI DELX [SUPERFAST],Central Railway,BOMBAY DIVISION,12101,4,0.60,4,100.00,0,Nil
11,HWH PUNE AZAD HIND EXP [SUPERFAST],Central Railway,PUNE DIVISION,12130,4,0.60,4,100.00,0,Nil
12,HWH NDLS POORVA EXPRESS [SUPERFAST],Eastern Railway,HOWRAH DIVISION,12303,4,0.60,4,100.00,0,Excellent
13,NDLS HWH POORVA EXP [SUPERFAST],Eastern Railway,HOWRAH DIVISION,12382,4,0.60,4,100.00,0,Nil
14,ANVT-GKP HAMSAFAR EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12572,4,0.60,4,100.00,0,UnSatisfactory
15,CSMT-HWH MAIL [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,12809,4,0.60,4,100.00,0,Nil
16,MLDT-NDLS EXPRESS [MAIL EXPRESS],Northern Railway,DELHI DIVISION,14003,4,0.60,4,100.00,0,UnSatisfactory
17,MAGADH EXPRESS [SUPERFAST],South Eastern Railway,RANCHI DIVISION,20802,4,0.60,4,100.00,0,Nil
18,CSMT-NZM RAJDHANI [RAJDHANI],Central Railway,BOMBAY DIVISION,22221,4,0.60,4,100.00,0,Nil
19,BBSN-CSMT KONARK EXPRESS [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11020,3,0.45,3,100.00,0,Nil
20,GWL BJU MAIL [MAIL EXPRESS],North Central Railway,JHANSI DIVISION,11123,3,0.45,3,100.00,0,Nil
21,MMCT-ADI SHATABDI EXP [SHATABDI],Western Railway,MUMBAI DIVISION,12009,3,0.45,3,100.00,0,Nil
22,RAJDHANI EXPRESS [RAJDHANI],Northern Railway,DELHI DIVISION,12424,3,0.45,3,100.00,0,Nil
23,NORTHEAST EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12506,3,0.45,3,100.00,0,Nil
24,SMVB-GHY S/F EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12509,3,0.45,3,100.00,0,Nil
25,PUSHPAK SF EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12534,3,0.45,3,100.00,0,Nil
26,NDLS-BNRS SHIVGANGA SUF [SUPERFAST],North Eastern Railway,VARANASI DIVISION,12560,3,0.45,3,100.00,0,UnSatisfactory
27,NDLS-MAS TAMILNADU SF EXP [SUPERFAST],Southern Railway,CHENNAI DIVISION,12622,3,0.45,3,100.00,0,Nil
28,NDLS-TVC KERALA SF EXP [SUPERFAST],Southern Railway,THIRUVANANTHAPURAM DIVISION,12626,3,0.45,3,100.00,0,UnSatisfactory
29,SBC-NDLS SF KARNATAKA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12627,3,0.45,3,100.00,0,UnSatisfactory
30,NZM-TVC SWARNA JAYANTI SF [SUPERFAST],Southern Railway,THIRUVANANTHAPURAM DIVISION,12644,3,0.45,3,100.00,0,UnSatisfactory
31,NDLS-HYB [SUPERFAST],South Central Railway,SECUNDERABAD DIVISION,12724,3,0.45,3,100.00,0,Excellent
32,SWARNA JAYANTI RAJDHANI [RAJDHANI],Western Railway,AHMEDABAD DIVISION,12957,3,0.45,3,100.00,0,Nil
33,SDAH AII EXP [SUPERFAST],North Western Railway,AJMER DIVISION,12987,3,0.45,3,100.00,0,Nil
34,RGD-LTT EXPRESS [MAIL EXPRESS],East Central Railway,DANAPUR DIVISION,13201,3,0.45,3,100.00,0,Nil
35,LICHCHIVI EXPRESS [MAIL EXPRESS],Northern Railway,DELHI DIVISION,14006,3,0.45,3,100.00,0,Nil
36,LLP-NDLS VAISHALI EXPRESS [MAIL EXPRESS],East Central Railway,SAMASTIPUR DIVISION,15565,3,0.45,3,100.00,0,UnSatisfactory
37,BRAHMAPUTRA MAIL [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15658,3,0.45,3,100.00,0,Nil
38,PURI-ANVT WEEKLY EXP [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18427,3,0.45,3,100.00,0,Nil
39,ADI - GKP EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19489,3,0.45,3,100.00,0,Nil
40,CDG-AII VANDE BHARAT SF [VANDE BHARAT],North Western Railway,AJMER DIVISION,20978,3,0.45,3,100.00,0,Nil
