S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,GKP-YNRK SPL [TRAIN ON DEMAND],Northern Railway,MORADABAD DIVISION,04315,23,1.74,23,100.00,0,Satisfactory
2,PRYJ-HDP WEEKLY SPL [TRAIN ON DEMAND],North Central Railway,PRAYAGRAJ DIVISION,04107,19,1.44,19,100.00,0,UnSatisfactory
3,KOAA KUR SPECIAL [TRAIN ON DEMAND],Eastern Railway,SEALDAH DIVISION,03101,12,0.91,12,100.00,0,Satisfactory
4,GODA-DLI EXP [MAIL EXPRESS],Northern Railway,DELHI DIVISION,14049,12,0.91,12,100.00,0,UnSatisfactory
5,BPL-GWL SUF EXP [SUPERFAST],North Central Railway,JHANSI DIVISION,12197,11,0.83,11,100.00,0,UnSatisfactory
6,GWL-BPL EXP. [SUPERFAST],North Central Railway,JHANSI DIVISION,12198,11,0.83,11,100.00,0,UnSatisfactory
7,SCL-GHY EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15616,10,0.76,10,100.00,0,Nil
8,SHM-PURI S/F [SUPERFAST],East Coast Railway,KHURDA DIVISION,22835,10,0.76,10,100.00,0,UnSatisfactory
9,YNRK-PURI EXPRESS [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18478,9,0.68,9,100.00,0,Excellent
10,ROU PURI RATH YATRA SPL [TRAIN ON DEMAND],South Eastern Railway,CHAKRADHARPUR DIVISION,08331,8,0.60,7,87.50,1,Nil
11,DNR-SMVB SANGHAMITRA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12296,8,0.60,8,100.00,0,Satisfactory
12,HWH-SBG INTERCITY EXP [MAIL EXPRESS],Eastern Railway,MALDA DIVISION,13427,8,0.60,8,100.00,0,Nil
13,HWH-SMVB SUF EXPRESS [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,12863,7,0.53,7,100.00,0,Satisfactory
14,THE-TATA EXPRESS [MAIL EXPRESS],South Eastern Railway,CHAKRADHARPUR DIVISION,18182,7,0.53,7,100.00,0,Nil
15,AYODHYA - UDHANA SPECIAL [TRAIN ON DEMAND],Western Railway,MUMBAI DIVISION,09098,6,0.45,6,100.00,0,UnSatisfactory
16,Southern Railway,19,7.09,8,5,6,31.58,,,
17,South Eastern Railway,5,1.87,3,0,2,40.00
18,South East Central Railway,1,0.37,1,0,0,0.00
