S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,DNR-SC EXP [SUPERFAST],South Central Railway,SECUNDERABAD DIVISION,12792,37,1.67,36,97.30,1,UnSatisfactory
2,BGP ANVT VIKRAM SHILA EXP [SUPERFAST],Eastern Railway,MALDA DIVISION,12367,25,1.13,25,100.00,0,UnSatisfactory
3,BGP-YPR ANGA EXPRESS [SUPERFAST],South Western Railway,BANGALORE DIVISION,12254,22,0.99,21,95.45,1,UnSatisfactory
4,KOAA-JAT EXP [MAIL EXPRESS],Eastern Railway,SEALDAH DIVISION,13151,21,0.95,21,100.00,0,UnSatisfactory
5,GHY-LTT EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15648,21,0.95,21,100.00,0,UnSatisfactory
6,SHM-PURI SRI JAGANNATH EX [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18409,21,0.95,21,100.00,0,Excellent
7,PUKK-PURI RATH YATRA SPL [TRAIN ON DEMAND],East Coast Railway,SAMBALPUR DIVISION,08561,18,0.81,18,100.00,0,Excellent
8,JYG LTT EXP [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11062,17,0.77,16,94.12,1,Satisfactory
9,BJU-ERS RAPTI SAGAR EXP [SUPERFAST],East Central Railway,SONEPUR DIVISION,12521,17,0.77,16,94.12,1,Satisfactory
10,SHC - ADI EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19484,17,0.77,17,100.00,0,Satisfactory
11,JBP-NZM DAILY EXP. [SUPERFAST],West Central Railway,JABALPUR DIVISION,22181,17,0.77,17,100.00,0,Satisfactory
12,DNR-SMVB SANGHAMITRA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12296,16,0.72,16,100.00,0,Satisfactory
13,JSME-TBM SF EXPRESS [SUPERFAST],Eastern Railway,ASANSOL DIVISION,12376,14,0.63,13,92.86,1,UnSatisfactory
14,HWH JAT HIMGIRI EXPRESS [MAIL EXPRESS],Eastern Railway,HOWRAH DIVISION,13041,13,0.59,13,100.00,0,Excellent
15,HUMSAFAR EXP SPL [TRAIN ON DEMAND],Northern Railway,FIROZPUR DIVISION,04651,1,0.23,1,100.00,0,Nil
16,BDTS- GTNR TOD SPL [TRAIN ON DEMAND],North Eastern Railway,LUCKNOW DIVISION,05034,1,0.23,0,0.00,1,Nil
17,MAU KOAA SPL TOD [TRAIN ON DEMAND],North Eastern Railway,VARANASI DIVISION,05096,1,0.23,1,100.00,0,Nil
18,SHC- ANVT EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,SAMASTIPUR DIVISION,05575,2,0.46,2,100.00,0,Excellent
19,SGNR-KCG [TRAIN ON DEMAND],South Central Railway,HYDERABAD DIVISION,07054,6,0.23,1,100.00,0,Nil
20,HAPA - NHLN SPL [TRAIN ON DEMAND],Western Railway,RAJKOT DIVISION,09525,1,0.23,1,100.00,0,Nil
21,BRAHMAPUTRA MAIL [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15657,3,0.69,3,100.00,0,UnSatisfactory
22,KIR-ASR EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15707,3,0.69,3,100.00,0,Nil
23,BKN-YPR EXPRESS [MAIL EXPRESS],South Western Railway,BANGALORE DIVISION,16588,3,0.69,3,100.00,0,Nil
24,TVC-SC SABARI SF EXP [SUPERFAST],Southern Railway,THIRUVANANTHAPURAM DIVISION,20630,3,0.69,3,100.00,0,Excellent
25,KUSHINAGAR SF [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,22538,3,0.69,3,100.00,0,UnSatisfactory
26,PRYJ-DER SUMMER SPL [TRAIN ON DEMAND],North Central Railway,PRAYAGRAJ DIVISION,02417,2,0.46,2,100.00,0,Nil
27,DNR- SMVB SF EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DANAPUR DIVISION,03251,2,0.46,2,100.00,0,Nil
28,SHC- ANVT EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,SAMASTIPUR DIVISION,05575,2,0.46,2,100.00,0,Excellent
29,DHN-BPL EXPRESS [MAIL EXPRESS],West Central Railway,BHOPAL DIVISION,11632,2,0.46,2,100.00,0,Excellent
30,JAN SHATABDI EXPRESS [JAN SHATABDI],Northeast Frontier Railway,LUMDING DIVISION,12067,2,0.46,2,100.00,0,Nil
31,HWH-BBS JAN SHATABDI [JAN SHATABDI],East Coast Railway,KHURDA DIVISION,12073,2,0.46,2,100.00,0,Nil
32,LTT-STP EXPRESS [SUPERFAST],Central Railway,BOMBAY DIVISION,12107,2,0.46,0,0.00,2,Nil
33,BSBS-LTT SF EXP [SUPERFAST],Central Railway,BOMBAY DIVISION,12168,2,0.46,1,50.00,1,Nil
34,SMVB-DNR SANGHAMITRA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12295,2,0.46,2,100.00,0,UnSatisfactory
35,POORVA EXP (VIA GAYA) [SUPERFAST],Eastern Railway,HOWRAH DIVISION,12381,2,0.46,2,100.00,0,Excellent
36,GARIB RATH EXPRESS [GARIB RATH],Northeast Frontier Railway,LUMDING DIVISION,12502,2,0.46,1,50.00,1,Nil
37,BNRS-NDLS SHIVGANGA SUF [SUPERFAST],North Eastern Railway,VARANASI DIVISION,12559,2,0.46,2,100.00,0,Excellent
38,MAS-ADI NAVJEEVAN SF EXP [SUPERFAST],Southern Railway,CHENNAI DIVISION,12656,2,0.46,2,100.00,0,Nil
39,UBL-TVCN EXPRESS [SUPERFAST],South Western Railway,HUBLI DIVISION,12777,2,0.46,2,100.00,0,Satisfactory
40,HTE-SMVB SUF EXPRESS [SUPERFAST],South Eastern Railway,RANCHI DIVISION,12835,2,0.46,2,100.00,0,Nil
