S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,DNR-HDP SPL [TRAIN ON DEMAND],Central Railway,PUNE DIVISION,01450,4,1.22,4,100.00,0,Nil
2,HUMSAFAR EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12504,4,1.22,1,25.00,3,Nil
3,KIR-ASR EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15707,4,1.22,4,100.00,0,Nil
4,BPL-KURJ MAHAMANA SF [SUPERFAST],West Central Railway,BHOPAL DIVISION,22163,4,1.22,4,100.00,0,Satisfactory
5,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22503,4,1.22,4,100.00,0,Satisfactory
6,AGTL-RKMP EXP SPL [TRAIN ON DEMAND],West Central Railway,BHOPAL DIVISION,01666,3,0.91,3,100.00,0,Satisfactory
7,PNBE- CHZ EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DANAPUR DIVISION,03253,3,0.91,3,100.00,0,Nil
8,MBI - UDN SPECIAL [TRAIN ON DEMAND],Western Railway,MUMBAI DIVISION,09046,3,0.91,3,100.00,0,UnSatisfactory
9,HWH PUNE AZAD HIND EXP [SUPERFAST],Central Railway,PUNE DIVISION,12130,3,0.91,3,100.00,0,Satisfactory
10,HUMSAFAR EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12503,3,0.91,3,100.00,0,Nil
11,KRISHAK EXPRESS [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15007,3,0.91,3,100.00,0,Satisfactory
12,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15909,3,0.91,3,100.00,0,Nil
13,RJPB - INDB EXPRESS [MAIL EXPRESS],Western Railway,RATLAM DIVISION,19322,3,0.91,3,100.00,0,Satisfactory
14,MDP-ANVT HMSF [MAIL EXPRESS],Northern Railway,DELHI DIVISION,22459,3,0.91,3,100.00,0,Excellent
15,NDLS-BUI SUF EXPRESS [SUPERFAST],North Eastern Railway,VARANASI DIVISION,22582,3,0.91,3,100.00,0,Excellent
16,PUNE-JAT EXP [MAIL EXPRESS],Central Railway,PUNE DIVISION,11077,2,0.61,2,100.00,0,Excellent
17,JAT-PUNE JHELUM EXPRESS [MAIL EXPRESS],Central Railway,PUNE DIVISION,11078,2,0.61,2,100.00,0,Satisfactory
18,BUNDELKHAND EXP [MAIL EXPRESS],North Central Railway,JHANSI DIVISION,11107,2,0.61,2,100.00,0,Nil
19,BJU- GWL MAIL [MAIL EXPRESS],North Central Railway,JHANSI DIVISION,11124,2,0.61,2,100.00,0,Excellent
20,NGP-CSMT SEWAGRAM EXP. [SUPERFAST],Central Railway,NAGPUR DIVISION,12140,2,0.61,2,100.00,0,Nil
21,RAJDHANI EXPRESS [RAJDHANI],Northern Railway,DELHI DIVISION,12423,2,0.61,2,100.00,0,Excellent
22,RANTHAMBOR EXP [SUPERFAST],North Western Railway,JODHPUR DIVISION,12465,2,0.61,2,100.00,0,Excellent
23,PUSHPAK SF EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12533,2,0.61,2,100.00,0,Excellent
24,PUSHPAK SF EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12534,2,0.61,2,100.00,0,Excellent
25,MDU-NZM SAMPARK KRANTI SF [SUPERFAST],Southern Railway,MADURAI DIVISION,12651,2,0.61,2,100.00,0,Excellent
26,PALAMU EXPRESS [MAIL EXPRESS],East Central Railway,DHANBAD DIVISION,13348,2,0.61,2,100.00,0,Nil
27,DHN-LTT EXPRESS [MAIL EXPRESS],East Central Railway,DHANBAD DIVISION,13379,2,0.61,2,100.00,0,Nil
28,ST-MLDT WKLY EXP [MAIL EXPRESS],Eastern Railway,MALDA DIVISION,13426,2,0.61,2,100.00,0,Satisfactory
29,LICHCHIVI EXPRESS [MAIL EXPRESS],Northern Railway,DELHI DIVISION,14005,2,0.61,2,100.00,0,Excellent
30,DADN-PRYJ EXP. [MAIL EXPRESS],North Central Railway,PRAYAGRAJ DIVISION,14115,2,0.61,2,100.00,0,Excellent
31,PRYJ-DADN EXP. [MAIL EXPRESS],North Central Railway,PRAYAGRAJ DIVISION,14116,2,0.61,2,100.00,0,Excellent
32,FZR-AGTL EXPRESS [MAIL EXPRESS],Northern Railway,FIROZPUR DIVISION,14620,2,0.61,2,100.00,0,Nil
33,MARUDHAR EXPRES [MAIL EXPRESS],North Western Railway,JODHPUR DIVISION,14864,2,0.61,2,100.00,0,Satisfactory
34,GTNR-CPR-EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15054,2,0.61,2,100.00,0,Nil
35,BJU - GONDIA EXPRESS [MAIL EXPRESS],East Central Railway,SONEPUR DIVISION,15231,2,0.61,2,100.00,0,Excellent
36,GONDIA - BJU EXPRESS [MAIL EXPRESS],East Central Railway,SONEPUR DIVISION,15232,2,0.61,2,100.00,0,Nil
37,RXL-ANVT SATYAGRAH EXP [MAIL EXPRESS],East Central Railway,SAMASTIPUR DIVISION,15273,2,0.61,2,100.00,0,Excellent
38,ANVT-RXL SATYAGRAH EXP [MAIL EXPRESS],East Central Railway,SAMASTIPUR DIVISION,15274,2,0.61,2,100.00,0,Satisfactory
39,DGHR-AGTL EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15625,2,0.61,2,100.00,0,Satisfactory
40,KAMRUP EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15960,2,0.61,2,100.00,0,UnSatisfactory
