S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15909,8,0.90,8,100.00,0,UnSatisfactory
2,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15910,8,0.90,8,100.00,0,Nil
3,CBE-SCL EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15627,7,0.79,7,100.00,0,Nil
4,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22504,7,0.79,7,100.00,0,UnSatisfactory
5,UDN-PRYJ SUMMER SPL [TRAIN ON DEMAND],North Central Railway,PRAYAGRAJ DIVISION,04106,6,0.68,6,100.00,0,Satisfactory
6,UDN-BSBS SF SPL [SUPERFAST],Western Railway,MUMBAI DIVISION,20961,6,0.68,6,100.00,0,Satisfactory
7,HAPA-SVDK EXPRES [SUPERFAST],Northern Railway,JAMMU DIVISION,12475,5,0.56,5,100.00,0,Satisfactory
8,DHN-LTT EXPRESS [MAIL EXPRESS],East Central Railway,DHANBAD DIVISION,13379,5,0.56,4,80.00,1,Satisfactory
9,RANIKHET EXP [MAIL EXPRESS],North Eastern Railway,IZATNAGAR DIVISION,15014,5,0.56,5,100.00,0,Satisfactory
10,GARIB NAWAZ EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15716,5,0.56,5,100.00,0,Nil
11,FARAKKA EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15734,5,0.56,5,100.00,0,Satisfactory
12,SABARMATI EXP [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19166,5,0.56,5,100.00,0,Excellent
13,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22503,5,0.56,5,100.00,0,UnSatisfactory
14,LKQ-ANVT SPL [TRAIN ON DEMAND],Northern Railway,DELHI DIVISION,04013,4,0.45,4,100.00,0,Satisfactory
15,GARIB RATH EX [GARIB RATH],Northern Railway,FIROZPUR DIVISION,12203,4,0.45,4,100.00,0,Nil
16,GHY-SMVB S/F EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12510,4,0.45,4,100.00,0,Excellent
17,ADI-HWH SUPERFAST EXPRESS [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,12833,4,0.45,4,100.00,0,Excellent
18,DGHR-AGTL EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15625,4,0.45,4,100.00,0,Nil
19,DBRG-CDG EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15903,4,0.45,4,100.00,0,Nil
20,SC-BBSN VISAKHA [MAIL EXPRESS],South Central Railway,SECUNDERABAD DIVISION,17016,4,0.45,4,100.00,0,Satisfactory
21,TPTY-RXL [MAIL EXPRESS],South Coast Railway,GUNTAKAL DIVISION,17433,4,0.45,4,100.00,0,Nil
22,KCG-BGKT [MAIL EXPRESS],South Central Railway,HYDERABAD DIVISION,17605,4,0.45,4,100.00,0,Satisfactory
23,MFP - PBR EXP [MAIL EXPRESS],Western Railway,BHAVNAGAR DIVISION,19270,4,0.45,4,100.00,0,Excellent
24,SVDK SBIB EXP [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19416,4,0.45,4,100.00,0,Nil
25,AGTL-RKMP EXP SPL [TRAIN ON DEMAND],West Central Railway,BHOPAL DIVISION,01666,3,0.34,3,100.00,0,Excellent
26,PNBE- CHZ EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DANAPUR DIVISION,03253,3,0.34,3,100.00,0,Nil
27,ANVT-LKQ SPL [TRAIN ON DEMAND],Northern Railway,DELHI DIVISION,04014,3,0.34,3,100.00,0,Satisfactory
28,UDN-SFG SPECIAL [TRAIN ON DEMAND],North Central Railway,PRAYAGRAJ DIVISION,04156,3,0.34,3,100.00,0,Satisfactory
29,QLN-HYB [TRAIN ON DEMAND],South Central Railway,SECUNDERABAD DIVISION,07194,3,0.34,3,100.00,0,UnSatisfactory
30,NGP-CSMT SEWAGRAM EXP. [SUPERFAST],Central Railway,NAGPUR DIVISION,12140,3,0.34,3,100.00,0,Nil
31,BSBS-LTT SF EXP [SUPERFAST],Central Railway,BOMBAY DIVISION,12168,3,0.34,3,100.00,0,Excellent
32,BSB-JAT EXP. [SUPERFAST],Northern Railway,LUCKNOW DIVISION,12237,3,0.34,3,100.00,0,Satisfactory
33,SMVB-DNR SANGHAMITRA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12295,3,0.34,3,100.00,0,Nil
34,HUMSAFAR EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12503,3,0.34,3,100.00,0,UnSatisfactory
35,RAPTISAGAR EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12512,3,0.34,3,100.00,0,Nil
36,CPR-MAS GANGA KAVERI SF [SUPERFAST],Southern Railway,CHENNAI DIVISION,12670,3,0.34,3,100.00,0,Nil
37,NZM-VSG GOA EXPRESS [SUPERFAST],South Western Railway,HUBLI DIVISION,12780,3,0.34,3,100.00,0,Nil
38,NZM-MYS SWARNA JAYANTI EX [SUPERFAST],South Western Railway,MYSORE DIVISION,12782,3,0.34,3,100.00,0,Nil
39,ANVT-PURI PURSHOTTAM [SUPERFAST],East Coast Railway,KHURDA DIVISION,12802,3,0.34,3,100.00,0,Excellent
40,CHAMPARAN SATYAGRAH EXP [MAIL EXPRESS],Northern Railway,DELHI DIVISION,14010,3,0.34,3,100.00,0,Satisfactory
