S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,MFP-YNRK SPL [TRAIN ON DEMAND],Northern Railway,MORADABAD DIVISION,04313,20,1.55,19,95.00,1,Satisfactory
2,LKQ-ANVT SPL [TRAIN ON DEMAND],Northern Railway,DELHI DIVISION,04013,17,1.31,17,100.00,0,UnSatisfactory
3,GKP-DR SPL [TRAIN ON DEMAND],Central Railway,BOMBAY DIVISION,01028,12,0.93,12,100.00,0,Excellent
4,GKP-LTT GODAN EXPRESS [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11056,11,0.85,11,100.00,0,UnSatisfactory
5,SCL-GHY EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15616,10,0.77,10,100.00,0,UnSatisfactory
6,CHAMPARAN HUMSAFAR EXP [SUPERFAST],Northeast Frontier Railway,KATIHAR DIVISION,15706,10,0.77,10,100.00,0,Satisfactory
7,KIR-MMCT SPECIAL [TRAIN ON DEMAND],Western Railway,MUMBAI DIVISION,09190,9,0.70,9,100.00,0,Excellent
8,RNC-NDLS GARIBRATH EXP [GARIB RATH],South Eastern Railway,RANCHI DIVISION,12877,9,0.70,9,100.00,0,Satisfactory
9,GAYA-HWH EXP [MAIL EXPRESS],Eastern Railway,HOWRAH DIVISION,13024,8,0.62,8,100.00,0,Nil
10,PUNE-SRC HUMSAFAR EXP [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,20821,7,0.54,7,100.00,0,Excellent
11,SAURASHTRA MAIL [SUPERFAST],Western Railway,MUMBAI DIVISION,22946,7,0.54,7,100.00,0,Excellent
12,SHK-ANVT EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,Pt. DEEN DAYAL UPADHYAYA DIVISION,03697,6,0.46,6,100.00,0,Excellent
13,NORTHEAST EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12505,6,0.46,6,100.00,0,UnSatisfactory
14,BNRS-NDLS K V EXP [MAIL EXPRESS],North Eastern Railway,VARANASI DIVISION,15127,6,0.46,6,100.00,0,UnSatisfactory
15,BGKT-KYQ EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15623,6,0.46,3,50.00,3,Excellent
16,RAJYA RANI EX [SUPERFAST],North Central Railway,JHANSI DIVISION,22453,6,0.46,6,100.00,0,Satisfactory
17,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22503,6,0.46,6,100.00,0,Nil
18,BDTS-AMH SF SPL TOD [TRAIN ON DEMAND],North Eastern Railway,VARANASI DIVISION,05184,5,0.39,5,100.00,0,Nil
19,CSMT-BBSN KONARK EXPRESS [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11019,5,0.39,5,100.00,0,UnSatisfactory
20,PUNE-JAT EXP [MAIL EXPRESS],Central Railway,PUNE DIVISION,11077,5,0.39,5,100.00,0,Satisfactory
21,KKDE-KURJ EXPRESS [MAIL EXPRESS],North Central Railway,JHANSI DIVISION,11842,5,0.39,5,100.00,0,Excellent
22,NORTHEAST EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12506,5,0.39,5,100.00,0,Nil
23,BJU-ERS RAPTI SAGAR EXP [SUPERFAST],East Central Railway,SONEPUR DIVISION,12521,5,0.39,5,100.00,0,Satisfactory
24,MAS-ADI NAVJEEVAN SF EXP [SUPERFAST],Southern Railway,CHENNAI DIVISION,12656,5,0.39,5,100.00,0,Nil
25,MAS-SBC MAIL EXPRESS [SUPERFAST],South Western Railway,BANGALORE DIVISION,12657,5,0.39,5,100.00,0,Excellent
26,RNC-ANVT SAMPARK KRANTI [SUPERFAST],South Eastern Railway,RANCHI DIVISION,12825,5,0.39,5,100.00,0,Nil
27,ADI-HWH SUPERFAST EXPRESS [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,12833,5,0.39,5,100.00,0,Nil
28,RANAKPUR EXP [MAIL EXPRESS],North Western Railway,BIKANER DIVISION,14708,5,0.39,5,100.00,0,Satisfactory
29,CDG-DBRG EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15904,5,0.39,5,100.00,0,Nil
30,PURI-YNRK DAILY EXP [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18477,5,0.39,5,100.00,0,Excellent
31,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22504,5,0.39,5,100.00,0,Nil
32,NDLS-BJU SPECIAL [TRAIN ON DEMAND],East Central Railway,SONEPUR DIVISION,02564,4,0.31,4,100.00,0,Satisfactory
33,PNBE- CHZ EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DANAPUR DIVISION,03253,4,0.31,4,100.00,0,Nil
34,RJT-LKU SUMMER SPL [TRAIN ON DEMAND],North Eastern Railway,IZATNAGAR DIVISION,05046,4,0.31,4,100.00,0,Excellent
35,BGP - GIMB SPECIAL [TRAIN ON DEMAND],Western Railway,AHMEDABAD DIVISION,09452,4,0.31,4,100.00,0,Nil
36,BUI-LTT KAMAYANI EXPRES [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11072,4,0.31,4,100.00,0,Nil
37,PUNE-SOU EXPRESS [MAIL EXPRESS],Central Railway,PUNE DIVISION,11401,4,0.31,4,100.00,0,Nil
