S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,UDN-PRYJ SUMMER SPL [TRAIN ON DEMAND],North Central Railway,PRAYAGRAJ DIVISION,04106,11,2.04,11,100.00,0,UnSatisfactory
2,SMVB -DNR SF EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DANAPUR DIVISION,03252,9,1.67,7,77.78,2,Satisfactory
3,PNBE- CHZ EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DANAPUR DIVISION,03253,7,1.30,7,100.00,0,Satisfactory
4,GTNR-BDTS TOD SPL [TRAIN ON DEMAND],North Eastern Railway,LUCKNOW DIVISION,05033,7,1.30,7,100.00,0,Excellent
5,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22504,7,1.30,7,100.00,0,Satisfactory
6,GHY-OKHA DWARKA EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15636,6,1.11,6,100.00,0,Nil
7,TPTY-RXL [MAIL EXPRESS],South Coast Railway,GUNTAKAL DIVISION,17433,6,1.11,6,100.00,0,Excellent
8,CPR PTK SPL TOD [TRAIN ON DEMAND],North Eastern Railway,VARANASI DIVISION,05193,5,0.93,5,100.00,0,Excellent
9,RNC-NDLS GARIBRATH EXP [GARIB RATH],South Eastern Railway,RANCHI DIVISION,12877,5,0.93,5,100.00,0,UnSatisfactory
10,DHN-LTT EXPRESS [MAIL EXPRESS],East Central Railway,DHANBAD DIVISION,13379,5,0.93,5,100.00,0,Excellent
11,GHY-NJP INTERCITY EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15676,5,0.93,1,20.00,4,Nil
12,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15909,5,0.93,4,80.00,1,Excellent
13,MYS-PVR GOLGUMBAZ EXPRESS [MAIL EXPRESS],South Western Railway,HUBLI DIVISION,16535,5,0.93,4,80.00,1,UnSatisfactory
14,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22503,5,0.93,5,100.00,0,Satisfactory
15,PNBE-NDLS EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DANAPUR DIVISION,03293,4,0.74,4,100.00,0,UnSatisfactory
16,LTT-BUI KAMAYANI EXPRES [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11071,4,0.74,4,100.00,0,Excellent
17,DNR-SMVB SANGHAMITRA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12296,4,0.74,4,100.00,0,Excellent
