S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,PURI-YNRK DAILY EXP [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18477,6,1.12,6,100.00,0,UnSatisfactory
2,LTT-GHY EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15647,5,0.93,5,100.00,0,Nil
3,PURI-ANVT PURUSHOTTAM [SUPERFAST],East Coast Railway,KHURDA DIVISION,12801,4,0.75,4,100.00,0,Nil
4,TATA-SMVB SUPERFAST EXP [SUPERFAST],South Eastern Railway,CHAKRADHARPUR DIVISION,12889,4,0.75,4,100.00,0,Nil
5,GOLDN TEMPLE ML [SUPERFAST],Western Railway,MUMBAI DIVISION,12904,4,0.75,4,100.00,0,Nil
6,PUNE-DNR SPL [TRAIN ON DEMAND],Central Railway,PUNE DIVISION,01449,3,0.56,3,100.00,0,Nil
7,DHN-SSB EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DHANBAD DIVISION,03639,3,0.56,3,100.00,0,Nil
8,SMVB-GHY S/F EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12509,3,0.56,2,66.67,1,Excellent
9,PUSHPAK SF EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12533,3,0.56,3,100.00,0,UnSatisfactory
10,PUI-ADI S/F EXP [SUPERFAST],East Coast Railway,KHURDA DIVISION,12843,3,0.56,3,100.00,0,UnSatisfactory
11,MOURDHAJ EXP # [SUPERFAST],Northern Railway,JAMMU DIVISION,14692,3,0.56,3,100.00,0,UnSatisfactory
12,PNVL-GKP EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15066,3,0.56,3,100.00,0,Satisfactory
13,TRIVENI EXPRESS [MAIL EXPRESS],North Eastern Railway,IZATNAGAR DIVISION,15073,3,0.56,3,100.00,0,Nil
14,SIKKIM MAHANANDA EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,ALIPURDUAR DIVISION,15483,3,0.56,2,66.67,1,Nil
15,ANVT-KYQ EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15622,3,0.56,3,100.00,0,Nil
16,KYQ-BGKT EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15624,3,0.56,3,100.00,0,Nil
17,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15909,3,0.56,3,100.00,0,Nil
18,LTT-DBRG EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15945,3,0.56,3,100.00,0,Nil
19,LTT-TVC NETRAVATI EXP [MAIL EXPRESS],Southern Railway,THIRUVANANTHAPURAM DIVISION,16345,3,0.56,3,100.00,0,Excellent
20,VSKP-GTL TIRUMALA EXP [MAIL EXPRESS],South Coast Railway,VISAKHAPATNAM DIVISION,18521,3,0.56,3,100.00,0,Nil
21,INDB - CHZ HUMSAFAR [SUPERFAST],Western Railway,RATLAM DIVISION,20916,3,0.56,3,100.00,0,Excellent
22,BSP BXR SF EXP [SUPERFAST],South East Central Railway,BILASPUR DIVISION,22843,3,0.56,3,100.00,0,Nil
23,AGTL-CHZ [TRAIN ON DEMAND],South Central Railway,SECUNDERABAD DIVISION,07029,2,0.37,2,100.00,0,Nil
24,UDN - MBI SPECIAL [TRAIN ON DEMAND],Western Railway,MUMBAI DIVISION,09151,2,0.37,2,100.00,0,Satisfactory
25,CSMT-MAO MANDOVI EXPRESS [MAIL EXPRESS],Konkan Railway,KARWAR DIVISION,10103,2,0.37,2,100.00,0,Nil
26,ASR CSMT EXPRESS [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11058,2,0.37,2,100.00,0,Nil
27,JYG LTT EXP [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11062,2,0.37,2,100.00,0,Excellent
28,CSMT-SBC UDYAN EXPRESS [MAIL EXPRESS],Central Railway,SHOLAPUR DIVISION,11301,2,0.37,2,100.00,0,Nil
29,SOU-PUNE EXP [MAIL EXPRESS],Central Railway,PUNE DIVISION,11402,2,0.37,2,100.00,0,Nil
30,PUNE-DNR AMRIT BHARAT [AMRIT BHARAT],Central Railway,PUNE DIVISION,11431,2,0.37,2,100.00,0,Nil
31,SHAN-E- BHOPAL EXP [SUPERFAST],West Central Railway,BHOPAL DIVISION,12156,2,0.37,2,100.00,0,Excellent
32,LTT-MAS SF EXP [SUPERFAST],Central Railway,BOMBAY DIVISION,12163,2,0.37,2,100.00,0,Nil
33,HWH-PUNE DURONTO EXPRESS [DURONTO EXPRESS],South Eastern Railway,KHARAGPUR DIVISION,12222,2,0.37,2,100.00,0,Nil
34,SMVB-DNR SANGHAMITRA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12295,2,0.37,2,100.00,0,Nil
35,TVC-NZM RAJDHANI EXP [RAJDHANI],Northern Railway,DELHI DIVISION,12431,2,0.37,2,100.00,0,Satisfactory
36,NORTHEAST EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12505,2,0.37,2,100.00,0,Nil
37,NORTHEAST EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12506,2,0.37,2,100.00,0,Nil
38,RAPTISAGAR EXPRESS [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12511,2,0.37,2,100.00,0,Nil
39,SMVB-KYQ AC S/F EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12551,2,0.37,2,100.00,0,Nil
40,GKP-YPR EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12591,2,0.37,2,100.00,0,Nil
