S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,HWH NDLS POORVA EXPRESS [SUPERFAST],Eastern Railway,HOWRAH DIVISION,12303,23,1.08,23,100.00,0,Satisfactory
2,NDLS-SBC KARNATAKA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12628,22,1.04,22,100.00,0,Satisfactory
3,GKP-YPR EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12591,21,0.99,21,100.00,0,Excellent
4,PNBE-ERS SF EXP [SUPERFAST],Southern Railway,THIRUVANANTHAPURAM DIVISION,22644,19,0.89,19,100.00,0,Excellent
5,ASR-KIR EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15708,18,0.85,18,100.00,0,UnSatisfactory
6,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15910,18,0.85,18,100.00,0,Nil
7,PURI-YNRK DAILY EXP [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18477,18,0.85,18,100.00,0,Satisfactory
8,SMVB-GHY S/F EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12509,17,0.80,17,100.00,0,UnSatisfactory
9,MALWA EXPRESS [SUPERFAST],Western Railway,RATLAM DIVISION,12920,17,0.80,16,94.12,1,UnSatisfactory
10,MALWA EXPRESS [SUPERFAST],Western Railway,RATLAM DIVISION,12919,16,0.75,15,93.75,1,Satisfactory
11,LGH-PRYJ EXPRESS [SUPERFAST],North Central Railway,PRAYAGRAJ DIVISION,20404,16,0.75,16,100.00,0,UnSatisfactory
12,DNR-SMVB SANGHAMITRA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12296,15,0.71,15,100.00,0,Satisfactory
13,JAT-PUNE JHELUM EXPRESS [MAIL EXPRESS],Central Railway,PUNE DIVISION,11078,13,0.61,13,100.00,0,UnSatisfactory
14,PURI-ANVT PURUSHOTTAM [SUPERFAST],East Coast Railway,KHURDA DIVISION,12801,13,0.61,13,100.00,0,Satisfactory
