S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,PURI-ANVT NEELACHAL [SUPERFAST],East Coast Railway,KHURDA DIVISION,12875,81,3.50,61,75.31,20,Satisfactory
2,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15910,23,0.99,22,95.65,1,UnSatisfactory
3,JAT-PUNE JHELUM EXPRESS [MAIL EXPRESS],Central Railway,PUNE DIVISION,11078,19,0.82,17,89.47,2,Nil
4,BBSN-CSMT KONARK EXPRESS [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11020,16,0.69,16,100.00,0,Excellent
5,KOAA - ADI EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19414,16,0.69,16,100.00,0,Satisfactory
6,BNRS-CSMT EXP [SUPERFAST],Central Railway,BOMBAY DIVISION,22178,16,0.69,16,100.00,0,Satisfactory
7,SHC - ADI EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19484,14,0.61,14,100.00,0,UnSatisfactory
8,CSMT-SBC UDYAN EXPRESS [MAIL EXPRESS],Central Railway,SHOLAPUR DIVISION,11301,13,0.56,12,92.31,1,Satisfactory
9,HWH-SMVB SUF EXPRESS [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,12863,13,0.56,13,100.00,0,Excellent
10,MALWA EXPRESS [SUPERFAST],Western Railway,RATLAM DIVISION,12919,13,0.56,13,100.00,0,UnSatisfactory
11,NZM-JBP MAHAKOSHAL EXP [SUPERFAST],West Central Railway,JABALPUR DIVISION,12190,12,0.52,12,100.00,0,Satisfactory
12,HWH-SC FALAKNUMA [SUPERFAST],South Central Railway,SECUNDERABAD DIVISION,12703,12,0.52,12,100.00,0,Satisfactory
13,AVANTIKA EXPRESS [SUPERFAST],Western Railway,RATLAM DIVISION,12962,12,0.52,12,100.00,0,Satisfactory
14,ASR-HWH MAIL [MAIL EXPRESS],Eastern Railway,HOWRAH DIVISION,13006,12,0.52,12,100.00,0,Satisfactory
15,NZM-JBP DAILY EXP. [SUPERFAST],West Central Railway,JABALPUR DIVISION,22182,12,0.52,12,100.00,0,Satisfactory
16,JYG LTT EXP [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11062,11,0.48,11,100.00,0,Satisfactory
17,BUI-LTT KAMAYANI EXPRES [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11072,9,0.39,9,100.00,0,Satisfactory
18,DNR-SMVB SANGHAMITRA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12296,9,0.39,9,100.00,0,Excellent
19,GAYA-CHENNAI EXPRESS [SUPERFAST],East Central Railway,Pt. DEEN DAYAL UPADHYAYA DIVISION,12389,9,0.39,9,100.00,0,Satisfactory
