S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,HUMSAFAR EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12504,21,5.71,18,85.71,3,Nil
2,HUMSAFAR EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12503,6,1.63,5,83.33,1,Nil
3,AGTL-DGHR EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15626,6,1.63,5,83.33,1,Nil
4,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22503,6,1.63,6,100.00,0,Excellent
5,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15909,5,1.36,5,100.00,0,Excellent
6,PURI-ANVT NEELACHAL [SUPERFAST],East Coast Railway,KHURDA DIVISION,12875,4,1.09,2,50.00,2,Satisfactory
7,PURABIYA EXPRESS [MAIL EXPRESS],East Central Railway,SAMASTIPUR DIVISION,15279,4,1.09,4,100.00,0,Excellent
8,MADURAI-KANPUR SPECIAL [TRAIN ON DEMAND],North Central Railway,PRAYAGRAJ DIVISION,01926,3,0.82,3,100.00,0,Excellent
9,DBG-NDLS SPECIAL [TRAIN ON DEMAND],East Central Railway,SAMASTIPUR DIVISION,02569,3,0.82,3,100.00,0,Excellent
10,HSR-KK SF SPL [TRAIN ON DEMAND],North Western Railway,BIKANER DIVISION,04725,3,0.82,3,100.00,0,Excellent
11,SHC GARIB RATH [GARIB RATH],Northern Railway,FIROZPUR DIVISION,12204,3,0.82,3,100.00,0,Excellent
12,GAYA-NDLS MAHABODHI EXP [SUPERFAST],East Central Railway,Pt. DEEN DAYAL UPADHYAYA DIVISION,12397,3,0.82,3,100.00,0,Satisfactory
13,PUSHPAK SF EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12533,3,0.82,3,100.00,0,Nil
14,PNBE- KOTA EXPRESS [MAIL EXPRESS],East Central Railway,DANAPUR DIVISION,13237,3,0.82,2,66.67,1,Nil
15,JAT-TATA EXP [MAIL EXPRESS],South Eastern Railway,CHAKRADHARPUR DIVISION,18102,3,0.82,3,100.00,0,Satisfactory
16,JU-MSB SPL [TRAIN ON DEMAND],North Western Railway,JODHPUR DIVISION,04815,2,0.54,2,100.00,0,Excellent
17,JAT-PUNE JHELUM EXPRESS [MAIL EXPRESS],Central Railway,PUNE DIVISION,11078,2,0.54,2,100.00,0,Satisfactory
18,BJU- GWL MAIL [MAIL EXPRESS],North Central Railway,JHANSI DIVISION,11124,2,0.54,2,100.00,0,Excellent
19,RTM GWALIOR EXP [MAIL EXPRESS],North Central Railway,JHANSI DIVISION,11125,2,0.54,2,100.00,0,Satisfactory
20,CSMT-SBC UDYAN EXPRESS [MAIL EXPRESS],Central Railway,SHOLAPUR DIVISION,11301,2,0.54,2,100.00,0,Excellent
21,SOU-PUNE EXP [MAIL EXPRESS],Central Railway,PUNE DIVISION,11402,2,0.54,2,100.00,0,Excellent
22,CHAMBAL EXP [SUPERFAST],North Central Railway,JHANSI DIVISION,12175,2,0.54,2,100.00,0,Nil
23,DEE BDTS GARIBRATH [GARIB RATH],Northern Railway,DELHI DIVISION,12215,2,0.54,2,100.00,0,Satisfactory
24,NGP-CSMT DURONTO [DURONTO EXPRESS],Central Railway,BOMBAY DIVISION,12290,2,0.54,2,100.00,0,UnSatisfactory
25,SURYA NAGARI EXP [SUPERFAST],North Western Railway,JODHPUR DIVISION,12480,2,0.54,2,100.00,0,Excellent
26,PUSHPAK SF EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12534,2,0.54,2,100.00,0,Nil
27,MAS-NDLS TAMILNADU SF EXP [SUPERFAST],Southern Railway,CHENNAI DIVISION,12621,2,0.54,2,100.00,0,Nil
28,ANVT-PURI PURSHOTTAM [SUPERFAST],East Coast Railway,KHURDA DIVISION,12802,2,0.54,2,100.00,0,Excellent
29,MALWA EXPRESS [SUPERFAST],Western Railway,RATLAM DIVISION,12919,2,0.54,2,100.00,0,Excellent
30,RGD-LTT EXPRESS [MAIL EXPRESS],East Central Railway,DANAPUR DIVISION,13201,2,0.54,2,100.00,0,Nil
31,GANGASUTLEJ EXPRESS [MAIL EXPRESS],East Central Railway,DHANBAD DIVISION,13308,2,0.54,2,100.00,0,Nil
32,PNBE-SGRL EXPRESS [MAIL EXPRESS],East Central Railway,DHANBAD DIVISION,13350,2,0.54,2,100.00,0,Nil
33,SANGAM EXPRESS [MAIL EXPRESS],North Central Railway,PRAYAGRAJ DIVISION,14163,2,0.54,2,100.00,0,Satisfactory
34,PADMAVAT EXP [MAIL EXPRESS],Northern Railway,LUCKNOW DIVISION,14207,2,0.54,2,100.00,0,Excellent
