S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15909,10,0.91,10,100.00,0,Nil
2,JAT - SBIB EXP [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19224,8,0.72,8,100.00,0,Satisfactory
3,CIA-SHC AMRIT BHARAT EXP [AMRIT BHARAT],Northern Railway,FIROZPUR DIVISION,14628,7,0.63,7,100.00,0,UnSatisfactory
4,SABARMATI EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19167,7,0.63,7,100.00,0,Nil
5,KOAA - ADI EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19414,7,0.63,7,100.00,0,Excellent
6,OKHA-GHY DWARKA EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15635,6,0.54,6,100.00,0,Nil
7,GIMB-KYQ EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15667,6,0.54,6,100.00,0,Nil
8,BSB SBIB SUPERFAST [SUPERFAST],Western Railway,AHMEDABAD DIVISION,20964,6,0.54,6,100.00,0,Satisfactory
9,MADURAI-KANPUR SPECIAL [TRAIN ON DEMAND],North Central Railway,PRAYAGRAJ DIVISION,01926,5,0.45,5,100.00,0,Satisfactory
10,MAJN-ADI SPECIAL [TRAIN ON DEMAND],Western Railway,AHMEDABAD DIVISION,09423,5,0.45,5,100.00,0,Nil
11,BJU- GWL MAIL [MAIL EXPRESS],North Central Railway,JHANSI DIVISION,11124,5,0.45,5,100.00,0,Satisfactory
12,SMVB-GHY S/F EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12509,5,0.45,5,100.00,0,Nil
13,PUSHPAK SF EXP [SUPERFAST],North Eastern Railway,LUCKNOW DIVISION,12533,5,0.45,5,100.00,0,Excellent
14,SBIB-AGC SUPER FAST [SUPERFAST],North Central Railway,AGRA DIVISION,12548,5,0.45,5,100.00,0,Satisfactory
15,NZM-ERS MANGALA SF EXP [SUPERFAST],Southern Railway,THIRUVANANTHAPURAM DIVISION,12618,5,0.45,5,100.00,0,Satisfactory
16,AASHRAM EXPRESS [SUPERFAST],Western Railway,AHMEDABAD DIVISION,12915,5,0.45,5,100.00,0,Nil
17,CHZ-SCL EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15645,5,0.45,5,100.00,0,UnSatisfactory
18,NTSK-SMVB S/F EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22502,5,0.45,5,100.00,0,UnSatisfactory
19,MAQ - SRC VIVEK EXPRESS [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,22852,5,0.45,5,100.00,0,Nil
20,SHC GARIB RATH [GARIB RATH],Northern Railway,FIROZPUR DIVISION,12204,4,0.36,4,100.00,0,Nil
21,SMVB-DNR SANGHAMITRA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12295,4,0.36,4,100.00,0,UnSatisfactory
22,ADI-PUNE DURONTO [DURONTO EXPRESS],Central Railway,PUNE DIVISION,12297,4,0.36,2,50.00,2,Nil
23,BAGMATI EXPRESS [SUPERFAST],East Central Railway,SAMASTIPUR DIVISION,12578,4,0.36,4,100.00,0,Excellent
24,NDLS-TVC KERALA SF EXP [SUPERFAST],Southern Railway,THIRUVANANTHAPURAM DIVISION,12626,4,0.36,4,100.00,0,Excellent
25,ASR-HWH MAIL [MAIL EXPRESS],Eastern Railway,HOWRAH DIVISION,13006,4,0.36,4,100.00,0,Nil
26,ARA-DURG SOUTH BIHAR EXP [MAIL EXPRESS],East Central Railway,DANAPUR DIVISION,13288,4,0.36,4,100.00,0,Nil
27,BSB-GD INTERCITY [MAIL EXPRESS],Northern Railway,LUCKNOW DIVISION,14214,4,0.36,4,100.00,0,UnSatisfactory
28,DURG CPR SARNATH EXP [MAIL EXPRESS],North Eastern Railway,VARANASI DIVISION,15160,4,0.36,4,100.00,0,Excellent
29,GARIB NAWAZ EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15715,4,0.36,4,100.00,0,Nil
30,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15910,4,0.36,4,100.00,0,Nil
31,SVDK-MAS ANDAMAN EXP [MAIL EXPRESS],Southern Railway,CHENNAI DIVISION,16032,4,0.36,4,100.00,0,Satisfactory
32,TVC-LTT NETRAVATHI EXP [MAIL EXPRESS],Southern Railway,THIRUVANANTHAPURAM DIVISION,16346,4,0.36,4,100.00,0,Satisfactory
33,SMVB-BIDR EXP SPL [MAIL EXPRESS],South Western Railway,BANGALORE DIVISION,16559,4,0.36,1,25.00,3,Nil
34,ADB-TPTY KRISHNA EXP [MAIL EXPRESS],South Coast Railway,GUNTAKAL DIVISION,17406,4,0.36,4,100.00,0,Satisfactory
35,TPTY-SNSI [MAIL EXPRESS],South Coast Railway,GUNTAKAL DIVISION,17425,4,0.36,4,100.00,0,Nil
36,TAPTI GANGA EXPRESS [MAIL EXPRESS],Western Railway,MUMBAI DIVISION,19046,4,0.36,4,100.00,0,Nil
37,VIRBHUMI EXP [MAIL EXPRESS],Western Railway,RATLAM DIVISION,19316,4,0.36,4,100.00,0,Excellent
