S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,LTT-AGTL AC EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15659,6,1.22,5,83.33,1,Nil
2,VSKP-NDLS AP SF EXP [SUPERFAST],South Coast Railway,VISAKHAPATNAM DIVISION,20805,5,1.02,5,100.00,0,Satisfactory
3,NDLS-TVC KERALA SF EXP [SUPERFAST],Southern Railway,THIRUVANANTHAPURAM DIVISION,12626,4,0.81,4,100.00,0,Satisfactory
4,PURI-ANVT PURUSHOTTAM [SUPERFAST],East Coast Railway,KHURDA DIVISION,12801,4,0.81,4,100.00,0,Nil
5,GKP-BNRS INTERCITY EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15103,4,0.81,4,100.00,0,Nil
6,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15909,4,0.81,4,100.00,0,Nil
7,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15910,4,0.81,4,100.00,0,Nil
8,SC-NHLN [TRAIN ON DEMAND],South Central Railway,SECUNDERABAD DIVISION,07046,3,0.61,3,100.00,0,Nil
9,BUI-LTT KAMAYANI EXPRES [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11072,3,0.61,3,100.00,0,UnSatisfactory
10,KRBA-YPR WAINGANGA SF EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12252,3,0.61,3,100.00,0,Nil
11,SMVB-DNR SANGHAMITRA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12295,3,0.61,3,100.00,0,Nil
12,DNR-SC EXP [SUPERFAST],South Central Railway,SECUNDERABAD DIVISION,12792,3,0.61,3,100.00,0,Nil
13,PURI-ANVT NEELACHAL [SUPERFAST],East Coast Railway,KHURDA DIVISION,12875,3,0.61,3,100.00,0,UnSatisfactory
14,GANGASUTLEJ EXP [MAIL EXPRESS],East Central Railway,DHANBAD DIVISION,13307,3,0.61,3,100.00,0,UnSatisfactory
15,BE - NBVJ EXP. [MAIL EXPRESS],Northern Railway,MORADABAD DIVISION,14321,3,0.61,3,100.00,0,Nil
16,MAURYA EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15027,3,0.61,3,100.00,0,Nil
17,GHY-BKN EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15634,3,0.61,3,100.00,0,Nil
18,PURI-YNRK DAILY EXP [MAIL EXPRESS],East Coast Railway,KHURDA DIVISION,18477,3,0.61,3,100.00,0,Satisfactory
