S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,SMVB-GHY S/F EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12509,8,1.34,7,87.50,1,Satisfactory
2,CSMT-HWH MAIL [SUPERFAST],South Eastern Railway,KHARAGPUR DIVISION,12809,7,1.17,7,100.00,0,Excellent
3,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15910,7,1.17,7,100.00,0,Nil
4,VSKP-NDLS AP SF EXP [SUPERFAST],South Coast Railway,VISAKHAPATNAM DIVISION,20805,7,1.17,7,100.00,0,Satisfactory
5,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22503,7,1.17,7,100.00,0,Nil
6,YPR-PURI GARIB RATH [GARIB RATH],East Coast Railway,KHURDA DIVISION,22884,7,1.17,7,100.00,0,Excellent
7,SMVB -DNR SF EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DANAPUR DIVISION,03252,6,1.01,6,100.00,0,Satisfactory
8,HWH JAT HIMGIRI EXPRESS [MAIL EXPRESS],Eastern Railway,HOWRAH DIVISION,13041,6,1.01,2,33.33,4,Satisfactory
9,LTT-CNB SUF. SPL [TRAIN ON DEMAND],North Central Railway,PRAYAGRAJ DIVISION,04152,5,0.84,5,100.00,0,Nil
10,CHZ-SCL EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15645,5,0.84,5,100.00,0,UnSatisfactory
11,KARMABHOOMI EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,22512,5,0.84,5,100.00,0,Excellent
12,DNR-SMVB SANGHAMITRA EXP [SUPERFAST],South Western Railway,BANGALORE DIVISION,12296,4,0.67,4,100.00,0,Excellent
13,HUMSAFAR EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12504,4,0.67,4,100.00,0,Satisfactory
14,GANGASUTLEJ EXPRESS [MAIL EXPRESS],East Central Railway,DHANBAD DIVISION,13308,4,0.67,4,100.00,0,Nil
15,IND DDN EXPRESS [MAIL EXPRESS],Northern Railway,MORADABAD DIVISION,14317,4,0.67,3,75.00,1,Nil
16,PURI-KYQ EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15643,4,0.67,4,100.00,0,Excellent
17,AMARNATH EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15654,4,0.67,4,100.00,0,Nil
18,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22504,4,0.67,4,100.00,0,UnSatisfactory
19,SHIPRA EXPRESS [SUPERFAST],Western Railway,RATLAM DIVISION,22911,4,0.67,4,100.00,0,Excellent
20,DR-GKP SPL [TRAIN ON DEMAND],Central Railway,BOMBAY DIVISION,01027,3,0.50,3,100.00,0,Excellent
21,MADURAI-KANPUR SPECIAL [TRAIN ON DEMAND],North Central Railway,PRAYAGRAJ DIVISION,01926,3,0.50,3,100.00,0,Nil
22,CHZ-SHM SPECIAL [TRAIN ON DEMAND],South Eastern Railway,KHARAGPUR DIVISION,08046,3,0.50,1,33.33,2,Nil
23,CSMT-BBSN KONARK EXPRESS [MAIL EXPRESS],Central Railway,BOMBAY DIVISION,11019,3,0.50,3,100.00,0,Nil
24,JAT-PUNE JHELUM EXPRESS [MAIL EXPRESS],Central Railway,PUNE DIVISION,11078,3,0.50,3,100.00,0,Satisfactory
25,SMNH-JBP EXP [MAIL EXPRESS],West Central Railway,JABALPUR DIVISION,11463,3,0.50,3,100.00,0,Excellent
26,PUNE-ADI DORUNTO [DURONTO EXPRESS],Central Railway,PUNE DIVISION,12298,3,0.50,3,100.00,0,UnSatisfactory
27,JAT-PNBE ARCHANA EXPRESS [SUPERFAST],East Central Railway,DANAPUR DIVISION,12356,3,0.50,2,66.67,1,Nil
28,NORTHEAST EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12505,3,0.50,3,100.00,0,Nil
29,SMVB-KYQ AC S/F EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12551,3,0.50,3,100.00,0,Nil
30,BUI SDAH EXPRESS [MAIL EXPRESS],Eastern Railway,SEALDAH DIVISION,13106,3,0.50,3,100.00,0,Nil
31,NAUCHANDI EXP [MAIL EXPRESS],Northern Railway,LUCKNOW DIVISION,14242,3,0.50,3,100.00,0,UnSatisfactory
32,CIA-SHC AMRIT BHARAT EXP [AMRIT BHARAT],Northern Railway,FIROZPUR DIVISION,14628,3,0.50,3,100.00,0,Nil
33,MAURYA EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15027,3,0.50,3,100.00,0,Nil
34,GTNR-CPR-EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15054,3,0.50,3,100.00,0,Nil
35,DLI-CPR LOKNAYAK EXPRESS [MAIL EXPRESS],North Eastern Railway,VARANASI DIVISION,15116,3,0.50,3,100.00,0,Nil
36,NAGAON EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15630,3,0.50,3,100.00,0,Nil
37,BRAHMAPUTRA MAIL [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15657,3,0.50,3,100.00,0,Nil
38,GARIB NAWAZ EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15715,3,0.50,3,100.00,0,Excellent
39,ASR-NTSK EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15934,3,0.50,3,100.00,0,Nil
40,KAMRUP EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15959,3,0.50,3,100.00,0,Nil
