S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,APDJ-SMVB AMRUT BHARAT EX [AMRIT BHARAT],South Western Railway,BANGALORE DIVISION,16598,10,1.53,10,100.00,0,UnSatisfactory
2,AMARNATH EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15098,7,1.07,7,100.00,0,Nil
3,SVDK-KYQ EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15656,7,1.07,7,100.00,0,Nil
4,SMVB -DNR SF EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DANAPUR DIVISION,03252,6,0.92,6,100.00,0,Excellent
5,SMVB-BLGT WEEKLY EXPRESS [MAIL EXPRESS],South Western Railway,BANGALORE DIVISION,16523,6,0.92,6,100.00,0,Satisfactory
6,SHC - ADI EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19484,6,0.92,6,100.00,0,Excellent
7,VERAVAL-HARIDWAR SPECIAL [TRAIN ON DEMAND],Western Railway,BHAVNAGAR DIVISION,09203,5,0.76,5,100.00,0,Nil
8,SHAKTIPUNJ EXP [MAIL EXPRESS],West Central Railway,JABALPUR DIVISION,11448,5,0.76,5,100.00,0,Satisfactory
9,UBL-TVCN EXPRESS [SUPERFAST],South Western Railway,HUBLI DIVISION,12777,5,0.76,5,100.00,0,Excellent
10,NZB-TPTY RAYALSEEMA EXP [SUPERFAST],South Coast Railway,GUNTAKAL DIVISION,12794,5,0.76,1,20.00,4,Nil
11,MAURYA EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15027,5,0.76,5,100.00,0,Excellent
12,DBG-CHZ EXP [MAIL EXPRESS],South Central Railway,SECUNDERABAD DIVISION,17008,5,0.76,5,100.00,0,Satisfactory
13,YPR INDB EXP [MAIL EXPRESS],Western Railway,RATLAM DIVISION,19302,5,0.76,5,100.00,0,Nil
14,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22504,5,0.76,5,100.00,0,UnSatisfactory
15,DNR- SMVB SF EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DANAPUR DIVISION,03251,4,0.61,4,100.00,0,Excellent
16,FZR-DNR SPL [TRAIN ON DEMAND],Northern Railway,FIROZPUR DIVISION,04616,4,0.61,4,100.00,0,Nil
17,SGNR-KCG [TRAIN ON DEMAND],South Central Railway,HYDERABAD DIVISION,07054,4,0.61,4,100.00,0,Satisfactory
18,SHM-VSKP SUMMER SPECIAL [TRAIN ON DEMAND],South Coast Railway,VISAKHAPATNAM DIVISION,08507,4,0.61,4,100.00,0,Excellent
19,NED-ASR SUPERFAST EXP [SUPERFAST],Northern Railway,FIROZPUR DIVISION,12421,4,0.61,4,100.00,0,Nil
20,HUMSAFAR EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12504,4,0.61,4,100.00,0,Nil
21,NORTHEAST EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12506,4,0.61,4,100.00,0,Nil
22,KYQ-RNC EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15662,4,0.61,4,100.00,0,Nil
23,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15909,4,0.61,4,100.00,0,Satisfactory
24,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15910,4,0.61,4,100.00,0,Nil
