S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,NGP-CSMT SEWAGRAM EXP. [SUPERFAST],Central Railway,NAGPUR DIVISION,12140,6,1.57,6,100.00,0,Satisfactory
2,JAT-PUNE JHELUM EXPRESS [MAIL EXPRESS],Central Railway,PUNE DIVISION,11078,5,1.31,5,100.00,0,Excellent
3,CDG - LKO EXP [MAIL EXPRESS],Northern Railway,LUCKNOW DIVISION,12232,5,1.31,5,100.00,0,Satisfactory
4,DNR-HDP SPL [TRAIN ON DEMAND],Central Railway,PUNE DIVISION,01450,4,1.05,4,100.00,0,Satisfactory
5,PUNE HWH AZAD HIND EXP [SUPERFAST],Central Railway,PUNE DIVISION,12129,4,1.05,4,100.00,0,UnSatisfactory
6,KGM GARIBRATH- [GARIB RATH],Northern Railway,JAMMU DIVISION,12208,4,1.05,4,100.00,0,Nil
7,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22503,4,1.05,4,100.00,0,UnSatisfactory
8,KOAA-DBRG TOD SPECIAL [TRAIN ON DEMAND],Northeast Frontier Railway,TINSUKIA DIVISION,05931,3,0.79,3,100.00,0,Nil
9,DHN-KOP DIKSHABHUMI EXP [MAIL EXPRESS],Central Railway,PUNE DIVISION,11046,3,0.79,3,100.00,0,UnSatisfactory
10,SOU-PUNE EXP [MAIL EXPRESS],Central Railway,PUNE DIVISION,11402,3,0.79,3,100.00,0,Nil
