S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,NZM DURANTO EXP [DURONTO EXPRESS],Northern Railway,DELHI DIVISION,12263,11,1.54,11,100.00,0,Satisfactory
2,TPTY-RMM EXP [MAIL EXPRESS],Southern Railway,MADURAI DIVISION,16779,8,1.12,8,100.00,0,Nil
3,TVC-NZM RAJDHANI EXP [RAJDHANI],Northern Railway,DELHI DIVISION,12431,7,0.98,7,100.00,0,Nil
4,SMVB-GHY S/F EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12509,6,0.84,6,100.00,0,Satisfactory
5,BIHAR SAMPARK KRANTI EXP [SUPERFAST],East Central Railway,SAMASTIPUR DIVISION,12566,6,0.84,6,100.00,0,Nil
6,AMARNATH EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15653,6,0.84,6,100.00,0,UnSatisfactory
7,LICHCHIVI EXPRESS [MAIL EXPRESS],Northern Railway,DELHI DIVISION,14006,5,0.70,5,100.00,0,UnSatisfactory
8,GKP-PNVL EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15065,5,0.70,5,100.00,0,Nil
9,LLP-NDLS VAISHALI EXPRESS [MAIL EXPRESS],East Central Railway,SAMASTIPUR DIVISION,15565,5,0.70,5,100.00,0,Nil
10,NDLS-DBG SPECIAL [TRAIN ON DEMAND],East Central Railway,SAMASTIPUR DIVISION,02570,4,0.56,4,100.00,0,Excellent
