S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,KOAA - ADI EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19414,11,0.99,11,100.00,0,UnSatisfactory
2,OKHA-GHY DWARKA EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15635,9,0.81,9,100.00,0,UnSatisfactory
3,ASR-KIR EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,KATIHAR DIVISION,15708,8,0.72,8,100.00,0,Nil
4,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15910,8,0.72,8,100.00,0,UnSatisfactory
5,SHC GARIB RATH [GARIB RATH],Northern Railway,FIROZPUR DIVISION,12204,7,0.63,7,100.00,0,Satisfactory
6,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15909,7,0.63,7,100.00,0,Satisfactory
7,HUMSAFAR EXPRESS [SUPERFAST],Northeast Frontier Railway,LUMDING DIVISION,12503,6,0.54,6,100.00,0,Satisfactory
8,SABARMATI EXP [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19166,6,0.54,6,100.00,0,Nil
9,NTSK-SMVB S/F EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22502,6,0.54,6,100.00,0,Satisfactory
10,VIVEK EXPRESS [SUPERFAST],Northeast Frontier Railway,TINSUKIA DIVISION,22504,6,0.54,6,100.00,0,Nil
