S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,SHC- YPR SPECIAL [TRAIN ON DEMAND],East Central Railway,SAMASTIPUR DIVISION,05551,27,2.32,27,100.00,0,UnSatisfactory
2,AGTL-LTT AC EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15660,16,1.38,8,50.00,8,Satisfactory
3,SHM-CHZ SPECIAL [TRAIN ON DEMAND],South Eastern Railway,KHARAGPUR DIVISION,08045,12,1.03,12,100.00,0,Satisfactory
4,GKP-PNVL EXP [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15065,9,0.77,9,100.00,0,Excellent
5,GARIB RATH EXPRESS [GARIB RATH],Northeast Frontier Railway,LUMDING DIVISION,12517,8,0.69,8,100.00,0,UnSatisfactory
6,ANVT-LKQ SPL [TRAIN ON DEMAND],Northern Railway,DELHI DIVISION,04014,6,0.52,6,100.00,0,Nil
7,ANVT GARIBRATH [GARIB RATH],Northern Railway,DELHI DIVISION,12211,6,0.52,6,100.00,0,Excellent
8,PURI-ANVT NEELACHAL [SUPERFAST],East Coast Railway,KHURDA DIVISION,12875,6,0.52,6,100.00,0,Satisfactory
9,ERS-TATA EXPRESS [MAIL EXPRESS],South Eastern Railway,CHAKRADHARPUR DIVISION,18190,6,0.52,6,100.00,0,Nil
10,NDLS-DBG SPECIAL [TRAIN ON DEMAND],East Central Railway,SAMASTIPUR DIVISION,02570,5,0.43,5,100.00,0,Excellent
