S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,CSMT-NGP SEWAGRAM EXP [SUPERFAST],Central Railway,NAGPUR DIVISION,12139,52,1.88,52,100.00,0,UnSatisfactory
2,CSMT-G VIDARBHA EXP [SUPERFAST],Central Railway,BOMBAY DIVISION,12105,34,1.23,34,100.00,0,UnSatisfactory
3,G-CSMT VIDARBHA EXP [SUPERFAST],Central Railway,BOMBAY DIVISION,12106,29,1.05,29,100.00,0,Satisfactory
4,DNR-SC EXP [SUPERFAST],South Central Railway,SECUNDERABAD DIVISION,12792,26,0.94,26,100.00,0,Satisfactory
5,PUNE HWH AZAD HIND EXP [SUPERFAST],Central Railway,PUNE DIVISION,12129,22,0.80,22,100.00,0,Satisfactory
6,KOAA - ADI EXPRESS [MAIL EXPRESS],Western Railway,AHMEDABAD DIVISION,19414,22,0.80,22,100.00,0,Satisfactory
7,GODA - LT(T) WKLY EXP [SUPERFAST],Eastern Railway,MALDA DIVISION,22311,21,0.76,21,100.00,0,UnSatisfactory
8,DOZ-GODA EXPRESS [MAIL EXPRESS],North Western Railway,AJMER DIVISION,19603,20,0.72,19,95.00,1,UnSatisfactory
9,CSMT-NGP DURONTO [DURONTO EXPRESS],Central Railway,BOMBAY DIVISION,12289,16,0.58,16,100.00,0,Satisfactory
10,MALWA EXPRESS [SUPERFAST],Western Railway,RATLAM DIVISION,12919,16,0.58,16,100.00,0,Satisfactory
