S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,MAO-NGP EXP [MAIL EXPRESS],Central Railway,NAGPUR DIVISION,11204,14,2.11,14,100.00,0,Satisfactory
2,AVADH ASSAM EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15909,14,2.11,13,92.86,1,Satisfactory
3,DNR- SMVB SF EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,DANAPUR DIVISION,03251,7,1.05,7,100.00,0,Excellent
4,AMARNATH EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,LUMDING DIVISION,15653,6,0.90,6,100.00,0,Nil
5,TBM-NTSK EXPRESS [MAIL EXPRESS],Northeast Frontier Railway,TINSUKIA DIVISION,15929,6,0.90,6,100.00,0,Nil
6,SHM VSG AMARAVATI EXP [MAIL EXPRESS],South Eastern Railway,KHARAGPUR DIVISION,18047,6,0.90,6,100.00,0,Nil
7,DNR-HDP SPL [TRAIN ON DEMAND],Central Railway,PUNE DIVISION,01450,5,0.75,5,100.00,0,UnSatisfactory
8,SHC- YPR SPECIAL [TRAIN ON DEMAND],East Central Railway,SAMASTIPUR DIVISION,05551,5,0.75,5,100.00,0,Nil
9,ANVT- SHC EXPRESS SPL [TRAIN ON DEMAND],East Central Railway,SAMASTIPUR DIVISION,05576,5,0.75,5,100.00,0,Satisfactory
10,MFP-ANVT SAPTKRANTI EXP [SUPERFAST],East Central Railway,SAMASTIPUR DIVISION,12557,5,0.75,5,100.00,0,Excellent
