S.No.,Train Name,Owning Zone,Owning Division,Train No.,Received,% Share,Closed,% Closed,Pending,Average Rating
1,MAU-ANVT EXPRESS [MAIL EXPRESS],North Eastern Railway,VARANASI DIVISION,15025,15,0.99,15,100.00,0,Excellent
2,MMCT-KIR SPECIAL [TRAIN ON DEMAND],Western Railway,MUMBAI DIVISION,09189,14,0.93,14,100.00,0,Satisfactory
3,LJN- GKP INTERCITY EXP. [MAIL EXPRESS],North Eastern Railway,LUCKNOW DIVISION,15032,10,0.66,10,100.00,0,Excellent
4,DNR-HDP SPL [TRAIN ON DEMAND],Central Railway,PUNE DIVISION,01450,9,0.60,9,100.00,0,Nil
5,LKQ-ANVT SPL [TRAIN ON DEMAND],Northern Railway,DELHI DIVISION,04013,9,0.60,9,100.00,0,UnSatisfactory
6,BANDRA - BHUJ SPECIAL [TRAIN ON DEMAND],Western Railway,MUMBAI DIVISION,09009,9,0.60,9,100.00,0,Excellent
7,SHC GARIB RATH [GARIB RATH],Northern Railway,FIROZPUR DIVISION,12204,9,0.60,9,100.00,0,UnSatisfactory
8,PRYJ-UBL SUMMER SPL [TRAIN ON DEMAND],North Central Railway,PRAYAGRAJ DIVISION,04113,8,0.53,8,100.00,0,Satisfactory
9,AYC-ANVT SPL [TRAIN ON DEMAND],Northern Railway,LUCKNOW DIVISION,04213,8,0.53,8,100.00,0,Satisfactory
10,YNRK-MFP SPL [TRAIN ON DEMAND],Northern Railway,MORADABAD DIVISION,04314,8,0.53,8,100.00,0,Excellent
11,LKU-RJT SUMMER SPL [TRAIN ON DEMAND],North Eastern Railway,IZATNAGAR DIVISION,05045,8,0.53,8,100.00,0,Excellent
12,M P SMPRK KRNTI [SUPERFAST],West Central Railway,JABALPUR DIVISION,12121,7,0.46,5,71.43,2,UnSatisfactory
13,MFP-ANVT SAPTKRANTI EXP [SUPERFAST],East Central Railway,SAMASTIPUR DIVISION,12557,7,0.46,7,100.00,0,Satisfactory
14,DEE JP DOUBLE DCKER [SUPERFAST],North Western Railway,JAIPUR DIVISION,12986,7,0.46,7,100.00,0,Satisfactory
15,PRNC HTE EXPRESS [MAIL EXPRESS],South Eastern Railway,RANCHI DIVISION,18625,7,0.46,7,100.00,0,Excellent
16,JAT-PUNE JHELUM EXPRESS [MAIL EXPRESS],Central Railway,PUNE DIVISION,11078,6,0.40,6,100.00,0,Nil
17,PUNE-DNR AMRIT BHARAT [AMRIT BHARAT],Central Railway,PUNE DIVISION,11431,6,0.40,6,100.00,0,Excellent
